Romanian	Auvergnat	probability
ˈu_p	ˈy	1.0
ˈi_r	ˈi	1.0
ˈi_d	ɥ	1.0
ˈe_r	ˈa_l	1.0
ˈa_r	ˈa	1.0
ˈa_p	ˈe	1.0
ˈa_l	ˈa_w	1.0
ʧʲ	ɡʲ	1.0
ʧ_e	j	1.0
ʦʲ	-	1.0
ʒ	ʤ	1.0
ɨ	ã	1.0
ŋ_ɡ	ŋ	1.0
u_m	ˈe_l	1.0
t_e_r	e	1.0
t_e	j	1.0
r_t	ˈɔ	1.0
r_n	ʀ	1.0
p_ˈə	pʲ	1.0
p_r	b_ʀ	1.0
p_j	p	1.0
o̯ˈa_p	ˈœ	1.0
nʲ	ˈɔ̃_ŋ	1.0
n_ʧʲ	ŋ_k	1.0
n_ə	ɔ	1.0
n_t	ŋ	1.0
kʲ	ʎ	1.0
k_r	k_ʀ	1.0
j_ˈe	ˈe	1.0
j_e	ʎ_ɔ	1.0
f_r	b	1.0
e_d	ˈɪ	1.0
d	-	1.0
p	p	0.828
b	b	0.789
ə	ɔ	0.785
r_ə	ʀ_ɔ	0.779
f	f	0.766
r	ʀ	0.747
m	m	0.715
i	-	0.71
v	v	0.705
e_r	ʀ	0.703
e̯ˈa	ˈɪ	0.676
ʃ	s	0.67
ʧ	s	0.667
l	l	0.66
ɡ	ɡ	0.658
a	ɒ	0.651
z	-	0.646
w	w	0.628
n	ŋ	0.592
ˈɨ	ˈã	0.555
ˈa	ˈa	0.549
s	s	0.539
o	u	0.518
k	ʧ	0.513
ʦ	-	0.512
ʤ	ʤ	0.503
ʤ	-	0.497
e	ə	0.492
o	-	0.482
u	u	0.462
ˈa	ˈe	0.451
o̯ˈa	w	0.435
t	t	0.416
j	-	0.392
n	n	0.37
j	ˈe	0.363
ˈe	ˈɪ	0.359
z	dʲ	0.354
a	-	0.349
ɡ	ʤ	0.342
ʃ	-	0.33
e̯ˈa	ˈe	0.324
ˈu	ˈu	0.319
ˈe	ˈe	0.318
e_r	d_ʀ	0.297
v	vʲ	0.295
o̯ˈa	-	0.295
i	ĩ	0.29
ˈɨ	ˈa	0.285
ˈo	ˈu	0.282
ˈi	ˈi	0.274
ʦ	s	0.272
e	-	0.249
ˈo	w_ˈɔ	0.247
j	ɲ	0.246
k	k	0.24
f	fʲ	0.234
t	-	0.232
u	-	0.225
u	ə	0.223
r_ə	ʀ	0.221
ʦ	t	0.217
s	ɪ	0.213
m	-	0.212
b	-	0.211
l	-	0.21
s	-	0.208
w	ˈɔ_w	0.186
w	-	0.186
ˈi	ˈĩ	0.176
ˈi	ˈẽ	0.176
ˈi	-	0.176
t	d	0.176
p	-	0.172
r	l	0.17
ə	ə	0.166
ˈu	ˈũ	0.164
ˈo	w	0.162
ˈɨ	ˈẽ	0.161
o̯ˈa	ˈœ	0.16
ˈe	j	0.152
k	ʎ	0.147
ˈu	ˈɔ̃	0.138
ˈu	w	0.138
l	ʎ	0.129
ˈo	ˈœ	0.128
ʧ	ʒ	0.125
ˈo	ˈɔ	0.123
e	ɔ	0.12
ʧ	ʧ	0.117
ˈi	ˈɪ	0.114
o̯ˈa	w_ˈɔ	0.11
ˈu	ˈỹ	0.104
ˈe	-	0.103
k	ʤ	0.099
ʧ	ʃ	0.091
u	y	0.09
ˈi	ˈɪ̃	0.085
e	ʎ_ɔ	0.074
t	ʀ	0.073
m	mʲ	0.073
ˈu	ˈy	0.07
ˈu	-	0.068
ˈe	ˈɛ	0.068
ˈo	j_ˈɔ	0.059
t	ʧ	0.059
r	-	0.057
