Friulian	Corsican	probability
#>	#>	0.858
#>	e_#>	0.107
<#	<#	0.987
<#_v	<#	1.0
a	a	0.744
a	u	0.12
a	-	0.105
b	b	1.0
c	k	0.854
c	t	0.088
c	c	0.052
d	d	0.669
d	t	0.328
e	a	0.787
e	e	0.092
e	i	0.051
f	f	0.668
f	v_e	0.146
f	v_u	0.097
f	p	0.085
i	e	0.338
i	i	0.251
i	u	0.216
i	ˈɛ	0.071
i	o	0.062
j	-	0.221
j	ˈɛ	0.221
j	j	0.203
j	i	0.127
j	ʎ	0.124
j	l	0.055
j	ˈe	0.05
j_ˈɛ	ˈe	1.0
k	k	0.693
k	k_u	0.195
k	ɡ_u	0.06
k_l	c	1.0
l	l	0.625
l	l_u	0.119
l	j	0.097
l	c	0.075
m	m	0.978
n	n	0.696
n	n_u	0.178
o	u	0.634
o	o	0.146
o	ˈu	0.079
o	u_n	0.066
o	-	0.054
o	ˈo	0.054
p	p	1.0
r	r	0.964
s	s	0.605
s	-	0.101
s	ʧ_e	0.084
s	ʃ	0.076
s_#>	#>	1.0
t	t	0.606
t	t_u	0.123
t	t_e	0.102
t	d_e	0.069
t_j	t	1.0
u	u	0.514
u	ˈɔ	0.238
u	i	0.091
u	a	0.088
u	o	0.067
v	v	0.77
v	p	0.139
v_j	v	1.0
w	ˈɔ	0.519
w	w	0.313
w	u	0.127
w_ˈa	ˈɔ	1.0
w_ˈi	ˈɔ	0.803
w_ˈi	ˈo	0.097
z	z	0.295
z	ʦ	0.223
z	ɟ	0.16
z	-	0.144
z	ʒ	0.098
ŋ	ŋ	0.848
ŋ	-	0.074
ŋ	n	0.06
ɟ	ɡ	0.268
ɟ	ɟ	0.139
ɡ	ɡ	0.509
ɡ	k	0.283
ɡ	ɟ	0.172
ɲ	n	0.384
ɲ	ɲ_u	0.315
ɲ	ɲ	0.187
ɲ	ŋ	0.108
ʤ	ɟ	0.611
ʤ	ɲ	0.148
ʤ	ʤ	0.148
ʤ	s	0.084
ʧ	ʧ	0.523
ʧ	ɟ	0.106
ʧ	k	0.092
ʧ	ʦ	0.079
ʧ	-	0.07
ʧ	ʣ	0.063
ʧ	t	0.06
ˈa	ˈa	0.972
ˈa_w	ˈo	0.683
ˈa_w	ˈɔ	0.233
ˈaː	ˈa	0.923
ˈaː	a	0.072
ˈe	ˈɛ	0.712
ˈe	ˈe	0.102
ˈe	-	0.052
ˈe	ˈi	0.052
ˈe	ˈo	0.052
ˈeː	ˈɛ	0.956
ˈeː	ˈi	0.052
ˈi	ˈi	0.744
ˈi	ˈɛ	0.153
ˈi	e	0.053
ˈiː	ˈe	0.5
ˈiː	e	0.421
ˈiː	ˈi	0.077
ˈo	ˈɔ	0.513
ˈo	ˈo	0.208
ˈo	u	0.086
ˈo	ˈu	0.086
ˈo	ˈɛ	0.066
ˈoː	ˈɔ	0.552
ˈoː	ˈo	0.444
ˈu	ˈu	0.803
ˈu	ˈo	0.115
ˈu	l	0.078
ˈuː	ˈu	0.429
ˈuː	ˈɔ	0.378
ˈuː	ˈo	0.174
ˈɔ	ˈɔ	0.542
ˈɔ	ˈo	0.436
ˈɔː	ˈɔ	1.0
ˈɛ	ˈɛ	0.386
ˈɛ	ˈe	0.169
ˈɛ	l	0.16
ˈɛ	-	0.136
ˈɛ	ˈe_t	0.057
ˈɛ	ˈa	0.055
ˈɛː	r	0.342
ˈɛː	ˈɛ	0.342
