Logudorese	Logudorese	probability
β	v	1.0
ˈu_ɾ	ˈuː_r	1.0
ˈi_z	ˈiː_z	1.0
ˈe_t	ˈɛ_t	1.0
ˈa_n	ˈa_ŋ	1.0
ʃ	s	1.0
ɾ_ˈa	j_ˈa	1.0
ɾ_t	r_t	1.0
ɾ_a	a	1.0
ɲ	ɲ	1.0
ɛ̆_#>	#>	1.0
ɛ_ɾ	r	1.0
ɛ_n_ɛ_#>	#>	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
ŋ	ŋ	1.0
ð_ˈa	t	1.0
z_ɔ̆_#>	#>	1.0
u_z_ŭ_#>	#>	1.0
u_l	l	1.0
u_#>	#>	1.0
s_u_#>	s_#>	1.0
s_i	z	1.0
s	s	1.0
p	p	1.0
o	u	1.0
nː	ɲ	1.0
n_ɛ_#>	#>	1.0
n_u_#>	ŋ_#>	1.0
m_b	ŋ_k	1.0
l	l	1.0
k_ɛ	e	1.0
j_u	ʧ	1.0
i_ɾ	a_r	1.0
i_ɣ	d	1.0
f	f	1.0
d	d	1.0
ă	-	1.0
a_ð	d	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈaː	1.0
<#_ʣ	<#_ð	1.0
<#_ɾ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#	1.0
<#_d	<#_d	1.0
#>	a_#>	1.0
t	t	0.906
a	a	0.896
m	m	0.882
ɾ	r	0.784
z	-	0.75
k	k	0.744
ð	d	0.727
ˈa	ˈɛ	0.681
r	r	0.667
n	ŋ	0.645
j	-	0.636
ʦ	θ	0.6
ɡ	ɡ	0.6
ɔ	-	0.6
ʣ	j	0.556
i	-	0.545
ˈe	ˈɛ	0.5
ð_ɛ_#>	ˈɛ_#>	0.5
ð_ɛ_#>	#>	0.5
ɣ	ɡ	0.474
ʣ	-	0.444
e	e	0.429
ˈi	ˈe	0.421
ʦ	t	0.4
ɡ	ð	0.4
ɔ	u	0.4
b	v	0.395
ˈɔ	ˈɔː	0.379
ɣ	z	0.368
ɛ	e	0.364
j	j	0.364
ˈu	ˈo	0.345
b	b	0.342
ˈo	ˈɔ	0.333
u	u	0.333
r	r_e	0.333
n	n	0.29
e	i	0.286
e	-	0.286
ˈa	ˈaː	0.277
ð	t	0.273
i	i	0.273
ˈo	ˈɔː	0.267
z	z	0.25
ˈɛ	ˈɛ	0.241
ˈe	-	0.214
ˈi	ˈa	0.211
k	θ	0.209
ˈɛ	ˈa	0.207
ˈu	ˈʌu̯	0.207
ˈu	ˈuː	0.207
ˈo	ˈuː	0.2
ˈo	ˈo	0.2
u	v	0.2
u	n	0.2
ɛ	v	0.182
ɛ	r	0.182
i	e	0.182
ˈɛ	ˈɛː	0.172
ˈɛ	ˈiː	0.172
ˈɔ	ˈʌu̯	0.172
ɣ	-	0.158
ˈe	ˈɛː	0.143
ˈe	ˈæ	0.143
ˈɛ	ˈæ	0.138
ˈɔ	ˈʌ	0.138
ˈɔ	ˈo	0.138
ˈu	ˈʌ	0.138
u	ˈʌ	0.133
u	s	0.133
ˈi	ˈiː	0.132
b	ɡ	0.132
m	ŋ	0.118
ˈɔ	ˈɔ	0.103
ˈu	ˈɔ	0.103
t	θ	0.094
ɛ	ˈiː	0.091
ɛ	v_e	0.091
ɛ	-	0.091
ˈi	ˈa_j	0.079
b	ð	0.079
ˈɛ	-	0.069
ˈɔ	-	0.069
n	-	0.065
a	-	0.06
ɾ	l	0.054
ɾ	j	0.054
ˈi	ˈi	0.053
ˈi	j	0.053
ˈi	-	0.053
b	p	0.053
