Mecklenburgisch-Vorpommersch	East Franconian	probability
ˈɛɪ̯	ˈɛː	1.0
ˈɔʏ̯_ç	ə	1.0
ˈœː	-	1.0
ˈøː	ˈeː	1.0
ˈyː	ˈaɪ̯	1.0
ˈoː_æ	ɐ	1.0
ˈiː_d̥	ˈaɪ̯_d̥	1.0
ˈeː	ˈeː	1.0
ˈaʊ̯_t	ˈuː_s	1.0
ˈaɪ̯	ˈiː	1.0
ʃ	ʃ	1.0
ɣ	ˈaɪ̯	1.0
ɡ̊	-	1.0
ɡ_n	ŋ	1.0
ŋ	ŋ	1.0
æ	ɐ	1.0
z̥	z̥	1.0
z_ˈœː	s	1.0
w	v	1.0
tʰ	ʦ	1.0
t_æ	d̥_ɐ	1.0
r	r	1.0
pʰ	b̥͡v̥	1.0
n_æ	n_ɐ	1.0
n_n	n_a	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
d_ˈae̯	d̥_ˈiː	1.0
d	d̥	1.0
ae̯	eː	1.0
l	l	0.984
m	m	0.971
ˈa	ˈɒ	0.906
ɡ	ɡ̊	0.906
n	n	0.861
ˈʊ	ˈʊ	0.86
v	v	0.811
b	b̥	0.793
j	ɡ̊	0.783
z	s	0.763
ˈoː	ˈoː	0.757
ɾ	ɾ	0.706
ˈɪ	ˈɪ	0.667
ɪ	i	0.667
ˈaʊ̯	ˈuː	0.615
x	x	0.615
p	-	0.607
ˈɒː	ˈoː	0.603
ˈiː	ˈaɪ̯	0.572
ˈɔʏ̯	ˈiː	0.517
ˈuː	ˈaʊ̯	0.508
ˈae̯	ˈiː	0.506
ˈœ	ˈɛ	0.5
ˈœ	-	0.5
ˈɔʏ̯	-	0.483
ˈɛ	ˈɛ	0.48
ˈʏ	ˈɪ	0.466
ˈɔ	ˈɔ	0.459
ˈɛː	ˈɛ	0.421
ˈaː	ɐ	0.412
p	b̥͡v̥	0.393
s	s	0.39
x	ɣ̊	0.385
ˈae̯	ˈaː	0.382
ˈɒː	-	0.363
s	ʃ	0.361
ˈɔ	ˈʊ	0.358
ˈɛː	-	0.333
ɪ	ɪ	0.333
t	d̥	0.299
ˈaʊ̯	ˈaː	0.297
k	ɡ̊	0.295
ɾ	-	0.294
k	x	0.29
ç	ç	0.284
ˈiː	ˈiː	0.283
s	ɡ̊_s	0.249
t	s	0.248
ˈɛː	ˈoː	0.246
ˈoː	-	0.243
t	z̥	0.242
ˈɛ	ˈeː	0.236
ˈaː	ˈɛ_ɐ	0.236
ˈaː	ˈoː	0.236
ˈuː	ˈɔ	0.235
j	j	0.217
ç	ɡ̊_n	0.215
ç	-	0.215
k	ç	0.215
t	ʦ	0.212
b	-	0.207
k	ŋ	0.199
ˈʏ	ˈʊ	0.198
ˈʏ	-	0.198
v	v_ˈɔ	0.189
ˈɔ	ˈɒ	0.183
ˈuː	-	0.155
ˈiː	ˈɛ	0.145
ˈɪ	ˈiː	0.144
ç	ɣ̊	0.143
ç	ç_d̥	0.143
ˈɛ	ˈɪ	0.142
ˈɛ	-	0.142
ˈʊ	ˈɔ	0.14
ˈʏ	ˈɛ	0.138
z	-	0.134
ˈaː	ˈa	0.116
ˈae̯	ˈaɪ̯	0.111
z	z̥	0.104
ˈuː	ˈuː	0.102
n	n_d̥	0.101
ˈa	ˈoː	0.094
ɡ	ɣ	0.094
ˈɪ	-	0.089
ˈaʊ̯	ˈɒ	0.088
ˈɪ	ˈaː	0.06
