Swiss German	Swiss German	probability
χː_tː	ʰt	1.0
ˈɒ_r	ˈa_ɹ	1.0
ˈøi̯	-	1.0
ˈø	-	1.0
ˈæː	-	1.0
ˈyə̯	ˈøː	1.0
ˈuə̯_tː	ˈɔːu̯_w	1.0
ˈoː_d̥	ˈɛːi̯_j	1.0
ˈe	ˈɛ	1.0
ɣ̊	kʰ	1.0
ɡ̊_#>	#>	1.0
ə_r	ɪ_ɹ	1.0
ə_#>	#>	1.0
æ	a_n	1.0
z̥	s	1.0
w	l̥	1.0
v̥	f	1.0
tː_ə	j_a	1.0
tː_#>	#>	1.0
sː_ə	ʰt͡n̥	1.0
r_n	t͡n̥	1.0
r_#>	#>	1.0
p͡f	pʰ	1.0
pː	ˈœ	1.0
n_d̥	nː	1.0
l_d̥	t͡l̥	1.0
i	-	1.0
d̥_#>	#>	1.0
<#_ʋ	<#	1.0
<#_tː	<#_d̥	1.0
<#_r	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#	<#_ʧʰ	1.0
r	ɹ	0.911
h	h	0.864
m	m	0.833
ˈiː	ˈʊ̯iː	0.818
ʋ	v	0.81
<#_ɡ̊	<#_ɡ̊	0.8
ˈuː	ˈʉːu̯	0.778
ʃː	s	0.778
ʒ̊	s	0.733
l	l	0.733
ə	a	0.731
z̥_#>	s_#>	0.714
b̥	b̥	0.696
ˈæi̯	ˈai̯	0.667
ˈau̯	ˈɛːi̯	0.667
n	n	0.636
tː	t	0.625
ˈu	ˈʊ	0.588
χː	k	0.583
#>	ʊ_ɹ_#>	0.573
ˈyː	-	0.556
kː	-	0.556
ʦ	tʰ	0.545
ˈi	ˈɪ	0.526
ˈuə̯	ˈɔːu̯	0.5
ˈuə̯	-	0.5
ˈiə̯	ˈʊ̯iː	0.5
ˈiə̯	ˈɔːu̯	0.5
ˈeː	ˈɔ̯aː	0.5
ˈeː	-	0.5
d̥_ə	ʊ	0.5
d̥_ə	w	0.5
ˈyː	ˈʊ̯iː	0.444
d̥	tʰ	0.438
d̥	d̥	0.438
ˈɒː	ˈɛːa̯	0.429
ˈoː	-	0.429
ˈy	ˈɪ	0.4
ˈy	-	0.4
ɡ̊	ɡ̊	0.381
fː	v	0.364
fː	p	0.364
ˈɒ	ˈa	0.36
ˈɒː	ˈɔ̯aː	0.357
ˈæi̯	ˈaːi̯	0.333
ˈau̯	-	0.333
ŋ	ŋ_ɡ̊	0.333
kː	ʰk	0.333
sː	t_ʊ	0.316
sː	t	0.316
b̥	v	0.304
ˈoː	ˈɔ	0.286
ˈoː	ˈoː	0.286
ɡ̊	-	0.286
z̥_#>	#>	0.286
ˈɒ	ˈɔ	0.28
ʦ	-	0.273
fː	ʰp	0.273
ˈo	ˈʊ	0.267
ˈo	-	0.267
ʒ̊	ʃ	0.267
ˈæ	ˈɛ	0.263
χː	-	0.25
ŋ	n_d̥	0.25
ˈɒ	ˈɛːa̯	0.24
ˈu	-	0.235
n	nː	0.227
ˈuː	ˈʊ	0.222
ʃː	-	0.222
ˈɒː	-	0.214
ˈæ	ˈøː	0.211
sː	ʰt	0.211
ˈy	ˈiː	0.2
ˈo	ˈɔ	0.2
<#_ɡ̊	<#	0.2
ɡ̊	ɡ̊_v̥	0.19
ˈiː	-	0.182
ʦ	ʈ	0.182
ˈu	ˈɔ	0.176
χː	ʧ	0.167
ŋ	ŋ	0.167
ŋ	-	0.167
l	t͡l̥	0.167
ˈæ	ˈeː	0.158
ˈæ	-	0.158
ˈi	-	0.158
sː	-	0.158
ə	ʊ	0.154
#>	a_#>	0.146
ɡ̊	ʤ̊	0.143
n	-	0.136
h	j	0.136
#>	ɹ_#>	0.134
ˈo	ˈœ	0.133
ˈo	ˈuː	0.133
tː	tʰ	0.125
tː	d̥	0.125
tː	-	0.125
d̥	ʧʰ	0.125
ˈɒ	-	0.12
kː	ʰʧ	0.111
ˈæ	ˈɔ	0.105
ˈæ	j_ˈœ	0.105
ˈi	ˈɛːa̯	0.105
ˈi	ˈiː	0.105
ˈi	ˈeː	0.105
l	l̥	0.1
ʋ	kʰ_v	0.095
ʋ	-	0.095
ŋ	ɲ	0.083
m	mː	0.083
m	-	0.083
