Aromanian	Aromanian	probability
ˈə	-	1.0
ˈi_#>	ˈe_#>	1.0
ˈa_v	ˈo	1.0
ʧ	θ	1.0
ʦ_i	θ	1.0
ʃ	θ	1.0
ɨ	-	1.0
ŋ	-	1.0
z	-	1.0
v	b	1.0
u_r	o_ɾ	1.0
t_i	t_e	1.0
t_#>	ð_o_#>	1.0
r_ə	ɾ_a	1.0
r_u	ɾ_o	1.0
r_i	ɾ	1.0
r_#>	l_o_#>	1.0
p_t	ʧ	1.0
p_l	ɟ͡ʝ	1.0
n_ə	n_o	1.0
n_#>	n_o_#>	1.0
m_t	n_t	1.0
m_n	ɲ	1.0
k_ʎ	x	1.0
k_#>	ɣ_o_#>	1.0
j_#>	s_#>	1.0
i_r	ˈe_ɾ	1.0
i_#>	#>	1.0
e̯a	-	1.0
e_#>	#>	1.0
a_r	r	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_θ	1.0
<#_ʤ	<#_x	1.0
<#_ʃ	<#_s	1.0
<#_ç	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_f	<#	1.0
<#_a	<#	1.0
e̯ˈa	ˈe	0.882
u	o	0.88
m	m	0.867
ˈɨ	ˈa	0.833
ə	a	0.8
f	-	0.8
s	s	0.792
a	a	0.778
k	k	0.744
n	n	0.719
j	b	0.714
ˈe	ˈe	0.692
ɡ	ɡ	0.667
d	d	0.643
ˈa	ˈa	0.641
ˈo	w_ˈe	0.625
p	p	0.609
#>	o_#>	0.607
ɲ	m	0.6
w	ˈe_β	0.6
b	b	0.583
ʎ	x	0.571
ˈi	ˈi	0.552
r	ɾ	0.541
ʤ	ʝ	0.5
ʤ	-	0.5
ʦ	θ	0.455
ʣ	d	0.455
ʎ	l	0.429
i	e	0.422
o̯ˈa	ˈo	0.417
ɲ	-	0.4
w	ˈe	0.4
l	l	0.4
t	ð	0.385
t	t	0.385
ʣ	-	0.364
d	-	0.357
ˈu	ˈu	0.351
ɡ	ɣ	0.333
ˈi	ˈe	0.31
ˈe	j_ˈe	0.308
l	ʝ	0.3
l	-	0.3
ˈu	ˈo	0.297
j	-	0.286
ʦ	k	0.273
ʦ	-	0.273
o̯ˈa	w	0.25
b	b_w	0.25
a	r	0.222
p	β	0.217
s	e_s	0.208
f	f	0.2
r	l	0.189
ˈo	ˈo	0.188
ˈo	w	0.188
ʣ	ɟ͡ʝ	0.182
p	-	0.174
ˈɨ	-	0.167
o̯ˈa	w_ˈe	0.167
o̯ˈa	-	0.167
b	β	0.167
ˈa	j_ˈe	0.154
t	-	0.154
#>	a_#>	0.143
ˈi	j_ˈe	0.138
m	ɲ	0.133
i	a	0.133
ˈa	a	0.128
k	ɣ	0.128
n	-	0.125
u	u	0.12
e̯ˈa	ɾ	0.118
ˈu	ˈe	0.108
ˈu	w	0.108
#>	e_#>	0.107
n	ɲ	0.094
ə	e	0.089
i	b_ɾ	0.089
ˈu	ˈi	0.081
ˈa	ˈe	0.077
t	ʧ	0.077
k	p	0.077
#>	s_#>	0.071
#>	n_#>	0.071
ə	o	0.067
i	ˈi	0.067
i	ɾ	0.067
i	o	0.067
i	j	0.067
n	o	0.062
ˈu	-	0.054
r	ˈi	0.054
r	ˈe_ɾ	0.054
r	r	0.054
r	o	0.054
r	n	0.054
k	p_j	0.051
