Megleno-Romanian	Sicilian	probability
e	ɪ	1.0
e̯ˈa	ˈi	1.0
f	f	1.0
j	-	1.0
v	v	1.0
ɲ	-	1.0
ʃ	-	1.0
ʧ	ɕ	1.0
ˈɔ	ˈa	1.0
o̯ˈa	ˈɔ	0.911
r	-	0.151
s	ʃ	0.141
ʎ	l	0.571
ʦ	t	0.191
ˈe	ˈɛ	0.491
d	ɾ	0.062
k	k_ʊ	0.202
s	s	0.742
ˈa	ˈɛ	0.32
b	v	0.163
b	-	0.353
m	m	0.833
n	n	0.703
t	t_ʊ	0.143
t	-	0.303
w	v	0.643
i	ˈɛ	0.074
i	ʊ	0.114
k	kː	0.164
k	k	0.634
l	-	0.464
n	n_ʊ	0.114
p	p	0.904
r	ɽ	0.104
u	a	0.064
z	j	0.344
ə	a	0.674
ˈi	ˈɛ	0.414
i	i	0.105
n	-	0.055
n	nː	0.095
ɡ	ɡ	0.395
ɡ	-	0.605
ˈo	ˈu	0.25
ˈo	ˈɔ	0.75
ˈu	ˈɔ	0.175
b	ŋ	0.216
i	ɪ	0.66
p	p_ʊ	0.096
z	d	0.656
b	b	0.267
m	-	0.157
r	ɾ	0.667
s	sː_ʊ	0.117
u	ʊ	0.877
w	-	0.357
ə	ɪ	0.237
ˈi	ˈi	0.537
ˈu	ˈu	0.597
d	d	0.938
l	l	0.488
t	ʈ	0.068
t	t	0.438
ˈa	ˈa	0.68
ˈu	ˈo	0.228
o̯ˈa	ˈu	0.089
u	w	0.059
ə	ʊ	0.089
ʎ	ɟː	0.429
ʦ	ɕ	0.809
ˈe	ˈi	0.509
