Slovak	Latvian	probability
ʧ	k	1.0
ʒ	ʣ	1.0
ʋ_iː	w	1.0
ʃ	ʧ	1.0
ɲ	n	1.0
ɫ_ɔ	l̩	1.0
ɪ̯a	e	1.0
ɟ	d	1.0
æ	-	1.0
z̥	z̥	1.0
z	z	1.0
uː	uɔ̯	1.0
t_ɔ	j	1.0
t	t	1.0
s	s	1.0
r̩	i_r	1.0
r_a	a_r	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l̩	uɔ̯_l	1.0
l	-	1.0
iː	s	1.0
f	b_i	1.0
e	-	1.0
b̥	b̥	1.0
b	b	1.0
ʋ	v	0.904
r	r	0.875
ɦ	ɡ	0.803
c	t	0.753
ʎ	l	0.692
x	s	0.666
ɪ̯ɛ	-	0.642
a	-	0.623
d̥	d̥	0.6
ʦ	-	0.599
u	uɔ̯	0.576
ɫ̩	i_l	0.574
k	k	0.57
ɫ	l	0.564
d	d	0.502
d	-	0.498
ɫ	-	0.436
ɫ̩	l	0.426
u	au̯	0.424
ʦ	s	0.401
d̥	d_u	0.4
i	-	0.368
i	uː	0.359
ɪ̯ɛ	ai̯	0.358
ɛ	ɛ	0.354
x	ɡ̊_s	0.334
ɔ	-	0.326
ʎ	ʎ	0.308
ɛ	-	0.285
a	ɛ	0.275
i	iː	0.273
k	ʦ	0.251
ɔ	a	0.25
c	i	0.247
ɔ	s	0.221
ɛ	iɛ̯	0.209
ɦ	z	0.197
k	s	0.178
ɛ	a	0.151
ɔ	æ	0.14
r	r̩	0.125
a	a	0.103
ʋ	v_æː	0.096
ɔ	aː	0.064
