Swabian	Swabian	probability
ˈʌ	c_a	1.0
ˈɔː_ʕ	ˈɑːu̯_r̥	1.0
ˈɔə̯	ˈoːu̯	1.0
ˈɔ	-	1.0
ˈuː	-	1.0
ˈeə̯	-	1.0
ˈa_d	ˈaː_ð	1.0
ʣ	ˈœ_ʰt	1.0
ʕ_ʦ	r̥_t	1.0
ʋ	v	1.0
ʃ_d	s_t	1.0
ʁ_ˈae̯	r	1.0
ʁ	r	1.0
ɪ	-	1.0
ŋ_ɡ	ʰk	1.0
x_#>	k_#>	1.0
t	-	1.0
s_ʌ	ʰt͡n̥	1.0
s_#>	#>	1.0
p͡f	pʰ	1.0
l_e	t͡l̥	1.0
j	-	1.0
i	ˈou̯_ŋ	1.0
eə̯	aːu̯	1.0
b_#>	v_ʏ_r̥_#>	1.0
<#_ʋ	<#	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
m	m	0.909
h	h	0.9
ʦ	tʰ	0.8
ʕ	r	0.786
ˈəi̯	ˈiː	0.769
ˈuə̯	ˈoːu̯	0.75
ŋ	ŋ_ɡ̊	0.75
ˈeː	-	0.714
b	b̥	0.704
a	a	0.69
f	f	0.679
<#_ʁ	<#_r	0.667
ˈao̯	ˈuː	0.625
kʰ	kʰ	0.625
l	l	0.618
ˈɛː	-	0.6
ˈoː	-	0.6
ˈiə̯	j	0.6
ˈe	-	0.6
ʃ	s	0.588
s	s	0.561
ˈɔe̯	ˈɛːi̯	0.545
<#_d	<#_d̥	0.52
ˈɔː	ˈɔː	0.5
ˈɔː	-	0.5
ˈiː	j	0.5
ˈiː	-	0.5
x	ˈɔu̯	0.5
x	-	0.5
d_#>	ʏ_r̥_#>	0.5
d_#>	#>	0.5
<#_d	<#_θ	0.48
d	ð	0.475
#>	ʏ_r̥_#>	0.469
ʌ	ɪ	0.455
ˈae̯	ˈiː	0.444
ˈa	ˈa	0.44
n	n	0.44
ç	-	0.429
ˈɪ	ˈɪ	0.4
ˈɪ	-	0.4
ˈɛː	ˈɛː	0.4
ˈoː	ˈœːy̯	0.4
ˈiə̯	ˈaːi̯	0.4
ˈe	ˈi	0.4
kʰ	cʰ	0.375
s	t	0.366
ʌ	r̥	0.364
ˈo	ˈʏ	0.353
ˈu	ˈɪ	0.333
ˈu	ˈoːu̯	0.333
ˈu	-	0.333
ˈaː	ˈœ	0.333
ˈaː	ˈaː	0.333
ˈaː	-	0.333
ˈae̯	-	0.333
<#_ʁ	<#_r̥	0.333
d	d̥	0.3
ˈeː	ˈɑːu̯	0.286
ç	k_ʏ	0.286
ç	k	0.286
#>	r̥_#>	0.284
ˈɛ	ˈɛ	0.273
ˈɔe̯	-	0.273
ɡ	ɡ̊	0.259
ɡ	-	0.259
ˈuə̯	ˈaːi̯	0.25
ˈi	ˈɪː	0.25
ŋ	ŋ	0.25
f	p	0.25
n	-	0.24
ˈo	ˈu	0.235
ˈo	-	0.235
ʃ	s_c	0.235
ˈəi̯	-	0.231
ˈae̯	ˈɛ	0.222
ʕ	r̥	0.214
l	l̥	0.206
ˈɪ	ɲ	0.2
ʦ	t	0.2
ˈi	ˈɪ	0.188
ˈi	j_ˈɛː	0.188
ˈi	j	0.188
ˈi	-	0.188
ˈao̯	ˈœːy̯	0.188
ˈao̯	-	0.188
ɡ	ɟ̊	0.185
ˈɛ	-	0.182
ˈɔe̯	ˈɛi̯	0.182
ˈo	ˈɔ	0.176
ʃ	s_k	0.176
l	t͡l̥	0.176
#>	a_#>	0.173
a	-	0.167
ˈa	ˈɑu̯	0.16
n	t͡n̥	0.16
n	nː	0.16
ˈɛ	ˈɪ	0.136
ˈɛ	ˈa	0.136
ˈa	ˈaː	0.12
ˈa	-	0.12
ɡ	ɣ	0.111
b	v_ʏ	0.111
b	v	0.111
h	ç	0.1
ˈɛ	ˈau̯	0.091
ˈɛ	j_ˈɛ	0.091
ˈɛ	j	0.091
ʌ	ɡ̊_ʏ	0.091
ʌ	a_r̥	0.091
m	-	0.091
ˈa	ˈɛ	0.08
ˈa	ˈau̯	0.08
d	-	0.075
ɡ	ˈuː	0.074
ɡ	ɟ̊ː	0.074
b	-	0.074
s	s_j	0.073
f	v_ʏ	0.071
a	n̥	0.071
a	j_a	0.071
