Standard German	Scots	probability
ˈʏ_n	ˈaːɪ̯	1.0
ˈʏ	ˈɪ	1.0
ˈɪ_ç	ˈaː	1.0
ˈɪ_l	ˈɪ_l	1.0
ˈɪ	ˈɪ	1.0
ˈœ	ˈa	1.0
ˈiː_ɡ	ˈiː	1.0
ˈiː_ɐ	ˈiː	1.0
ˈeː_ɡ	ˈɛː	1.0
ˈaː_ɡ	ˈeː	1.0
ˈa_ɐ	ˈeː_r	1.0
ˈa_l	ˈɑː	1.0
ɡ̊	x	1.0
ə_ʁ	ɛ	1.0
ə	-	1.0
ɐ_t	r_d	1.0
ɐ_n	r_n	1.0
ŋ	ŋ	1.0
ç_ə	k	1.0
z_ə	z	1.0
z	s	1.0
tʰ	d	1.0
t_n	d	1.0
s_t	s_t	1.0
p͡f	pʰ	1.0
p	-	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k_ə	ʤ	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f_n	p	1.0
eː	i	1.0
d_n	d	1.0
a	θ	1.0
s	t	0.931
ʁ	r	0.9
v	w	0.838
f	f	0.732
ˈyː	ˈi	0.715
b	b	0.696
ˈɛ	ˈɛ	0.642
d̥	d	0.639
ˈʊ	ˈʌ	0.608
d	θ	0.603
ˈɛː	ˈiː	0.59
ˈɔ_l	ˈʌu̯	0.579
ʃ	s	0.571
ˈɔ	ˈo	0.569
n	n	0.566
ˈøː	ˈi	0.562
ˈuː	ˈø	0.545
ɐ	r	0.528
ʦ	tʰ	0.514
t	t	0.513
ɪ_ç	i	0.5
ʦ	t	0.486
ɡ	ɡ	0.45
ɡ	-	0.449
ˈøː	-	0.438
ˈiː	ˈiː	0.434
ʃ	ʃ	0.429
n	-	0.422
ˈɔ_l	ˈuː	0.421
ˈaɪ̯	ˈəi̯	0.414
ˈɛː	-	0.41
ˈɔʏ̯	ˈəi̯	0.41
ˈaʊ̯	ˈu	0.404
ˈaɪ̯	ˈe	0.401
ç	k	0.399
ˈoː	-	0.397
x	x	0.389
ç	ç	0.367
ˈa	ˈa	0.363
t	d	0.361
d̥	θ	0.361
ˈiː	ˈi	0.354
ˈeː	ˈɛ	0.348
x	k	0.34
ɐ	ə_r	0.328
b	-	0.304
ˈɔʏ̯	ˈiː	0.295
ˈɔʏ̯	-	0.295
ˈeː	-	0.292
ˈyː	-	0.285
ˈa	ˈɑː	0.279
ˈaː	ˈeː	0.275
ˈoː	ˈɪ	0.271
x	ç	0.271
f	p	0.268
ˈʊ	-	0.259
ɪ_ç	ɪ	0.25
ɪ_ç	e	0.25
ˈɔ	ˈʌ	0.247
ç	-	0.234
ˈaʊ̯	-	0.229
d	d	0.222
ˈaː	ˈi	0.219
ˈeː	ˈiː	0.213
ˈiː	-	0.211
ˈɛ	-	0.205
ˈaː	-	0.202
ˈoː	ˈø	0.198
ˈaː	ˈe	0.192
ˈaʊ̯	ˈuː	0.192
ˈuː	ˈɪ	0.185
ˈuː	ˈi	0.185
ˈɔ	ˈɪ	0.184
ˈaʊ̯	ˈi	0.175
d	ð	0.174
ˈa	ˈɪ	0.164
ˈɛ	ˈa	0.153
ˈa	ˈe	0.151
ˈeː	ˈeː	0.146
ˈoː	ˈe	0.135
ˈʊ	ˈɪ	0.133
t	ð	0.125
ˈaɪ̯	ˈɪ	0.113
ˈaː	ˈɛ	0.112
v	ʍ	0.105
ɡ	j	0.101
ʁ	r_ˈi	0.1
ˈuː	ˈøː	0.084
ˈaɪ̯	ˈɛ	0.071
s	s	0.069
ɐ	ə	0.06
v	-	0.057
