Catalan	Catalan	probability
ʧ	-	1.0
ʃ	s	1.0
ɾ_ˈe	ˈe	1.0
ə_#>	#>	1.0
ð_ə	t_a	1.0
t_ə	t_a	1.0
r_n	r	1.0
r_k	ɾ_k	1.0
p	p	1.0
n_ˈɔ	n_ˈu	1.0
n_ə	n_a	1.0
n_d	nː	1.0
m	m	1.0
l_ˈa	ɾ_ˈa	1.0
l_#>	l_u_#>	1.0
k_ə	k_a	1.0
k_#>	k_u_#>	1.0
k	k	1.0
j_t	t	1.0
j_#>	ɣ_ɛ_#>	1.0
j	-	1.0
f	f	1.0
d	d	1.0
b_ə	b	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈe	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_k	<#	1.0
ˈa	ˈa	0.946
b	b	0.938
t	t	0.917
r	ɾ	0.8
ɾ	ɾ	0.771
ɾ_ə	ɾ_u	0.75
ð	t	0.75
<#_ə	<#_i	0.692
ŋ	m	0.667
ˈi	ˈi	0.657
ɡ	ɡ	0.636
ə	a	0.634
s	s	0.634
ɣ	k	0.625
s_#>	z_ɔ̆_#>	0.6
i	i	0.6
ˈɔ	ˈɔ	0.593
ˈu	ˈu	0.583
ʒ	ɡ	0.545
ˈo	ˈu	0.538
z	j_z	0.5
z	-	0.5
<#_r	<#_ɾ	0.5
<#_r	<#_r	0.5
n	n	0.444
l	ɾ	0.435
β	β	0.429
β	p	0.429
ˈe	ˈɛ	0.424
ɲ	nː	0.417
ˈɔ	ˈo	0.407
i	e	0.4
#>	u_#>	0.398
l	l	0.391
ˈɛ	ˈɛ	0.375
ɣ	-	0.375
ɡ	-	0.364
u	ɔ	0.35
u	o	0.35
ɲ	n_ʣ	0.333
ŋ	-	0.333
n	n_t	0.333
ˈɛ	ˈi	0.312
ˈo	ˈɔ	0.308
<#_ə	<#_a	0.308
ˈe	ˈe	0.303
u	u	0.3
ʎ	ɖː	0.286
ʎ	k_ɾ	0.286
ʒ	ʣ	0.273
ˈu	ˈɔ	0.25
ɾ_ə	ɛ_ɾ	0.25
ð	ð	0.25
ʎ	ʣ	0.238
n	nː	0.222
s	k	0.22
ˈɛ	ˈe	0.219
w	β_ɛ	0.214
s_#>	z_ɛ̆_#>	0.2
s_#>	z_ă_#>	0.2
r	r	0.2
ə	ɛ	0.195
ʎ	l	0.19
ˈe	ˈi	0.182
ʒ	-	0.182
w	k_ɛ	0.179
#>	ɛ_#>	0.179
l	-	0.174
ɲ	ŋ	0.167
#>	ɾ_ɛ_#>	0.163
ˈo	ˈo	0.154
β	ɾ_b	0.143
w	ɛ	0.143
w	ð_ɛ	0.143
w	β_u	0.107
#>	n_ɛ_#>	0.106
#>	n_u_#>	0.106
ˈɛ	-	0.094
ˈe	ˈa	0.091
ˈi	ˈi_ɾ	0.086
ˈi	ˈe	0.086
ˈi	ɛ	0.086
ˈi	-	0.086
ɾ	ɛ_ɾ	0.086
ɾ	r	0.086
ə	i	0.085
ˈu	ˈu_ɾ	0.083
ˈu	ˈo	0.083
ɲ	ɲ	0.083
t	-	0.083
w	u	0.071
w	t_u	0.071
w	-	0.071
b	-	0.062
ɾ	-	0.057
ˈa	j	0.054
