English	Limburgish	probability
b	b	1.0
d	d	0.37
d	t	0.36
d	-	0.248
f	v	0.799
f	f	0.11
h	ɦ	1.0
j	j	0.366
j	ˈœi̯	0.277
j	ɣ	0.254
j	ˈøː	0.103
k	k	0.948
k	ə_k	0.052
kʰ	k	0.911
kʰ	-	0.089
l	l	1.0
m	m	0.934
m	ə_m	0.066
n	n	0.894
n	-	0.106
p	p	0.968
pʰ	p	1.0
s	z	0.556
s	s	0.444
t	t	0.66
t	x	0.236
t	ʀ_t	0.067
tʰ	t	0.913
tʰ	b	0.087
v	v	0.567
v	f	0.167
v	ə_f	0.134
v	b	0.133
w	β	0.921
z	s	0.502
z	ʀ	0.413
z	z	0.085
ð	-	0.611
ð	d	0.206
ð	j	0.183
ŋ	ŋ	1.0
ə	ə	0.515
ə	ʀ	0.392
ə	-	0.064
əʊ̯	ə	0.754
əʊ̯	-	0.246
ɜː	ˈaː	1.0
ɡ	ɣ	0.767
ɡ	-	0.233
ɪ	ə	0.452
ɪ	-	0.262
ɪ	ɪ	0.211
ɪ	ˈɛ	0.075
ɫ	l	0.656
ɫ	ə_l	0.186
ɫ	-	0.074
ɫ	j	0.057
ɹ	ʀ	0.938
ɹ	-	0.062
ʃ	ʃ	0.613
ʃ	s	0.387
ʤ	k	0.888
ʤ	x	0.112
ʧ	k	1.0
ˈaɪ̯	ˈiː	0.264
ˈaɪ̯	ˈeː	0.254
ˈaɪ̯	ˈɪː	0.118
ˈaɪ̯	ˈi	0.071
ˈaʊ̯	ˈuː	0.635
ˈaʊ̯	ˈoː	0.142
ˈaʊ̯	ˈʊː	0.139
ˈaʊ̯	ˈœi̯	0.084
ˈe	ˈeː	0.183
ˈe	ˈɪ	0.131
ˈe	ˈu	0.119
ˈe	ˈɑ	0.075
ˈe	ˈʏː	0.075
ˈe	-	0.074
ˈe	ˈɛː	0.058
ˈeɪ̯	ˈaː	0.382
ˈeɪ̯	ˈɒː	0.169
ˈeɪ̯	ˈeː	0.14
ˈeɪ̯	ˈʊː	0.095
ˈeɪ̯	ˈɑ	0.067
ˈeɪ̯	ˈɛ	0.055
ˈeɪ̯	ˈɑː	0.054
ˈiː	ˈɔː	0.148
ˈiː	ˈi	0.136
ˈiː	ˈeː	0.128
ˈiː	ˈøː	0.107
ˈiː	ˈɒː	0.083
ˈiː	-	0.058
ˈiː	i	0.058
ˈiː	ˈu	0.058
ˈiː	ˈɛːi̯	0.053
ˈuː	ˈɔ	0.213
ˈuː	-	0.199
ˈuː	ʀ	0.199
ˈuː	ˈʊː	0.095
ˈuː	ˈɒː	0.073
ˈuː	j	0.065
ˈuː	ˈɑː	0.065
ˈæ	ˈɑː	0.4
ˈæ	ˈaː	0.369
ˈæ	ˈɑ	0.122
ˈæ	ˈæː	0.063
ˈɐ	ˈʊː	0.337
ˈɐ	ˈoː	0.144
ˈɐ	ˈɔ	0.081
ˈɐ	ˈɒː	0.067
ˈɐ	ˈɔː	0.067
ˈɐ	ˈɛː	0.067
ˈɐ	ˈʊ	0.067
ˈɑː	ˈaː	0.599
ˈɑː	ˈɑ	0.319
ˈɑː	ˈæː	0.082
ˈɒ	ˈɔ	0.571
ˈɒ	ˈɑ	0.159
ˈɒ	ˈaː	0.158
ˈɒ	ˈɛː	0.112
ˈɔː	ˈʊː	0.392
ˈɔː	ˈœː	0.122
ˈɔː	ˈæ	0.117
ˈɔː	ˈeː	0.094
ˈɔː	ˈøː	0.081
ˈɔː	ˈaː	0.066
ˈəʊ̯	ˈɛː	0.413
ˈəʊ̯	ˈɛːi̯	0.12
ˈəʊ̯	ˈɔː	0.111
ˈəʊ̯	ˈi	0.11
ˈəʊ̯	ˈʊː	0.086
ˈəʊ̯	ˈøː	0.071
ˈɛ	ˈɒː	0.384
ˈɛ	ˈæ	0.286
ˈɛ	ˈeː	0.165
ˈɛ	ˈæː	0.165
ˈɜː	ˈʊː	0.434
ˈɜː	ˈœː	0.289
ˈɜː	ˈɛː	0.243
ˈɪ	ˈɪː	0.305
ˈɪ	ˈeː	0.118
ˈɪ	ˈʏ	0.109
ˈɪ	ˈøː	0.073
ˈɪ	ˈœ	0.07
ˈɪ	ˈɛ	0.07
ˈɪ	ˈiː	0.056
ˈɪ	ˈɒː	0.052
ˈʊ	ˈɔ	0.365
ˈʊ	ˈɔː	0.241
ˈʊ	ˈʊː	0.238
ˈʊ	ˈoː	0.157
θ	d	0.686
θ	t	0.256
θ	-	0.057
