Middle High German	Proto-Germanic	probability
ˈɑː	ˈɛː	1.0
ˈɑ_n	ˈɑ_n	1.0
ˈɑ	ˈɑ	1.0
ˈøː	ˈɑu̯	1.0
ˈøy̯	ˈɑu̯	1.0
ˈæː	ˈɑː	1.0
ˈyə̯	ˈɔː	1.0
ˈy	ˈu	1.0
ˈuː	ˈuː	1.0
ˈuə̯_t	ˈɔː_θ	1.0
ˈuə̯	ˈɔː	1.0
ˈu	ˈu	1.0
ˈoː	ˈɑu̯	1.0
ˈou̯	ˈɑu̯	1.0
ˈo	ˈu	1.0
ˈeː	ˈɑi̯_w	1.0
ˈei̯_n	ɑi̯	1.0
ˈei̯	ˈɑi̯	1.0
ˈe	ˈɑ	1.0
ʦ	t	1.0
ʃː	s_k	1.0
ɛ	e	1.0
ə_l	l_ɑ	1.0
ɑ	-	1.0
ŋ	ŋ	1.0
x_t	x_t	1.0
v	ɸ	1.0
tː	ð_j	1.0
s̻ː	t	1.0
s_ˈɑ	s_ˈɑ	1.0
s_t	s_t	1.0
rː	-	1.0
r_n	r_n	1.0
p͡f	p	1.0
p	p	1.0
oː	ɔː	1.0
ou̯	ˈɑu̯	1.0
nː	nː	1.0
mː	mː	1.0
m_ə	m_ɔːː	1.0
m	m	1.0
lː	lː	1.0
k	k	1.0
i	ɑ	1.0
fː	p	1.0
d	θ	1.0
s	s	0.986
l	l	0.954
ˈɛ	ˈe	0.943
n	n	0.933
h	x	0.92
w	w	0.861
ˈi	ˈi	0.86
ˈiə̯	ˈeu̯	0.855
r	r	0.853
ə_n	ɑ_n	0.833
ˈiː	ˈiː	0.767
ɡ	ɣ	0.751
b	b	0.727
kː	ɣ_j	0.715
b̥	β_ɑ	0.702
t	ð	0.679
f	p	0.679
ˈyː	-	0.622
s̻	t	0.604
ɡ̊	ɣ_ɑ	0.583
x	k	0.562
ə_r	r	0.521
xː	k	0.509
ʃ	s	0.508
ʃ	s_k	0.492
xː	k_i	0.491
d̥	θ	0.488
x	x	0.438
ˈyː	ˈiu̯	0.378
ɡ̊	ɡ	0.299
b̥	β	0.298
ə	j_ɑ	0.293
kː	k	0.285
b	β	0.273
d̥	d	0.242
ə_r	r_ɑ	0.24
ə_r	r_u	0.24
t	t	0.232
s̻	t_ɑ	0.217
ɡ	ɡ	0.211
s̻	t_s	0.179
ˈiː	ˈi	0.178
ə_n	n	0.167
ə	u	0.167
d̥	d_ɑ	0.163
f	ɸ	0.161
f	i_ɸ	0.161
ˈiə̯	ˈeː	0.145
ˈi	ˈe	0.14
ə	ɔː	0.136
ɡ̊	ɣ	0.118
d̥	d_u	0.107
r	z	0.106
ə	ɛː	0.093
t	d	0.09
ə	i	0.08
h	xʷ	0.08
w	-	0.074
ə	ɑ	0.071
w	xʷ	0.065
ˈɛ	-	0.057
ə	e	0.056
ˈiː	ˈĩː	0.055
ə	ɔːː	0.052
