Swabian	Swabian	probability
ˈʌ	ˈɪɛ̯	1.0
ˈɪ	ˈɪ	1.0
ˈɛː	-	1.0
ˈɔə̯	ˈoː	1.0
ˈɔe̯	ˈeː	1.0
ˈuː	-	1.0
ˈiː	-	1.0
ˈeə̯	n	1.0
ˈaː_ɡ	ɡ	1.0
ˈae̯_#>	ˈaɪ̯_#>	1.0
ʦ	t	1.0
ʣ	t	1.0
ʌ	ɐ	1.0
ʃ_d	s_t	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɡ_s	s	1.0
ŋ	ŋ	1.0
ç_d	ç	1.0
ç	k	1.0
x_#>	k_ə_#>	1.0
t	d̥	1.0
s_a	t_n	1.0
n_d	n	1.0
n	n	1.0
m	m	1.0
j	j	1.0
h	h	1.0
eə̯	aɪ̯	1.0
e	ə	1.0
d_a	n	1.0
b̥͡f	p	1.0
b_a	v_n	1.0
a_#>	#>	1.0
a	n	1.0
<#_ˈɛ	<#_ˈa	1.0
<#_ʦ	<#_t	1.0
<#_kʰ	<#_k	1.0
l	l	0.933
ʁ	r	0.857
ʋ	v	0.783
ˈɔː	ˈɔː	0.75
ˈu	-	0.75
ˈae̯	-	0.75
b	b	0.731
ˈo	ˈʊ	0.714
ˈiə̯	ˈaɪ̯	0.714
ˈɔ	-	0.667
ˈeː	n	0.667
ˈe	ˈɪ	0.667
x	x	0.667
ˈəi̯	ˈiː	0.643
f	f	0.629
ˈa	ˈa	0.621
#>	n_#>	0.6
ʕ	ɐ	0.588
ˈaː	-	0.571
ˈi	ˈɪ	0.562
ˈuə̯	ˈoː	0.556
d	d	0.485
ɡ	x	0.467
ˈoː	ˈaʊ̯	0.462
ˈao̯	ˈuː	0.429
s	s	0.417
ʕ	-	0.412
#>	k_#>	0.4
ˈɛ	ˈɛ	0.375
ˈi	-	0.375
d	d̥	0.364
ˈao̯	ˈaʊ̯	0.357
ˈɔ	ˈɔ	0.333
ˈeː	-	0.333
ˈe	ˈɛ	0.333
x	k	0.333
ˈɛ	ˈɪɛ̯	0.312
ˈɛ	-	0.312
ˈo	-	0.286
ˈiə̯	ˈøː	0.286
ˈaː	ˈa_n	0.286
s	t	0.278
ˈɔː	-	0.25
ˈu	ˈʏ	0.25
ˈae̯	n	0.25
ˈoː	ˈɔː	0.231
f	p	0.229
ˈuə̯	ˈøː	0.222
ˈuə̯	-	0.222
ʋ	ʋ	0.217
ˈəi̯	ˈyː	0.214
ˈao̯	ˈʊ	0.214
ɡ	ç	0.167
ɡ	k	0.167
ˈoː	ˈuːə̯	0.154
ˈoː	-	0.154
b	v	0.154
ˈəi̯	ˈɪ	0.143
ˈaː	ˈɒː	0.143
ʁ	-	0.143
s	z̥	0.139
ˈa	ˈaː	0.138
ɡ	ɡ	0.133
d	t	0.121
ˈa	ˈɔ	0.103
f	-	0.086
b	ʋ	0.077
ˈa	ˈɛ	0.069
ˈa	-	0.069
ɡ	ŋ	0.067
l	ˈɪɛ̯_l	0.067
ˈi	ˈyːœ̯	0.062
f	v	0.057
s	z_ə	0.056
s	z	0.056
s	t_ə	0.056
