Logudorese	Québécois French	probability
bː	-	1.0
f	f	1.0
rː	-	1.0
z	-	1.0
ð	-	1.0
ɖ	-	1.0
ɖː	-	1.0
ʣ	-	1.0
ʦ	-	1.0
e	œ	0.1
k	s	0.151
o	ɔ	0.151
o	-	0.271
t	-	0.781
u	i	0.101
ˈi	w_ɛ	0.201
a	a_m	0.102
d	ʣ	0.132
e	ã	0.072
e	-	0.102
p	-	0.052
s	s	0.682
u	j	0.142
a	e	0.233
a	-	0.3
j	-	0.193
m	ã	0.203
n	-	0.743
nː	n	0.923
o	u	0.153
ɡ	ʒ	0.323
ˈi	ɪ	0.223
b	-	0.104
k	k	0.274
l	-	0.164
sː	s	0.734
ˈu	-	0.14
ˈu	y	0.504
β	-	0.954
k	ʃ	0.225
k	-	0.35
o	ɑɔ̯	0.425
u	-	0.35
ŋ	ɒ̃ʊ̯̃	0.255
ŋ	-	0.745
ˈe	-	0.35
ˈo	u	0.15
ˈo	ɔ	0.185
ˈu	u	0.225
i	-	0.976
l	l	0.836
r	l	0.076
sː	-	0.266
ɣ	-	0.966
ˈe	j	0.136
ˈe	w_ɛ	0.206
ˈi	ɛ	0.156
ˈu	ʊ	0.056
b	b	0.227
j	ʒ	0.807
n	n	0.257
nː	-	0.077
r	-	0.237
r	ʁ	0.687
ˈa	oʊ̯	0.077
ˈa	æɛ̯	0.397
ˈi	i	0.097
ˈi	æɛ̯	0.117
ˈo	aœ̯	0.067
ˈo	ɑɔ̯	0.277
a	j	0.098
a	a	0.268
d	d	0.818
e	i	0.298
m	m	0.488
s	-	0.318
ɡ	ɡ	0.278
ˈa	a	0.098
ˈa	-	0.408
ˈe	w	0.128
ˈi	-	0.188
ˈo	-	0.218
b	v	0.669
e	j	0.159
e	e	0.269
m	-	0.309
p	p	0.919
t	t	0.219
u	ɒ̃ʊ̯̃	0.089
u	øʏ̯	0.089
u	oʊ̯	0.229
ɡ	-	0.399
ˈe	æɛ̯	0.109
