Ligurian	Ligurian	probability
ˈɛː_r	ˈe	1.0
ˈɛ	ˈe	1.0
ˈø	ˈœ	1.0
ˈe_l	l	1.0
ˈe_j	ʀ_ə	1.0
ˈaː_#>	ˈa_#>	1.0
ˈaː	ˈa	1.0
ˈa_ʃ	j_s	1.0
ʒ_e	s	1.0
ɲ	ɲ	1.0
ɥ	a_d	1.0
ɡ_w	ɡ	1.0
ɡ_u	k	1.0
ŋ_t	ŋ	1.0
ŋ_a	n_ɔ	1.0
z_u_#>	#>	1.0
y	-	1.0
w_ˈiː	ˈu	1.0
v_ˈa	v_ˈa	1.0
v_e_#>	w_#>	1.0
t_ˈe	ˈɛ	1.0
t_u_#>	#>	1.0
t_u	j	1.0
t_e	j	1.0
sː	-	1.0
s_w	lː	1.0
s_u	ˈɔ_s	1.0
s_e	s	1.0
r_ˈe	ʀ_ˈɪ	1.0
r_u	ə	1.0
r_t	ˈɔ	1.0
r_n	ʀ	1.0
r_i	ə	1.0
r_b	w_b	1.0
o	-	1.0
l_ˈeː	ˈɪ_l	1.0
k_w	k	1.0
k_r	k_ʀ	1.0
j_ˈaː	ˈa_w	1.0
j_u	ə	1.0
j_a	ʀ_ɔ	1.0
a_ŋ	ã_ŋ	1.0
<#_ʒ	<#_v	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_ɒ	1.0
ŋ	ŋ	0.946
u_#>	#>	0.941
p	p	0.903
ˈuː	ˈu	0.857
r	ʀ	0.852
f	f	0.842
m	m	0.828
z	ʤ	0.818
ˈøː	w_ˈɔ	0.8
b	b	0.8
a	ɔ	0.768
ˈɔ	w	0.75
ˈiː	ˈi	0.727
ˈeː	ˈe	0.714
l	l	0.706
s	s	0.689
t	t	0.684
ʤ	ʎ	0.652
ˈi	ˈi	0.615
ʧ	p_l	0.6
s_t	t	0.6
ˈa	ˈã	0.56
i	-	0.545
#>	ə_#>	0.545
ɡ	ɡ	0.533
k	ʧ	0.514
ˈyː	ˈy_ʀ	0.5
ˈyː	ˈy	0.5
ʃ	s	0.5
ʃ	f_l	0.5
w	-	0.5
d	-	0.462
#>	ɔ_#>	0.455
n	n	0.444
ˈa	ˈa	0.44
v	v	0.429
k	k	0.405
e	ə	0.405
ʧ	k_l	0.4
s_t	ˈɔ_t	0.4
ˈi	ˈĩ	0.385
ˈy	ˈỹ	0.375
ˈy	-	0.375
ʒ	s	0.375
u	ə	0.364
ˈe	ˈɪ	0.345
ˈɛː	ˈe	0.333
ˈɛː	ˈa	0.333
ˈɔː	w	0.333
n	ŋ	0.333
j	-	0.333
ˈu	ˈu	0.318
ˈe	ˈe	0.31
l	ʎ	0.294
e	-	0.286
ˈiː	-	0.273
ʤ	ʤ	0.261
ˈɔ	w_ˈɔ	0.25
ˈy	ˈy	0.25
ʒ	z	0.25
ʒ	-	0.25
w	u	0.25
w	j	0.25
d	d	0.231
ˈu	ˈũ	0.227
ˈɔː	ˈa_w	0.222
ˈɔː	ˈa	0.222
ˈɔː	w_ˈɔ	0.222
n	ŋ_d	0.222
v	vʲ	0.214
ˈe	ˈẽ	0.207
ˈɛː	ˈɪ	0.2
ˈøː	j_ˈɔ	0.2
ɡ	-	0.2
j	ʀ	0.2
j	w	0.2
b	b_w	0.2
z	-	0.182
i	ə	0.182
i	i	0.182
v	b	0.179
t	ʧ	0.158
t	-	0.158
f	fʲ	0.158
d	j_ʀ	0.154
d	dʲ	0.154
u	ɔ	0.152
ˈuː	-	0.143
ˈeː	ˈɪ	0.143
ˈeː	ˈa_l	0.143
ˈe	ˈɪ̃	0.138
ˈu	ˈɔ̃	0.136
ˈu	w_ˈɔ̃	0.136
ˈɛː	ʀ	0.133
ɡ	ʤ	0.133
ɡ	k	0.133
s	ɪ	0.133
j	j	0.133
j	i	0.133
ʒ	ʒ	0.125
u	w	0.121
v	w	0.107
a	ɒ	0.107
m	mʲ	0.103
p	-	0.097
e	ʀ	0.095
ˈu	ˈy	0.091
ˈu	w	0.091
u	u	0.091
i	ĩ	0.091
ʤ	b_l	0.087
r	ˈɔ	0.074
r	ʀ_ˈe	0.074
v	ʀ	0.071
e	e	0.071
m	-	0.069
u	ˈũ_ŋ	0.061
u	y	0.061
u	l	0.061
u	e	0.061
u_#>	s_#>	0.059
ŋ	m	0.054
k	k_w	0.054
a	ˈa	0.054
