Bavarian	Old High German	probability
β	b	1.0
ˈɛ	ˈɛ	1.0
ˈɒː	ˈɑ	1.0
ˈɒ	ˈɑ	1.0
ˈɑː	ˈɑ	1.0
ˈɑ	ˈɑ	1.0
ˈuɐ̯	ˈuo̯	1.0
ˈu_j	ˈuo̯_l	1.0
ˈoɐ̯	ˈei̯	1.0
ˈou̯	ˈoː	1.0
ˈiː	ˈi	1.0
ˈau̯	ˈuː	1.0
ɡ̊_s	x_s	1.0
ɡ̊_r	ɡ_r	1.0
ɑ	-	1.0
ɐ_n	r_n	1.0
ɐ_d̥	r_t	1.0
sː	s̻ː	1.0
r	r	1.0
l	l	1.0
kʰ	kʰ	1.0
i	-	1.0
h	h	1.0
f	f	1.0
eː	ɛ_h	1.0
d̥_r	d_r	1.0
b̥͡v̥	p͡f	1.0
ʋ	w	0.979
b̥	b	0.966
j	l	0.92
ˈiɐ̯	ˈio̯	0.882
fː	f	0.851
ˈu	ˈu	0.838
ʦ	ʦ	0.835
ˈoː	ˈɑː	0.827
ˈi	ˈi	0.813
m	m	0.805
ə	-	0.75
ˈo	ˈo	0.702
n	n	0.679
ç	-	0.642
ˈe	ˈɛ	0.631
d̥	t	0.622
ɡ̊	ɡ	0.621
ɐ	r	0.62
s	s	0.606
ˈaː	ˈou̯	0.598
x	x	0.588
ˈai̯	ˈiː	0.563
ʃ	s	0.529
ʃ	s_k	0.471
x	xː	0.412
a	ɑ_n	0.377
ˈa	ˈɑ	0.359
ˈa	-	0.359
ç	xː	0.358
ˈai̯	ˈiu̯	0.315
ˈaː	ˈuː	0.299
ˈo	ˈɑ	0.298
d̥	d	0.285
ŋ	ŋ_ɡ	0.283
a	ɑ	0.283
ˈe	ˈe	0.282
ˈa	ˈou̯	0.281
s	s̻	0.268
ŋ	ɡ_ɑ	0.254
ˈeː	ˈɛ_h	0.25
ə	u	0.25
ɡ̊	kː	0.247
a	e_n	0.236
ŋ	ŋ	0.234
ˈeː	ˈeː	0.221
ˈeː	ˈɛ	0.197
n	nː	0.194
ˈeː	ˈe	0.191
ˈoː	ˈo	0.173
ˈi	ˈu	0.171
ɐ	ɑ_r	0.17
ʦ	ʦː	0.165
ˈu	-	0.162
ɐ	r_i	0.158
fː	fː	0.149
ˈeː	ˈoː	0.14
ŋ	ɑ	0.135
ɡ̊	k	0.132
s	s̻ː_ɑ	0.126
ˈai̯	-	0.122
ˈiɐ̯	ˈuo̯	0.118
ˈaː	ou̯	0.103
a	oː	0.103
ŋ	ɡ_eː	0.094
ˈe	-	0.087
j	j	0.08
n	e_n	0.071
d̥	t_ɑ	0.069
m	mː	0.06
n	-	0.056
ɐ	ɛ_r	0.053
m	b_ɑ	0.053
