Luxembourgish	Old Frisian	probability
ˈɜɪ̯_ə	ˈi̯aː_ɣ	1.0
ˈɛ	ˈe	1.0
ˈɔ	ˈu	1.0
ˈɑʊ̯	ˈuː	1.0
ˈæːʊ̯	ˈuː	1.0
ˈuə̯	ˈa	1.0
ˈoː_ə	ˈaː	1.0
ʑ	j	1.0
ɣ̊	-	1.0
ɡ̊	ɡ	1.0
ə_ɕ	ə_x	1.0
ə_n	ə	1.0
z̥	z	1.0
w	w	1.0
s	t	1.0
p_ə	pː	1.0
p	p	1.0
kʰ	ʦ	1.0
j	j	1.0
h	h	1.0
e	i	1.0
d̥	d	1.0
b	b	1.0
m	m	0.979
z	s	0.901
l	l	0.855
t	t	0.789
ʀ	r	0.783
ˈoː	ˈeː	0.765
ˈi	-	0.744
d	θ	0.744
ɡ	ɡ	0.728
ʦ	t	0.724
f	f	0.698
ˈeː	ˈɛː	0.668
ˈiə̯	ˈe	0.667
ʃ	s	0.665
ˈæːɪ̯	ˈiː	0.664
v	w	0.658
ɕ	x	0.654
n	n	0.587
χ	k	0.568
ˈo	ˈu	0.551
ɐ	r	0.523
ˈəʊ̯	ˈaː	0.509
ˈɛː	ˈe	0.5
ˈɛː	-	0.5
ˈuː	ˈo	0.5
ˈuː	-	0.5
ˈɑ	ˈi	0.478
k	ɡː	0.459
ˈiː	ˈe	0.436
χ	-	0.432
ŋ	ŋ	0.407
ˈu	ˈoː	0.396
ˈə	ˈe	0.383
ŋ	ŋ_ɡ	0.356
ˈe	ˈi	0.354
ˈɑɪ̯	ˈiː	0.349
ˈe	-	0.344
ˈæːɪ̯	-	0.336
ʃ	s_k	0.335
ˈiə̯	ˈi	0.333
ˈɑɪ̯	ˈi̯uː	0.325
ˈɑɪ̯	ˈeː	0.325
ˈəʊ̯	ˈɔː_n	0.322
ɐ	ə_r	0.312
k	k	0.311
ˈe	ˈe	0.302
ə	-	0.3
ˈaː	ˈa	0.296
ʦ	tː	0.276
ˈu	ˈu	0.274
ˈɜɪ̯	ˈɛː	0.272
ɡ	j	0.272
ˈi	ˈeː	0.256
ˈɜɪ̯	ˈi̯aː	0.246
f	p	0.242
ˈə	ˈi	0.241
ə	j	0.24
ŋ	n_ə	0.237
ˈoː	-	0.235
k	kː	0.23
ˈə	-	0.229
ˈɑ	ˈa	0.226
ˈu	-	0.223
n	ə	0.223
ə	ə	0.219
ˈo	ˈo	0.215
ˈɑ	ˈɔː	0.214
t	d	0.211
ˈaː	ˈɔː	0.202
ˈeː	ˈaː	0.197
ˈiː	ˈo	0.196
ˈiː	ˈi	0.196
ˈaː	ˈaː	0.194
ˈɜɪ̯	ˈeː	0.191
ɕ	k	0.179
ˈiː	-	0.173
ˈəʊ̯	ˈoː	0.17
ɕ	k_ə	0.167
ɐ	r_ə	0.165
ˈaː	ˈe	0.163
ə	a	0.162
ʀ	r_ˈeː	0.152
ˈɜɪ̯	ˈaː	0.15
v	h_w	0.148
ˈə	ˈu	0.147
ˈo	-	0.141
ˈɜɪ̯	-	0.139
d	d	0.138
ˈeː	ˈe_j	0.134
v	v	0.125
d	ð	0.117
ˈu	bː	0.107
z	s_w	0.099
ˈo	ˈɔː	0.094
ˈɑ	-	0.083
ə	ɣ	0.08
n	nː	0.077
ˈaː	ˈe_r	0.074
ˈaː	r	0.071
v	-	0.069
n	n_d	0.067
ʀ	h_r	0.065
l	h_l	0.064
f	p_ə	0.06
l	l_ˈi	0.053
