Franco-Provençal	Ladin	probability
a	a	0.926
a	-	0.068
b	b	0.954
d	d	1.0
e	i	0.573
e	-	0.214
e	a	0.214
eː	-	0.516
eː	e	0.484
f	f	0.945
f	-	0.055
i	a	0.439
i	-	0.286
i	i	0.168
i	ˈe	0.107
ĩ	i	0.661
ĩ	a	0.339
j	j	0.409
j	-	0.322
j	ˈi	0.065
j	ˈo	0.065
j	l	0.062
k	k	0.796
k	ʃ_k	0.139
k	ʨ	0.065
l	l	0.961
m	m	0.902
m	e_m	0.081
n	n	0.922
n	ʃ	0.053
o	e	0.581
o	o	0.279
o	l	0.136
p	p	0.896
p	ʃ_p	0.061
s	s	0.467
s	ʨ	0.205
s	ʧ	0.125
s	ʒ	0.062
t	t	0.753
t	s_t	0.123
t	ʨ	0.072
u	u	0.649
u	o	0.351
v	v	0.872
v	-	0.067
w	w	0.353
w	ˈo	0.214
w	-	0.186
w	ˈu	0.122
w	ˈɔ	0.061
y	u	1.0
z	s	0.559
z	ʒ	0.331
z	ʧ	0.095
ð	ʒ	0.315
ð	-	0.272
ð	v	0.205
ð	r	0.078
ð	d	0.075
ɔ	-	0.548
ɔ	o_r	0.209
ɔ	a	0.133
ɔ	o	0.11
ɔ̃	-	1.0
ə	a	0.404
ə	e	0.399
ə	-	0.086
ɛ	-	1.0
ɛ̃	e	1.0
ɡ	ɡ	0.786
ɡ	v	0.191
ɲ	ɲ	0.893
ɲ	n	0.107
ʁ	r	0.848
ʁ	-	0.084
ʃ	ʨ	0.561
ʃ	ʃ	0.199
ʃ	ʥ	0.091
ʃ	s	0.052
ʎ	d_l	0.414
ʎ	l	0.307
ʎ	-	0.183
ʎ	j	0.096
ʒ	ʒ	0.518
ʒ	m	0.156
ʒ	ʥ	0.116
ʒ	-	0.088
ʒ	d	0.087
ʦ	ʦ	1.0
ˈa	ˈa	0.615
ˈa	ˈe	0.143
ˈa	a	0.119
ˈa	ˈɛ	0.109
ˈe	ˈi	0.286
ˈe	-	0.19
ˈe	ˈɛ	0.169
ˈe	e	0.131
ˈe	ˈe	0.088
ˈe	ˈɔ	0.071
ˈe	ˈu	0.064
ˈeː	ˈe_j	0.322
ˈeː	ˈɛ	0.27
ˈeː	ˈe	0.185
ˈeː	e	0.162
ˈeː	-	0.061
ˈi	ˈi	0.505
ˈi	j	0.312
ˈi	ˈɛ	0.092
ˈi	-	0.055
ˈĩ	ˈi	0.828
ˈĩ	n	0.172
ˈo	ˈo	0.574
ˈo	w_ˈɛ	0.142
ˈo	-	0.087
ˈo	ˈɔ	0.058
ˈo	o	0.056
ˈoː	ˈɔ	0.526
ˈoː	w	0.215
ˈoː	ˈa_w	0.116
ˈu	ˈɔ	0.328
ˈu	ˈɛ	0.311
ˈu	ˈo	0.155
ˈu	ˈu	0.13
ˈu	ˈe	0.077
ˈy	ˈo	1.0
ˈø	ˈɔ	0.362
ˈø	ˈɛ	0.335
ˈø	ˈu	0.178
ˈø	ˈo	0.125
ˈɑ̃	ˈa_n	0.54
ˈɑ̃	ŋ	0.277
ˈɑ̃	ˈa	0.183
ˈɔ	ˈɛ	0.346
ˈɔ	ˈɔ	0.303
ˈɔ	ˈe	0.221
ˈɔ	w	0.079
ˈɔ	ˈi	0.051
ˈɔ̃	ˈo_n	0.429
ˈɔ̃	n	0.349
ˈɔ̃	ˈɔ_n	0.142
ˈɛ	ˈɛ	0.456
ˈɛ	ˈe	0.317
ˈɛ	ˈa	0.086
ˈɛ	w	0.073
ˈɛː	ˈe	1.0
ˈɛ̃	ˈɛ_n	0.503
ˈɛ̃	n	0.193
ˈɛ̃	ɲ	0.158
ˈɛ̃	ˈɛ	0.091
ˈɛ̃	ŋ	0.056
