Old Frisian	Yiddish	probability
ˈe_r	ʀ	1.0
ˈe_j	ˈɔ_ɡ	1.0
ʦ	k	1.0
ʣ	ɡ	1.0
ɣ_ə	ɡ	1.0
ɡ	ɡ	1.0
ə_x	ɪ_k	1.0
ŋ	ŋ	1.0
ð_ə	d_ə	1.0
z	z	1.0
x	χ	1.0
w	v	1.0
v	b	1.0
tː	ʦ	1.0
t_ə	s	1.0
s_ˈe	z_ˈɛ	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
pː	p	1.0
p_ə	f_n	1.0
p	f	1.0
nː	n	1.0
n_d	n_d	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l	ɫ	1.0
kː	k	1.0
k_ə	χ	1.0
j_ə	n	1.0
iː	-	1.0
i	ɪ	1.0
h_w	v	1.0
h	h	1.0
f	f	1.0
d_ə	t_ə	1.0
bː	b	1.0
b	b	1.0
a	n	1.0
ˈa	ˈa	0.924
r	ʀ	0.9
ˈuː	ˈɔɪ̯	0.836
ˈiː	ˈaɪ̯	0.836
ˈoː	ˈʊ	0.835
ˈi	ˈɪ	0.832
ˈɛː	ˈɛɪ̯	0.794
ˈɔː	ˈa	0.762
d	t	0.714
j	ɡ	0.71
θ	d	0.701
ˈu	ˈʊ	0.693
ˈaː	ˈɔɪ̯	0.675
e	ə	0.659
ˈo	ˈɔ	0.618
ˈi̯aː	ˈɪ	0.577
s	z	0.554
t	s	0.547
ˈi̯uː	ˈaɪ̯_ə	0.545
ɣ	-	0.526
ˈe	ˈɛ	0.516
k	k	0.505
k	χ	0.495
ɣ	ɡ	0.474
ˈi̯uː	ˈaɪ̯	0.455
ə	-	0.437
ˈeː	ˈɔ	0.426
ˈi̯aː	-	0.423
s	ʃ	0.396
e	-	0.341
t	t	0.298
j	-	0.29
d	d	0.286
ˈeː	ˈɪ	0.276
ˈu	-	0.257
ə	ə	0.253
ˈɔː	ˈɔ	0.238
ˈe	ˈa	0.224
ˈaː	ˈɛɪ̯	0.214
ə	n	0.212
ˈɛː	-	0.206
ˈo	ˈʊ	0.193
ˈo	-	0.189
θ	t	0.184
ˈoː	ˈa_n	0.165
ˈuː	ˈʊ	0.164
ˈiː	ˈɪ	0.164
t	ʦ	0.155
ˈeː	ˈɛ	0.151
ˈeː	-	0.147
ˈe	ˈɔ	0.137
ˈe	ˈɪ	0.123
θ	-	0.115
ˈaː	-	0.11
ə	ə_n	0.098
ˈa	ˈɔ	0.076
ˈi	ˈɛ	0.056
ˈi	ˈɔ	0.056
ˈi	ˈaɪ̯	0.056
