Kashubian	Macedonian	probability
b	b	1.0
d	d	1.0
i	o	1.0
k	k	1.0
n	n	1.0
p	p	1.0
s	s	1.0
t	t	1.0
u̯ɛ	o	1.0
u̯ˈɛ	ˈo	1.0
v	v	1.0
x	f	1.0
z	z	1.0
ɔ	o	1.0
ə	i	1.0
ɛ	ɛ	1.0
ɲ	n	1.0
ʂ	-	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʣ	d	1.0
ʤ	-	1.0
ˈe	ˈɛ	1.0
ˈi	ˈi	1.0
ˈõ	ˈa	1.0
ˈu	ˈo	1.0
ˈə	ˈi	1.0
l	ɫ	0.331
w	ɫ	0.911
ˈɛ	ˈa	0.181
ʧ	t	0.372
ʧ	-	0.422
r	r	0.773
ɡ	ɡ	0.963
ʐ	r	0.863
ˈɔ	ˈo	0.463
ˈɞ	ˈo	0.183
ʦ	t	0.444
ˈa	ˈa	0.24
ˈɛ	ˈo	0.084
a	ɛ	0.085
a	a	0.915
f	v	0.355
f	f	0.645
j	j	0.465
j	ɛ	0.535
ˈɛ	ˈɛ	0.735
ˈa	ˈɛ	0.76
m	m	0.977
r	ˈr̩	0.227
ʐ	-	0.137
ʦ	-	0.097
ʧ	ʧ	0.207
ˈɞ	ˈɛ	0.817
ˈɔ	ˈɛ	0.208
l	l	0.669
w	-	0.089
ʦ	ʦ	0.459
ˈɔ	ˈa	0.329
