Icelandic	American English	probability
θ	θ	1.0
ˈʏ_ɡ̊	ˈaʊ̯	1.0
ˈɪː	ˈɪ	1.0
ˈɛi̯	ˈoʊ̯	1.0
ˈɔː	ˈʌ	1.0
ˈɔu̯	-	1.0
ˈɑu̯	-	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈu	ˈʌ	1.0
ˈou̯	-	1.0
ˈiː_r̥	ˈaʊ̯	1.0
ˈi	ˈɪ	1.0
ˈeːi̯	-	1.0
ˈaːu̯	ˈoʊ̯	1.0
ʰt͡n̥	ɾ	1.0
ʰp	p	1.0
ʰc	ʧ	1.0
ʏ	-	1.0
ɲ	ŋ	1.0
ɡ̊ː	ʤ	1.0
ɡ̊_ʏ	ɡ	1.0
ɟ̊ː	-	1.0
ɛ	-	1.0
ɑu̯	i	1.0
ð_ʏ	ð	1.0
ç	h	1.0
x	-	1.0
v_ˈɪː	w	1.0
v_ˈɛː	w	1.0
v_ˈa	w_ˈɔ	1.0
u	-	1.0
t͡l̥	ɫ	1.0
tʰ	tʰ	1.0
sː	s	1.0
s_k	ʃ	1.0
s_j	s	1.0
s_c	ʃ	1.0
r̥_t	ɹ_ʔ	1.0
r_a	ɚ	1.0
pʰ	pʰ	1.0
n̥	n	1.0
m	m	1.0
kʰ_v	w	1.0
kʰ	kʰ	1.0
j_ˈɛ	ˈʌɪ̯	1.0
j_ˈuː	ˈaɪ̯	1.0
j_ˈoːu̯	ˈi	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
cʰ	kʰ	1.0
c	k	1.0
b̥	b	1.0
aːu̯	t_i	1.0
s	s	0.949
n	n	0.9
t͡n̥	n	0.812
ŋ	ŋ	0.787
k	k	0.775
p	p	0.754
nː	n	0.75
r	ɹ	0.737
t	ʔ	0.707
ð	d	0.669
ˈɛː	ˈɛ	0.667
r̥	ɚ	0.653
l̥	ɫ	0.614
ˈaːi̯	ˈi	0.596
ʰt	ʔ	0.594
ˈai̯	ˈɛ	0.593
ˈoːu̯	-	0.582
ɡ̊	-	0.574
l	ɫ	0.572
ˈa	ˈɑ	0.571
ɟ̊	ɡ	0.571
ˈœːy̯	ˈɛ	0.561
ˈɛːi̯	ˈoʊ̯	0.553
ˈɑːu̯	ˈi	0.536
ɪ	ɚ	0.508
ˈau̯	ˈɛ	0.5
ˈau̯	-	0.5
ʰk	ŋ_k	0.5
ʰk	k	0.5
ˈɔ	ˈɔ	0.493
ɪ	-	0.492
ˈaː	ˈeɪ̯	0.465
ˈɑːu̯	-	0.464
ˈɛːi̯	ˈi	0.447
ˈœːy̯	ˈi	0.439
ˈuː	ˈʌ	0.435
ˈʏː	ˈʌ	0.432
ɟ̊	-	0.429
ˈɛ	-	0.427
j	ˈɛ	0.408
ˈai̯	-	0.407
ˈaːi̯	-	0.404
ˈɪ	ˈɪ	0.393
l̥	-	0.386
ˈɔ	w	0.385
ˈɪ	ˈaɪ̯	0.375
j	-	0.371
ˈʏ	ˈʌ	0.36
ˈiː	ˈaɪ̯	0.351
ˈuː	ˈaʊ̯	0.334
ˈʏː	ˈaɪ̯	0.333
ˈɛː	ˈi	0.333
v	w	0.328
ˈʏ	-	0.32
ɡ̊	ɡ	0.31
v	v	0.303
ˈaː	-	0.3
ˈɛ	ˈɛ	0.293
t	t	0.293
l	l	0.291
ˈiː	ˈi	0.279
ʰt	-	0.259
nː	θ	0.25
p	-	0.246
ˈaː	ˈæ	0.235
ˈʏː	-	0.234
ˈɪ	-	0.233
ˈuː	-	0.231
ˈa	ˈɛə̯	0.231
k	ʧ	0.225
ŋ	-	0.213
ð	θ	0.206
r̥	ɹ	0.204
ˈʏ	ˈaʊ̯	0.201
v	f	0.188
t͡n̥	-	0.188
ˈɛ	ˈæ	0.187
v	-	0.181
ˈoːu̯	ˈu	0.179
ˈiː	-	0.147
ʰt	ˈʌɪ̯_ʔ	0.147
ð	ð	0.125
j	ˈɪ	0.125
ˈɔ	ˈʌ	0.122
ˈa	-	0.121
ˈoːu̯	ˈʌ	0.12
ˈoːu̯	ˈʊ	0.12
ˈʏ	ˈʊ	0.119
ɡ̊	j	0.116
ˈiː	ˈʌɪ̯	0.112
ˈiː	ˈɪ	0.111
n	-	0.1
j	ˈi	0.097
ˈɛ	ˈɪ	0.093
r	ˈɝ	0.09
r	ˈɔ	0.087
r	-	0.086
r̥	ˈu	0.083
ˈa	ˈeɪ̯	0.077
l	ˈoʊ̯_ɫ	0.07
l	ˈæ	0.067
r̥	-	0.061
s	-	0.051
