Macedonian	Slovenian	probability
b	b	1.0
d	d	1.0
i	i	1.0
j	j	1.0
k	k	1.0
l	l	1.0
m	m	1.0
n	n	1.0
p	p	1.0
r	r	1.0
t	t	1.0
u	ə	1.0
v	ʋ	1.0
z	z	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʣ	z	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ˈu	úː	1.0
o	ɔ	0.431
ɛ	ə	0.192
ɛ	ɛ	0.262
ˈi	íː	0.472
ˈo	ɔ̀ː	0.172
a	a	0.963
ɛ	t_i	0.173
ɛ	éː	0.33
ɡ	ʋ_#>	0.143
ɫ	w	0.43
ˈo	òː	0.133
ˈr̩	r	0.143
ˈɛ	éː	0.253
f	-	0.754
o	óː	0.284
s	<#_x	0.134
ˈi	i	0.114
ˈi	ìː	0.414
ˈo	ɔ́	0.064
ˈo	óː	0.274
ˈr̩	ə́_r	0.214
ˈɛ	e	0.124
ˈɛ	ɛ̀ː	0.24
o	ə	0.285
ˈr̩	ə_r	0.265
ˈɛ	èː	0.35
f	x	0.246
s	s	0.866
ˈa	áː	0.386
ˈa	àː	0.516
ɡ	ɡ	0.857
ɫ	l	0.57
ˈo	ɔ́ː	0.137
ˈa	óː	0.098
ˈr̩	ə̀_r	0.378
ˈo	o	0.219
