Proto-Germanic	Pennsylvania German	probability
b	b	0.925
b	-	0.075
d	d	0.541
d	d̥	0.299
d	-	0.143
e	ɑ	0.932
e	eː	0.068
i	-	0.835
i	ɪ	0.068
iː	-	1.0
j	-	0.712
j	ˈiː	0.149
j	j	0.108
jː	ˈɔɪ̯	1.0
k	-	0.3
k	kʰ	0.256
k	k	0.138
k	ç	0.131
k	x	0.108
k	ɡ	0.067
kʷ	ç	0.481
kʷ	f	0.309
kʷ	k	0.118
kʷ	kʰ	0.091
kː	k	1.0
l	l	0.941
l	-	0.059
lː	l	1.0
m	m	0.892
m	n	0.108
mː	m	1.0
n	-	0.508
n	n	0.472
nː	n	1.0
p	f	0.751
p	pʰ	0.145
p	p	0.068
pː	f	0.655
pː	p	0.345
r	ɾ	0.551
r	ɑ	0.332
r	-	0.117
s	s	0.496
s	ʃ	0.454
t	s	0.356
t	ʦ	0.296
t	t	0.219
t	d	0.089
tː	ʦ	1.0
u	-	0.744
u	ə	0.212
w	ʋ	0.726
w	-	0.203
wː	ˈaʊ̯	0.569
wː	ˈaɪ̯	0.431
x	h	0.588
x	-	0.149
x	ç	0.13
x	x	0.068
xʷ	ʋ	0.336
xʷ	k	0.262
xʷ	-	0.248
xʷ	v	0.155
z	-	0.965
ð	d̥	0.484
ð	d	0.35
ð	-	0.12
ŋ	ŋ	0.817
ŋ	-	0.183
ɑ	-	0.561
ɑ	ə	0.404
ɑi̯	ˈa	1.0
ɑː	ə	1.0
ɑ̃	-	0.955
ɔː	ɑ	0.787
ɔː	ə	0.13
ɔː	-	0.083
ɔːu̯	-	1.0
ɔːː	ɑ	0.517
ɔːː	ə	0.353
ɔːː	-	0.131
ɔ̃ː	ə	0.335
ɔ̃ː	ˈɔː	0.335
ɔ̃ː	-	0.33
ɛː	ɑ	1.0
ɡ	-	0.74
ɡ	ç	0.26
ɡʷ	-	1.0
ɣ	ɡ	0.39
ɣ	-	0.213
ɣ	k	0.14
ɣ	ɡ̊	0.094
ɣ	j	0.076
ɣ	ɣ	0.056
ɸ	f	1.0
ˈe	ˈɛː	0.3
ˈe	ˈɛ	0.25
ˈe	ˈɪ	0.152
ˈe	ˈeː	0.087
ˈeu̯	ˈiː	0.818
ˈeu̯	ˈɪ	0.091
ˈeu̯	ˈʊ	0.091
ˈi	ˈɪ	0.713
ˈi	ˈaɪ̯	0.127
ˈi	ˈa	0.056
ˈiu̯	ˈaɪ̯	1.0
ˈiː	ˈaɪ̯	1.0
ˈĩː	ˈaɪ̯	1.0
ˈu	ˈʊ	0.413
ˈu	ˈaː	0.152
ˈu	ˈɔ	0.11
ˈu	ˈɪ	0.102
ˈu	ˈɛ	0.068
ˈu	ˈa	0.052
ˈuː	ˈaʊ̯	0.706
ˈuː	ˈuː	0.126
ˈuː	ɑ	0.092
ˈuː	ˈaɪ̯	0.076
ˈɑ	ˈa	0.493
ˈɑ	ˈɔː	0.247
ˈɑ	ˈɛ	0.127
ˈɑ	ˈaː	0.084
ˈɑi̯	ˈeː	0.848
ˈɑi̯	ˈaɪ̯	0.082
ˈɑu̯	ˈɔː	0.372
ˈɑu̯	ˈoː	0.361
ˈɑu̯	-	0.145
ˈɑu̯	ˈaʊ̯	0.057
ˈɑː	ˈeː	1.0
ˈɔ	ˈiː	1.0
ˈɔː	ˈuː	0.565
ˈɔː	ˈiː	0.241
ˈɔː	ˈʊ	0.194
ˈɛː	ˈoː	0.612
ˈɛː	ˈɔː	0.328
ˈɛː	ˈɛː	0.06
β	v	0.589
β	b̥	0.362
θ	d	0.694
θ	d̥	0.255
θ	-	0.051
