Danish	American English	probability
b̥	b	0.777
b̥	p	0.223
d̥	d	0.988
e	i	0.674
e	ɪ	0.326
f	f	0.976
h	h	1.0
i	i	1.0
j	k	0.322
j	-	0.29
j	h	0.257
j	ˈaɪ̯	0.069
j	ˈi	0.061
jˀ	ˈeɪ̯	1.0
k	-	0.543
k	k	0.193
k	ŋ_k	0.159
k	ʧ	0.105
kʰ	kʰ	0.54
kʰ	ʧ	0.37
kʰ	-	0.09
l	l	0.663
l	ɫ	0.301
lˀ	ɫ	0.663
lˀ	f	0.202
lˀ	ɚ	0.134
m	m	0.877
m	ɹ_m	0.084
mˀ	m	0.504
mˀ	v	0.496
n	n	0.92
n	-	0.057
nˀ	n	0.799
nˀ	θ	0.102
nˀ	ɾ	0.099
p	p	1.0
pʰ	pʰ	1.0
s	s	0.74
s	ʃ	0.19
t	ʔ	0.493
t	t	0.348
t	ɾ	0.058
t	tː	0.056
w	v	0.411
w	f	0.29
w	ˈɛ	0.107
w	k	0.054
wˀ	m	0.732
wˀ	v	0.268
ð̞ˠ	ʔ	0.488
ð̞ˠ	d	0.376
ð̞ˠ	θ	0.119
ŋ	ŋ	0.645
ŋ	-	0.233
ŋ	n	0.122
ŋˀ	ŋ	1.0
ɐ	ɚ	0.533
ɐ	ɹ	0.195
ɐ	ð_ɚ	0.163
ɐˀ	ɹ	0.899
ɐˀ	ˈɝ	0.101
ə	-	0.435
ə	ə	0.33
ə	oʊ̯	0.111
ə	ɚ	0.057
ɡ̊	ɡ	0.581
ɡ̊	ʤ	0.222
ɡ̊	j	0.127
ɡ̊	-	0.069
ʁ	ɹ	0.951
ʋ	w	0.849
ʋ	-	0.112
ʦʰ	θ	0.496
ʦʰ	tʰ	0.43
ʨ	θ	1.0
ˈa	ˈæ	0.447
ˈa	ˈɑ	0.207
ˈa	ˈeɪ̯	0.116
ˈa	ˈʌ	0.083
ˈa	ˈu	0.079
ˈa	ˈʌɪ̯	0.067
ˈaː	ˈeɪ̯	1.0
ˈe	ˈɪ	0.567
ˈe	ˈaɪ̯	0.216
ˈe	ˈɛ	0.148
ˈeˀ	ˈoʊ̯	0.362
ˈeˀ	ˈi	0.181
ˈeˀ	ˈɪ	0.137
ˈeˀ	ˈɛ	0.132
ˈeˀ	ˈæ	0.104
ˈeː	ˈæ	0.789
ˈeː	ˈi	0.211
ˈi	j	0.283
ˈi	ˈaɪ̯	0.283
ˈi	ˈi	0.283
ˈi	ˈɝ	0.151
ˈiˀ	ˈaɪ̯	0.531
ˈiˀ	ˈɛ	0.171
ˈiˀ	ˈʌɪ̯	0.164
ˈiˀ	ˈɪ	0.097
ˈiː	ˈaɪ̯	0.411
ˈiː	ˈeɪ̯	0.185
ˈiː	ˈʌɪ̯	0.176
ˈiː	ˈɔ	0.125
ˈiː	ˈɪ	0.103
ˈo	ˈɔ	0.679
ˈo	w	0.184
ˈo	ˈʌ	0.137
ˈoˀ	ˈu	0.305
ˈoˀ	ˈʊ	0.235
ˈoˀ	ˈaʊ̯	0.194
ˈoˀ	ˈɔ	0.097
ˈoˀ	-	0.092
ˈoˀ	ˈʌ	0.077
ˈoː	ˈeɪ̯	0.279
ˈoː	ˈoʊ̯	0.278
ˈoː	w	0.203
ˈoː	ˈʌ	0.129
ˈoː	ˈɛ	0.11
ˈu	ˈaʊ̯	0.305
ˈu	ˈʌ	0.264
ˈu	w_ˈʊ	0.247
ˈu	ˈʊ	0.08
ˈu	ˈɑ	0.052
ˈu	ˈoʊ̯	0.051
ˈuˀ	ˈaʊ̯	0.571
ˈuˀ	-	0.197
ˈuˀ	ˈaɪ̯	0.132
ˈuˀ	ˈɛ	0.1
ˈuː	ˈʌ	0.433
ˈuː	w	0.261
ˈuː	ˈaɪ̯	0.167
ˈuː	ˈaʊ̯	0.139
ˈy	ˈɪ	1.0
ˈyˀ	ˈi	0.622
ˈyˀ	ˈu	0.134
ˈyˀ	ˈɛ	0.089
ˈyˀ	ˈʌɪ̯	0.089
ˈyˀ	ˈɪ	0.066
ˈyː	w	0.386
ˈyː	ˈu	0.267
ˈyː	ˈɪ	0.14
ˈyː	ˈi	0.129
ˈyː	ˈaɪ̯	0.078
ˈæ	ˈɑ	0.838
ˈæ	ˈɔ	0.162
ˈæˀ	ˈeɪ̯	1.0
ˈæː	ˈeɪ̯	1.0
ˈø	ˈɪ	1.0
ˈøː	ˈi	0.716
