Spanish	Spanish	probability
β_ɾ	v	1.0
ˈu_n	œ̃ʏ̯̃	1.0
ˈo_n	ɒ̃ʊ̯̃	1.0
ˈi_ʝ	oʊ̯	1.0
ˈi_ɾ	i_ʁ	1.0
ˈi_ɣ	i	1.0
ˈi_s	ɛɪ̯	1.0
ˈe_θ	s	1.0
ˈe_β	f	1.0
ˈe_ɾ	ʁ	1.0
ˈe_ɣ	øʏ̯	1.0
ˈe_s	o	1.0
ˈe_n	ɒ̃ʊ̯̃	1.0
ˈa_ɾ	e	1.0
ˈa_ŋ	ã	1.0
ˈa_ð	e	1.0
ˈa_n	ẽɪ̯̃	1.0
ˈa_l	oʊ̯	1.0
ʧ_o	i	1.0
ʧ	t	1.0
ɾ_t	ʁ	1.0
ɲ_o	ẽɪ̯̃	1.0
ɲ	-	1.0
ŋ	ẽɪ̯̃	1.0
ð_ɾ	ʁ	1.0
x	j	1.0
w_ˈa	a	1.0
t_o_#>	#>	1.0
s_ˈe	s	1.0
r	ʁ	1.0
p_j	p	1.0
o_ɾ	ɑɔ̯_ʁ	1.0
o_n	ɒ̃ʊ̯̃	1.0
o_#>	#>	1.0
n_w	n	1.0
n_t	ã	1.0
n_o	ẽɪ̯̃	1.0
n_a	n	1.0
k_w	k	1.0
k_a	ʃ	1.0
i	-	1.0
f	f	1.0
e_s	e	1.0
b_w	b	1.0
b_j	v	1.0
a_θ	æɛ̯	1.0
a_β	œ_v	1.0
a_#>	#>	1.0
<#_x	<#_ʒ	1.0
<#_t	<#_t	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
#>	e_#>	1.0
p	p	0.926
m	m	0.9
<#	<#_f	0.867
l	l	0.818
ɾ	ʁ	0.797
t	t	0.789
ɡ	ɡ	0.778
<#_r	<#_ʁ	0.778
s	s	0.735
ð	-	0.615
e	-	0.614
n	n	0.605
w	-	0.6
j_ˈe	æɛ̯	0.6
b	v	0.577
ɣ	-	0.556
w_ˈe	ɑɔ̯	0.545
θ	s	0.542
ˈa	æɛ̯	0.536
d	d	0.533
θ_#>	ɛ_#>	0.5
θ_#>	#>	0.5
ʝ	l	0.5
ʝ	-	0.5
u	u	0.5
u	-	0.5
k	k	0.476
a	a	0.474
β	-	0.467
ˈi	ɪ	0.458
w_ˈe	ɔ	0.455
ɣ	ɡ	0.444
k	ʃ	0.429
ˈu	y	0.412
w	œ	0.4
j_ˈe	j	0.4
j	j	0.353
b	b	0.346
ˈi	-	0.333
ˈa	a	0.321
o	u	0.316
ɟ͡ʝ	ʒ	0.3
ɟ͡ʝ	l	0.3
ˈu	w	0.294
β	v	0.267
β	b	0.267
d	ʣ	0.267
s	-	0.265
a	æɛ̯	0.263
θ	-	0.25
ˈe	-	0.25
j	-	0.235
ˈe	ɛ	0.232
ˈe	w	0.232
ð	d	0.231
ɡ	-	0.222
<#_r	<#	0.222
o	ɔ	0.211
o	-	0.211
θ	z	0.208
ɟ͡ʝ	p_l	0.2
ɟ͡ʝ	p	0.2
d	-	0.2
n	ã	0.184
l	-	0.182
ˈu	ɥ	0.176
ˈo	u	0.176
j	i	0.176
ˈe	æɛ̯	0.161
e	œ	0.159
o	ʁ	0.158
a	ɲ	0.158
ð	ɛ	0.154
ˈo	œ	0.147
ˈa	ɛ	0.143
<#	<#_ʒ	0.133
n	-	0.132
ˈi	i	0.125
ˈu	ʏ	0.118
ˈo	ʊ	0.118
ˈo	-	0.118
j	ɪ	0.118
j	ɛ	0.118
t	ʦ	0.105
t	-	0.105
o	i	0.105
a	-	0.105
m	-	0.1
k	-	0.095
ɾ	-	0.094
e	w	0.091
ˈo	ɥ	0.088
ˈo	ɔ	0.088
ˈo	øʏ̯	0.088
ˈo	oʊ̯	0.088
ˈo	aœ̯	0.088
ˈi	ʁ	0.083
n	ẽɪ̯̃	0.079
b	-	0.077
p	-	0.074
ˈe	i	0.071
e	ʁ	0.068
e	æɛ̯	0.068
ɾ	ɛ_ʁ	0.062
ˈe	j	0.054
