Macedonian	Macedonian	probability
ˈ_ɛ	ʨ	1.0
ˈ	-	1.0
ʧ	ʈ͡ʂ	1.0
ʦ	ʦ	1.0
ʣ	-	1.0
ʒ	ʐ	1.0
ɾ	ʐ	1.0
ɲ	ɲ	1.0
ɫ_#>	l_#>	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɟ	ʥ	1.0
z̥	z̥	1.0
x	x_ɨ	1.0
u_m	ɛ_m	1.0
t_a	t_a	1.0
t_#>	ɲ_ʨ_#>	1.0
s_a	s_a	1.0
r_ɛ	ʐ_ɛ	1.0
r_#>	r_#>	1.0
p	p	1.0
o_#>	ɔ_#>	1.0
n_a	n_a	1.0
m	m	1.0
l	l	1.0
k_#>	k_#>	1.0
e	-	1.0
c	ʦ	1.0
b̥	m_b̥	1.0
b	b	1.0
a_r	r_ɨ	1.0
a_#>	#>	1.0
<#_t	<#_ʨ	1.0
<#_r	<#_r	1.0
<#_o	<#_ɔ	1.0
<#_j	<#_j	1.0
k	k	0.818
v	v	0.8
u	u	0.8
o	ɔ	0.8
a	a	0.795
ɫ	w	0.786
r	r	0.75
d	d	0.75
a_ˈ	ɔ	0.75
t	t	0.737
o_ˈ	u	0.7
ɛ_#>	ɛ_#>	0.667
d̥	d̥	0.667
s	s	0.625
z	z	0.583
ɛ_ˈ	j_a	0.556
i	ɨ	0.524
ɔ	ɔ	0.5
ɔ	-	0.5
ɛ	ɛ	0.468
ɛ_ˈ	a	0.444
f	f	0.429
n	n	0.421
z	ʑ	0.417
#>	ɨ_#>	0.4
s	ɕ	0.375
n	ɲ	0.368
ɛ_#>	#>	0.333
r̩	ɛ_r	0.333
r̩	r	0.333
r̩	a_r	0.333
i	i	0.333
d̥	-	0.333
<#	<#_ɡ	0.333
<#	<#_x	0.333
<#	<#_j	0.333
o_ˈ	ɛ	0.3
f	x_ɨ	0.286
f	v_ɨ	0.286
#>	ʨ_#>	0.267
t	ʨ	0.263
d	ʥ	0.25
ɛ	j_ɛ	0.234
n	n_ɨ	0.211
u	-	0.2
#>	i_#>	0.2
ɛ	ɔ	0.149
ɫ	l	0.143
i	ɛ	0.143
#>	w̃_#>	0.133
r	ʐ̊	0.125
r	ʐ	0.125
a_ˈ	ɛ_ŋ	0.125
a_ˈ	ɛ	0.125
v	x	0.12
o	w_ɔ	0.1
o	-	0.1
k	k_j	0.091
k	-	0.091
v	-	0.08
a	u	0.077
a	-	0.077
ɫ	d_w	0.071
ɛ	u	0.064
a	ɔ	0.051
