Swabian	Swabian	probability
ˈʌ	ˈɪ_ɾ	1.0
ˈɔə̯	ˈuː	1.0
ˈuː	ˈuː	1.0
ˈuə̯_d	ˈuː	1.0
ˈoː_d	ˈøː	1.0
ˈoː	-	1.0
ˈiə̯	ˈyː	1.0
ˈeː	-	1.0
ˈeə̯	-	1.0
ˈa_d	ˈɑː	1.0
ʣ	tː	1.0
ʕ_ʦ	ʈː	1.0
ʕ_n	ɳ	1.0
ʕ_#>	ɾ_ə_#>	1.0
ʕ	ɾ	1.0
ʌ_#>	#>	1.0
ʋ_ˈo	ˈʉ	1.0
ʃ_d	s_t	1.0
ɪ	-	1.0
ɡ_#>	#>	1.0
ŋ_ɡ	kː	1.0
ŋ	ŋː	1.0
x_d	tː	1.0
x	k	1.0
s_a	t_ə	1.0
p͡f	pʰ	1.0
n_d	nː	1.0
l_d	lː	1.0
l_#>	l_#>	1.0
i	ˈʊ	1.0
eə̯	ə_n	1.0
e	-	1.0
d_ʁ	tʰ_ɾ	1.0
a_#>	#>	1.0
a	ə	1.0
<#_ʁ	<#_ɾ	1.0
<#_ɡ	<#_j	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
ʋ	ʋ	0.882
h	h	0.85
b	b	0.842
ˈa	ˈɑ	0.81
ʁ	ɾ	0.8
kʰ	kʰ	0.75
d	-	0.75
f	f	0.739
l	l	0.727
ˈɔː	ˈoː	0.714
ç	k	0.714
ˈɔe̯	ˈæɪ̯	0.7
m	m	0.696
ˈu	ˈʏ	0.667
ˈo	ˈʉ	0.667
ˈae̯	-	0.667
<#_d	<#_d	0.667
ˈao̯	ˈʉː	0.643
ˈaː	-	0.625
ˈɔ	-	0.6
ˈe	ˈɪ	0.6
ʦ	tʰ	0.6
s	s	0.6
f_#>	p_#>	0.6
ˈəi̯	ˈiː	0.583
n	n	0.571
ˈɛ	ˈɛ	0.526
ˈɪ	ˈɪ	0.5
ˈɪ	-	0.5
ˈɛː	j	0.5
ˈɛː	-	0.5
ˈuə̯	ˈuː	0.5
ˈuə̯	-	0.5
ˈiː	ˈyː	0.5
ˈiː	-	0.5
ʃ	s	0.5
s_#>	s_#>	0.5
s_#>	#>	0.5
b_#>	ʋ_#>	0.5
b_#>	#>	0.5
ɡ	ɡ	0.48
ʌ	ɾ	0.476
ʌ	ə_ɾ	0.429
ˈɔ	ˈuː	0.4
ˈe	-	0.4
f_#>	#>	0.4
ˈaː	ˈɑː	0.375
ˈi	ˈiː	0.357
ˈu	-	0.333
ˈae̯	ˈɛ	0.333
ʃ	s_k	0.333
<#_d	<#_tʰ	0.333
ˈɔe̯	ˈɛ	0.3
s	t	0.3
ˈɔː	ˈɑ	0.286
ˈi	ˈɪ	0.286
ç	-	0.286
l	lː	0.273
ˈəi̯	ˈyː	0.25
kʰ	ç	0.25
m	mː	0.217
ˈi	-	0.214
ˈao̯	-	0.214
n	nː	0.214
n	-	0.214
ˈɛ	-	0.211
ʦ	tː	0.2
ʦ	-	0.2
ʁ	ɾ_ˈœ	0.2
ɡ	-	0.2
ˈəi̯	-	0.167
ˈo	ˈɔ	0.167
ˈo	-	0.167
ʃ	ʂ	0.167
ɡ	ɡː	0.16
ˈɛ	ˈæː	0.158
b	ʋ	0.158
h	j	0.15
ˈi	ˈɔ	0.143
ˈao̯	ˈøː	0.143
f	ʋ	0.13
f	p	0.13
d	nː	0.125
d	d	0.125
ʋ	ˈœ	0.118
ˈɛ	ˈɑ	0.105
s	s_ˈøː	0.1
ˈa	ˈɛ	0.095
ˈa	ˈɑː	0.095
ʌ	ə	0.095
m	ʋ	0.087
ɡ	ŋ	0.08
ɡ	kː	0.08
