Catalan	Catalan	probability
β_ə	b_ə	1.0
ˈɛ_ʎ	ˈe_ʎ	1.0
ˈɛ_w	ˈi_s	1.0
ˈɛ_r	ˈɛ_r	1.0
ˈɔ_z	ˈo	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈɔ_r	ˈɔ_r	1.0
ˈɔ_k	ˈɛ_w	1.0
ˈe_ʎ	l	1.0
ˈe_s	ˈɛ_s	1.0
ˈa_ɾ	ˈɛ_r	1.0
ˈa_p	ˈa	1.0
ˈa_#>	ˈe_r_#>	1.0
ʧ	-	1.0
ʤ	ʤ	1.0
ʎː	ʎ	1.0
ɾ_ə	r	1.0
ə_β	ə_v	1.0
ə_ɾ	a_r	1.0
ə_ð	ə	1.0
ə_r	ɛ_r	1.0
ə_#>	#>	1.0
ð_ə	ə	1.0
z	-	1.0
t_ə	t_ə	1.0
t_#>	#>	1.0
s_ˈɛ	s_ˈɛ	1.0
s_#>	s_#>	1.0
r_t	r_t	1.0
p	p	1.0
n_ə	n_ə	1.0
n	n	1.0
mː	m	1.0
m_#>	m_#>	1.0
l_t	w_t	1.0
l_#>	l_#>	1.0
l	l	1.0
k_ˈa	ʧ_j	1.0
j_t	j_t	1.0
j	j	1.0
f	f	1.0
d	d	1.0
a	z_ə	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_ə	<#_e	1.0
<#_u	<#_ɔ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
t	t	0.913
m	m	0.909
ɾ	r	0.905
n_#>	n_t_#>	0.846
ə	ə	0.775
ɡ	ɡ	0.769
ˈi_#>	ˈi_r_#>	0.714
ʒ	ʤ	0.688
ʎ_#>	l_#>	0.667
ð	j	0.667
r	r	0.667
s	s	0.653
u	u	0.619
ˈi	ˈi	0.606
ˈu	ˈy	0.6
ʃ	s	0.6
k_#>	#>	0.6
ɲ	ɲ	0.583
k	k	0.581
ʎ	ʎ	0.556
b	v	0.543
β	v	0.5
ɣ	-	0.5
ŋ	ŋ_k	0.5
ŋ	ŋ	0.5
ˈo	ˈu	0.455
ʎ	l	0.444
#>	n_#>	0.439
ɲ	n	0.417
ˈɛ	ˈɔ	0.4
ʃ	j_s	0.4
k_#>	j_#>	0.4
b	b	0.4
k	ʧ	0.372
ˈe	ˈɛ	0.371
ˈo	ˈũ	0.364
ˈa	ˈa	0.352
ˈɔ	ˈũ	0.346
ʎ_#>	ʎ_#>	0.333
ð	-	0.333
r	ˈɛ_r	0.333
s	ʦ	0.306
β	-	0.3
ɣ	ɡ	0.3
ˈi_#>	ˈi_r_ə_#>	0.286
i	i	0.273
i	-	0.273
ˈɔ	ˈɔ	0.269
ˈa	ˈã_j	0.241
u	-	0.238
ˈɔ	w	0.231
ɡ	-	0.231
w	w	0.231
w	j	0.231
ˈi	ˈĩ	0.212
β	ˈɛ_v	0.2
ˈe	ˈẽ	0.2
ɣ	j	0.2
w	j_s	0.192
ʒ	-	0.188
ˈa	ˈã	0.185
ˈo	-	0.182
i	ə	0.182
i	e	0.182
ˈɛ	ˈẽ	0.16
ˈɔ	-	0.154
w	ˈɛ_f	0.154
n_#>	#>	0.154
u	ũ	0.143
ʒ	j	0.125
#>	ə_#>	0.122
#>	r_#>	0.122
ˈɛ	ˈɔ_j	0.12
ˈu	w_ˈɛ	0.12
ˈu	j	0.12
w	-	0.115
ˈe	-	0.114
ə	a	0.108
#>	ˈe_r_#>	0.098
#>	j_#>	0.098
ˈa	ˈɛ	0.093
m	n	0.091
i	ĩ	0.091
t	θ	0.087
ˈe	ˈɔ	0.086
ˈe	j_ˈɛ	0.086
ˈe	j	0.086
ˈɛ	ˈɛ	0.08
ˈɛ	ˈẽ_j	0.08
ˈɛ	j_ˈɛ	0.08
ˈɛ	-	0.08
ˈu	ˈỹ	0.08
ˈu	ˈũ_j	0.08
w	ˈe	0.077
ˈa	ˈe	0.074
#>	f_#>	0.073
ˈi	ˈɔ_j	0.061
ˈi	j	0.061
ˈi	-	0.061
ˈe	ˈa_j	0.057
b	-	0.057
ˈa	j	0.056
