Swabian	Palatine German	probability
ˈɪ	ˈɪ	1.0
ˈəi̯	ˈaɪ̯	1.0
ˈɔə̯	ˈu	1.0
ˈɔ	ˈɔ	1.0
ˈuː	ˈuː	1.0
ˈuə̯	ˈuː	1.0
ˈoː	ˈoː	1.0
ˈa_ʕ	ˈɑː_ɐ	1.0
ˈa	ˈɑ	1.0
ʦ	ʣ̥	1.0
ʕ	ɐ	1.0
ʌ	ɐ	1.0
ʋ	β	1.0
ʃ	ʃ	1.0
ʁ	r	1.0
ɪ	ɪ	1.0
ŋ	ŋ	1.0
ç	ʃ	1.0
x	x	1.0
t	d̥	1.0
s	s	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
eə̯	eː	1.0
e	-	1.0
d_a	ə	1.0
b̥͡f	b̥	1.0
a	ə	0.989
d	d̥	0.923
ˈiə̯	ˈiː	0.857
ˈe	ˈɪ	0.818
ˈɛ	ˈɛ	0.787
b	b̥	0.747
ˈɔe̯	ˈɛː	0.686
ˈeə̯	-	0.667
d_ʌ	r_ɐ	0.644
ˈao̯	ˈau̯	0.635
ˈɔː	ˈoː	0.606
ˈi	ˈɪ	0.604
ˈaː	ˈɑː	0.6
ˈo	ˈu	0.593
ˈɛː	ˈɛː	0.565
ɡ	ɡ̊	0.559
ˈeː	-	0.509
ˈeː	ˈeː	0.491
ˈu	ˈu	0.444
ˈae̯	ˈaɪ̯	0.444
ˈɛː	ˈɛ	0.435
ˈiː	ˈeː	0.423
ˈo	ˈɔ	0.407
d_ʌ	ɐ	0.356
ˈu	ˈɪ	0.333
ˈeə̯	ˈĩː	0.333
ˈao̯	ˈɑː	0.316
ˈɔe̯	ˈeː	0.314
ˈɔː	ˈɑː	0.297
ˈiː	ˈiː	0.288
ˈiː	-	0.288
ˈi	ˈiː	0.28
b	β	0.253
ˈu	ˈɔ	0.222
ˈaː	ˈɑ̃ː	0.2
ˈaː	ˈɑ_n	0.2
ˈae̯	ˈɛː	0.186
ˈae̯	ˈɑ̃ɪ̯	0.186
ˈae̯	ˈeː	0.184
ˈe	ˈɛ	0.182
ɡ	ɣ̊	0.163
ˈɛ	ˈɪ	0.144
ˈiə̯	ˈi	0.143
ɡ	ʃ	0.14
ɡ	j	0.137
ˈi	ˈɛ	0.116
ˈɔː	ˈo	0.097
d	r	0.077
ˈɛ	-	0.069
