Standard Croatian	Proto-Balto-Slavic	probability
ʨ	k_t	1.0
ʧ	k	1.0
ʦ	k	1.0
ʎ	l	1.0
ʋ	w	1.0
ʃ	-	1.0
ɲ	n_i	1.0
ɡ̊	ɡ_a	1.0
ɡ	ɡ	1.0
x	ʃ	1.0
r̩ː	i_r	1.0
r̩_̂	r	1.0
p	p	1.0
oː_̂	a_́	1.0
o_̂	a	1.0
j_eː	ai̯	1.0
j_e	ai̯	1.0
j	-	1.0
iː	-	1.0
b	b	1.0
a_k	u	1.0
z	zʲ	0.94
m	m	0.907
o	a	0.889
e	e	0.806
l	l	0.769
t	t	0.736
r	r	0.731
k	k	0.713
n	n	0.595
d	d	0.59
i	uː	0.586
uː	a	0.567
ʒ	ɡ	0.558
aː	-	0.557
a_̂	oː_́ˀ	0.551
̌	-	0.52
u	i_́	0.506
u	-	0.494
s	sʲ	0.487
a_̂	ˀ	0.449
aː	a	0.443
a	aː	0.443
ʒ	ŋ_ɡ	0.442
uː	au̯	0.433
̂	́	0.423
i	ei̯	0.414
eː	eː	0.344
eː	e	0.306
k	-	0.287
̌	́	0.28
̂	-	0.269
s	s	0.254
d	n	0.245
a	-	0.244
eː	-	0.234
l	l_a	0.231
n	-	0.227
̂	́ˀ	0.192
n	n_a	0.178
r	-	0.15
e	-	0.142
s	ʃ	0.134
s	n_s	0.125
a	aː_́ˀ	0.123
̌	ˀ	0.12
r	r_a	0.12
eː	i	0.116
̂	ˀ	0.115
o	-	0.111
a	oː	0.099
d	n_d	0.094
m	-	0.093
t	-	0.085
̌	́_ŋ	0.08
d	-	0.071
t	n	0.068
z	z	0.06
a	a_s	0.06
t	m_t	0.059
t	n_t	0.052
e	ɛ	0.052
