Phone1	Phone2	Surprisal
a	aː	1.175
a	-	2.036
a	aː_́ˀ	3.019
a	oː	3.343
a	a_s	4.06
a	s	4.989
a_k	u	0.0
a_̂	oː_́ˀ	0.86
a_̂	ˀ	1.155
aː	-	0.844
aː	a	1.175
b	b	0.0
d	d	0.762
d	n	2.028
d	n_d	3.412
d	-	3.812
e	e	0.312
e	-	2.816
e	ɛ	4.258
eː	eː	1.54
eː	e	1.706
eː	-	2.094
eː	i	3.114
i	uː	0.772
i	ei̯	1.271
iː	-	0.0
j	-	0.0
j_e	ai̯	0.0
j_eː	ai̯	0.0
k	k	0.488
k	-	1.801
l	l	0.379
l	l_a	2.113
m	m	0.141
m	-	3.426
n	n	0.748
n	-	2.142
n	n_a	2.49
o	a	0.169
o	-	3.177
o_̂	a	0.0
oː_̂	a_́	0.0
p	p	0.0
r	r	0.452
r	-	2.741
r	r_a	3.064
r̩_̂	r	0.0
r̩ː	i_r	0.0
s	sʲ	1.038
s	s	1.977
s	ʃ	2.898
s	n_s	3.004
t	t	0.443
t	-	3.559
t	n	3.878
t	m_t	4.086
t	n_t	4.253
u	i_́	0.982
u	-	1.018
uː	a	0.819
uː	au̯	1.207
x	ʃ	0.0
z	zʲ	0.09
z	z	4.053
ɡ	ɡ	0.0
ɡ̊	ɡ_a	0.0
ɲ	n_i	0.0
ʃ	-	0.0
ʋ	w	0.0
ʎ	l	0.0
ʒ	ɡ	0.841
ʒ	ŋ_ɡ	1.179
ʦ	k	0.0
ʧ	k	0.0
ʨ	k_t	0.0
̂	́	1.241
̂	-	1.893
̂	́ˀ	2.379
̂	ˀ	3.115
̌	-	0.943
̌	́	1.837
̌	ˀ	3.059
̌	́_ŋ	3.644
