Aromanian	Aromanian	probability
ˈo_k	ˈœ	1.0
ˈo_j	ˈu	1.0
ˈi_r	ˈi	1.0
ˈa_p	ˈe	1.0
ʦ_i	j	1.0
ʣ	ʤ	1.0
ʎ_i	ʎ_ɔ	1.0
ɨ	ã	1.0
ə_#>	#>	1.0
ŋ	-	1.0
ç	fʲ	1.0
u_ʦ	ɥ	1.0
u_r	ʀ	1.0
t_i	j	1.0
r_t	ʀ	1.0
r_n	ʀ	1.0
r_#>	l_#>	1.0
n_ə	ɔ	1.0
n_t	ŋ	1.0
m_t	ŋ	1.0
k_ˈa	ʧ_ˈa	1.0
k_r	k_ʀ	1.0
k_e̯ˈa	p_ˈe	1.0
k_#>	k_#>	1.0
i_r	e	1.0
i_#>	#>	1.0
e	-	1.0
b_i	w	1.0
<#_ˈa	<#_ˈa	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_a	<#	1.0
r_i_#>	#>	0.8
f	f	0.8
ə	ɔ	0.771
<#_l	<#_l	0.75
#>	ɔ_#>	0.75
ʎ	ʎ	0.714
v	v	0.714
m	m	0.714
r	ʀ	0.694
ʦ	s	0.667
w	ˈɔ_w	0.667
r_ə	ʀ_ɔ	0.667
n_i	ŋ	0.667
l	l	0.667
s	s	0.615
ˈɨ	ˈã	0.6
ʤ	ʤ	0.6
ʃ	s	0.6
k_ʎ	ʎ	0.6
i	ə	0.6
o̯ˈa	-	0.583
ˈa	ˈa	0.565
p	p	0.565
n	n	0.56
j	v	0.556
u	-	0.542
d	-	0.533
ˈu	ˈu	0.5
ɲ	mʲ	0.5
ɲ	-	0.5
e̯ˈa	ˈɪ	0.474
ˈe	ˈe	0.467
d	d	0.467
k	ʧ	0.458
b	b	0.455
n	ŋ	0.44
ˈo	w_ˈɔ	0.4
ʤ	-	0.4
ʃ	-	0.4
ɡ	ɡ	0.4
ɡ	-	0.4
k_ʎ	k_l	0.4
ˈa	ˈe	0.348
ˈo	w	0.333
ˈe	ˈa	0.333
ʦ	-	0.333
w	-	0.333
t	t	0.333
r_ə	ʀ	0.333
n_i	ŋ_d	0.333
k	k	0.333
ˈi	ˈi	0.292
ʎ	l	0.286
v	-	0.286
t	-	0.273
b	b_w	0.273
b	-	0.273
p	-	0.261
i	-	0.257
ˈi	-	0.25
o̯ˈa	ˈu	0.25
<#_l	<#_ʎ	0.25
#>	k_#>	0.25
j	vʲ	0.222
j	-	0.222
e̯ˈa	ˈe	0.211
ˈi	ˈẽ	0.208
u	ə	0.208
ˈɨ	ˈa	0.2
ˈɨ	-	0.2
ˈe	ˈɪ	0.2
ɡ	ʤ	0.2
r_i_#>	ˈa_#>	0.2
l	w	0.2
f	-	0.2
s	ɪ	0.192
ˈi	ˈĩ	0.167
u	u	0.167
o̯ˈa	w_ˈɔ	0.167
t	d	0.152
ˈu	ˈy	0.143
ə	ɒ	0.143
m	ŋ	0.143
m	-	0.143
r	l	0.139
ˈo	ˈɔ	0.133
ˈo	j	0.133
l	-	0.133
p	b	0.13
k	-	0.125
s	-	0.115
ˈu	ˈɔ̃	0.107
ˈu	ˈũ	0.107
e̯ˈa	ˈa	0.105
e̯ˈa	l	0.105
e̯ˈa	-	0.105
t	ʧ	0.091
t	j_ʀ	0.091
ˈa	w	0.087
ə	ə	0.086
i	j	0.086
ˈi	ˈɪ̃	0.083
u	y	0.083
r	w	0.083
r	-	0.083
k	ʎ	0.083
s	ˈɔ	0.077
ˈu	ˈɔ	0.071
ˈu	ˈỹ	0.071
t	ŋ	0.061
i	w	0.057
