Dutch	Alsatian	probability
b	b̥	0.958
b	-	0.05
d	d̥	0.593
d	t	0.331
d	-	0.054
f	f	0.776
f	b̥	0.175
j	j	1.0
k	kʰ	0.609
k	ʃ	0.133
k	i_ʃ	0.099
k	x	0.065
k	k	0.048
l	l	1.0
m	m	1.0
n	n	0.652
n	-	0.348
p	f	0.579
p	p͡f	0.246
p	p	0.163
s	ʃ	0.534
s	s	0.379
s	k_s	0.078
s_χ	ʃ	1.0
t	t	0.388
t	s	0.24
t	ʦ	0.164
t	d̥	0.146
t	-	0.045
v	f	0.834
v	v	0.072
v	-	0.054
v	b̥	0.045
w	ˈeː	0.574
w	ˈei̯	0.288
z	s	0.845
z	ʃ	0.139
ŋ	ŋ	0.814
ŋ	-	0.179
ə	ə	0.708
ə	-	0.23
ə	i	0.059
ɦ	h	1.0
ɪ	i	1.0
ɫ	l	1.0
ɾ	ʁ	1.0
ɾ_s	ʃ	0.501
ʋ	ʋ	0.906
ʋ	w	0.086
ˈaː	ˈoː	0.46
ˈaː	ˈɒ	0.253
ˈaː	ˈæː	0.15
ˈaː	ˈɒː	0.07
ˈaː	ˈaː	0.058
ˈeː	ˈəi̯	0.289
ˈeː	ˈæ	0.161
ˈeː	ˈæː	0.149
ˈeː	ˈe	0.102
ˈeː	ˈi	0.077
ˈi	ˈiː	0.412
ˈi	ˈeː	0.141
ˈi	ˈi	0.122
ˈi	ˈei̯	0.107
ˈi	ˈæː	0.095
ˈoː	ˈoː	0.364
ˈoː	ˈo	0.194
ˈoː	ˈʊː	0.173
ˈoː	ˈeː	0.078
ˈoː	ˈu	0.068
ˈu	ˈʊː	0.649
ˈu	ˈiː	0.193
ˈu	ˈøː	0.123
ˈyː	ˈiː	1.0
ˈøː	ˈɒː	0.501
ˈœy̯	ˈyː	0.639
ˈœy̯	ˈi	0.148
ˈœy̯	ˈiː	0.129
ˈœy̯	ˈøi̯	0.072
ˈɑ	ˈɒ	0.622
ˈɑ	ˈɒː	0.329
ˈɑ	ˈɛ	0.047
ˈɑu̯	ˈɒ_l	0.699
ˈɑu̯	ˈɔi̯	0.297
ˈɔ	ˈo	0.457
ˈɔ	ˈu	0.454
ˈɔ	ˈoː	0.06
ˈɔ	ˈyː	0.043
ˈɛ	ˈe	0.281
ˈɛ	ˈi	0.231
ˈɛ	ˈæ	0.13
ˈɛ	ˈaː	0.098
ˈɛ	ˈiː	0.098
ˈɛi̯	ˈiː	0.384
ˈɛi̯	ˈəi̯	0.375
ˈɛi̯	ˈi	0.131
ˈɛi̯	ˈei̯	0.071
ˈɪ	ˈi	0.742
ˈɪ	ˈiː	0.123
ˈɪ	ˈɒ	0.071
ˈɪ	ˈe	0.06
ˈʏ	ˈe	0.488
ˈʏ	ˈu	0.488
χ	ɡ̊	0.314
χ	x	0.157
χ	k	0.126
χ	-	0.123
χ	j	0.101
