Dutch	Alsatian	probability
b	b̥	0.932
b	-	0.068
d	d̥	0.58
d	t	0.41
f	f	0.513
f	b̥	0.475
i	eː	1.0
j	-	0.551
j	j	0.449
k	kʰ	0.445
k	ʃ	0.217
k	x	0.137
k	ɡ̊	0.087
k	k	0.076
m	m	0.98
n	n	0.969
p	f	0.826
p	p͡f	0.09
p	p	0.084
s	ʃ	0.666
s	s	0.25
s	k_s	0.061
t	t	0.324
t	s	0.312
t	ʦ	0.175
t	d̥	0.126
v	f	0.843
v	v	0.096
w	ˈei̯	0.666
w	ˈeː	0.334
z	s	0.871
z	w	0.078
z	ʃ	0.051
ŋ	ŋ	1.0
ə	ə	0.868
ə	-	0.127
ɦ	h	0.98
ɪ	i	1.0
ɫ	l	1.0
ɾ	ʁ	0.986
ʋ	ʋ	0.917
ʋ	w	0.083
ˈaː	ˈoː	0.494
ˈaː	ˈɒ	0.189
ˈaː	ˈæː	0.137
ˈaː	ˈeː	0.076
ˈeː	ˈəi̯	0.311
ˈeː	ˈæː	0.176
ˈeː	ˈæ	0.084
ˈeː	ˈe	0.082
ˈeː	ˈi	0.071
ˈeː	ˈɛ	0.066
ˈeː	ˈei̯	0.054
ˈi	ˈiː	0.331
ˈi	ˈeː	0.171
ˈi	ˈi	0.146
ˈi	ˈei̯	0.102
ˈi	ˈæː	0.094
ˈi	-	0.078
ˈi	ˈaː	0.078
ˈoː	ˈoː	0.213
ˈoː	ˈu	0.187
ˈoː	ˈo	0.179
ˈoː	ˈʊː	0.113
ˈoː	ˈeː	0.111
ˈoː	ˈai̯	0.062
ˈoː	ˈe	0.056
ˈu	ˈʊː	0.699
ˈu	ˈiː	0.221
ˈu	ˈøː	0.08
ˈyː	ˈyː	0.534
ˈyː	ˈiː	0.466
ˈøː	ˈɒː	1.0
ˈœy̯	ˈyː	0.723
ˈœy̯	ˈiː	0.127
ˈœy̯	ˈi	0.098
ˈœy̯	ˈøi̯	0.052
ˈɑ	ˈɒ	0.706
ˈɑ	ˈɒː	0.243
ˈɑ	ˈɛ	0.051
ˈɑu̯	ˈɒ	0.874
ˈɑu̯	ˈɔi̯	0.126
ˈɔ	ˈu	0.788
ˈɔ	ˈo	0.152
ˈɛ	ˈe	0.291
ˈɛ	-	0.214
ˈɛ	ˈi	0.212
ˈɛ	ˈæ	0.102
ˈɛ	ˈiː	0.077
ˈɛi̯	ˈiː	0.327
ˈɛi̯	ˈəi̯	0.303
ˈɛi̯	ˈi	0.274
ˈɛi̯	ˈei̯	0.096
ˈɪ	ˈi	0.817
ˈɪ	ˈiː	0.085
ˈɪ	ˈɒ	0.074
ˈʏ	ˈe	0.507
ˈʏ	ˈu	0.493
χ	ɡ̊	0.289
χ	-	0.208
χ	k	0.154
χ	j	0.143
χ	ʃ	0.123
χ	x	0.059
