Alsatian	Alsatian	probability
ˈɔi̯	ˈɑu̯_w	1.0
ˈɒ_l	ˈɑu̯	1.0
ˈœ	ˈʊə̯	1.0
ˈøː	ˈuː	1.0
ˈø	ˈøː	1.0
ˈyː	ˈyː	1.0
ˈaː	-	1.0
ʦ	t	1.0
ʃ_#>	k_#>	1.0
ɡ̊	x	1.0
ə_ʁ	ɾ	1.0
ŋ	ŋ	1.0
x_#>	k_ə_#>	1.0
x	x	1.0
w	-	1.0
s_#>	t_#>	1.0
p͡f	p	1.0
p	-	1.0
n_#>	#>	1.0
n	n	1.0
m	m	1.0
l	ɫ	1.0
kʰ	k	1.0
i_ʃ	k	1.0
f_#>	p_#>	1.0
eː	iː	1.0
e	-	1.0
d̥_#>	d̥_#>	1.0
d̥	d	1.0
b̥_#>	v̥_#>	1.0
b̥	b	1.0
<#_ʦ	<#_t	1.0
<#_ʁ	<#_ɾ	1.0
<#_ɡ̊	<#_x	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
ʁ	ɾ	0.941
ə	ə	0.93
ʋ	ʋ	0.9
ʃ	s	0.773
f	v	0.75
ˈeː	-	0.714
z̥	z̥	0.714
ˈɒ	ˈɑ	0.682
i	-	0.667
s	z	0.636
ˈæ	ˈæ	0.6
j	x	0.6
ˈəi̯	ˈæi̯	0.571
#>	k_#>	0.556
ˈu	ˈɔ	0.524
ˈo	ˈɔ	0.5
ˈei̯	ˈiː	0.5
ˈei̯	-	0.5
k	x_ə	0.5
k	-	0.5
ˈe	ˈæ	0.455
ˈɒː	ˈɑ	0.444
ˈoː	ˈʊə̯	0.438
ˈoː	ˈɛː	0.438
ˈəi̯	ˈɪə̯	0.429
ˈʊː	-	0.4
ˈæː	ˈɛː	0.4
ˈæː	-	0.4
ˈæ	ˈeː	0.4
t	d̥	0.4
j	j	0.4
ˈi	ˈɪ	0.375
t	t	0.371
ˈɒː	-	0.333
i	i	0.333
ˈʊː	ˈʊə̯	0.3
ˈʊː	ˈuː	0.3
ˈiː	ˈiː	0.294
ˈiː	ˈi	0.294
ˈeː	ˈɪə̯	0.286
z̥	z_ə	0.286
s	t	0.273
ˈo	ˈʏ	0.25
ˈo	ˈʊə̯	0.25
ˈiː	-	0.235
ˈɒː	ˈɛː	0.222
#>	w_#>	0.222
#>	n_#>	0.222
ˈi	ˈi	0.208
ˈi	-	0.208
ˈæː	ˈiːə̯	0.2
ˈɒ	ˈɛː	0.182
ˈe	ˈʏ	0.182
ˈe	ˈeː	0.182
ˈe	-	0.182
ˈiː	ˈɪ	0.176
ˈu	ˈøː	0.143
ˈu	ˈu	0.143
ˈɒ	ˈɒː	0.136
ʃ	x	0.136
ˈoː	-	0.125
ˈi	ˈyː	0.125
f	v̥	0.125
f	p	0.125
t	d	0.114
t	-	0.114
ʋ	x_ə	0.1
ˈu	ˈʏ	0.095
ˈu	-	0.095
ʃ	-	0.091
s	t_ə	0.091
ˈi	ˈeː	0.083
ə	-	0.07
ʁ	-	0.059
