Westphalian	Westphalian	probability
ˈʏ	ˈʏ	1.0
ˈɪɛ̯_l	l	1.0
ˈɪə̯	-	1.0
ˈɛː	-	1.0
ˈɔ_p	ʉ	1.0
ˈɔ	ˈɑ	1.0
ˈɒː	ˈɑː_ɾ	1.0
ˈyːœ̯	ˈoː	1.0
ˈyə̯	ˈʉ	1.0
ˈuə̯	-	1.0
ˈoː	ˈuː	1.0
ˈiɛ̯	-	1.0
ˈaɪ̯_#>	ˈeː_#>	1.0
ʋ_#>	ʋ_#>	1.0
ʋ	ʋ	1.0
ɣ	ɡ_ɑ	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ə	e	1.0
ɐ_#>	#>	1.0
ŋ_k	ʰkː	1.0
ç_#>	#>	1.0
z̥_#>	s_#>	1.0
z	s	1.0
x_#>	ɡ_#>	1.0
v_n	ʋ_ɑ	1.0
t_ʋ	tʰ	1.0
n_n	nː_ɑ	1.0
n_#>	#>	1.0
l_#>	l_#>	1.0
k_ə	k	1.0
k_#>	#>	1.0
f	f	1.0
d_ɐ	ɾ	1.0
d_n_#>	#>	1.0
b	b	1.0
aɪ̯	e	1.0
<#_v	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_d	<#	1.0
<#	<#_j	1.0
s	s	0.944
d̥_#>	#>	0.92
m	m	0.913
r	ɾ	0.889
p	p	0.889
ɐ	ɾ	0.857
h	h	0.857
ˈɔː	ˈoː	0.833
t	t	0.815
v	ʋ	0.778
ˈa	ˈɑ	0.773
ˈuː	ˈʉː	0.75
ˈaʊ̯	ˈæʉ̯	0.727
ˈʊ	ˈʉ	0.714
ˈøː	ˈøː	0.714
ˈiː	ˈiː	0.714
ˈɛ	ˈɛ	0.7
ˈeː	ˈæɪ̯	0.7
ŋ	ŋː	0.7
l	l	0.63
ˈyː	-	0.6
ˈɪ	ˈɪ	0.571
ʃ	s	0.545
ˈaː	ˈɑː	0.5
ˈaː	ˈɑ	0.5
x	ɡ	0.5
d	d	0.462
#>	ɑ_#>	0.455
k	k	0.44
ˈyː	ˈyː	0.4
ˈaɪ̯	ˈʉː	0.4
ˈaɪ̯	ˈyː	0.4
d	tʰ	0.385
n	ɑ	0.382
ˈɪɛ̯	ɾ	0.375
n	n	0.345
ˈuːə̯	ˈɔ_ɾ	0.333
ˈuːə̯	ˈɔ	0.333
ˈuːə̯	ɾ	0.333
ʃ	ʂ	0.318
ˈɛ	-	0.3
ˈeː	-	0.3
l	lː	0.296
ˈøː	-	0.286
k	kʰ	0.28
ˈaʊ̯	-	0.273
#>	ə_#>	0.273
#>	n_#>	0.273
ˈɪɛ̯	ˈeː	0.25
ˈɪɛ̯	j	0.25
ˈuː	-	0.25
ˈɪ	-	0.238
ˈaɪ̯	-	0.2
ŋ	-	0.2
k	ç	0.2
ˈɪ	ˈiː	0.19
t	ʰtː	0.185
n	nː	0.182
ˈɔː	-	0.167
x	ˈɔ	0.167
x	ɡ_ˈʉː	0.167
x	j	0.167
ˈʊ	ˈʉː	0.143
ˈʊ	-	0.143
ˈiː	ˈyː	0.143
ˈiː	-	0.143
h	-	0.143
ˈa	ˈɑː	0.136
ʃ	s_k	0.136
ˈɪɛ̯	ˈæ	0.125
v	v	0.111
v	kʰ_ʋ	0.111
r	ɾ_ˈœʏ̯	0.111
p	ʰpː	0.111
ŋ	ɲ	0.1
ˈa	ˈɛ	0.091
m	mː	0.087
k	-	0.08
d̥_#>	d_#>	0.08
d	ç	0.077
d	-	0.077
l	j	0.074
n	n_d	0.073
ɐ	ɾ_ɑ	0.071
ɐ	ɾ_e	0.071
s	sː	0.056
