North Frisian	Ripuarian	probability
b	b	0.929
b	-	0.071
d	d	0.585
d	d̥	0.09
d	ɡ̊	0.071
d	s	0.052
dʲ	d̥	0.782
dʲ	d	0.218
f	f	0.83
f	v̥	0.115
h	h	0.983
i	ə	0.482
i	ɪ	0.289
i	ˈeː	0.229
j	-	0.529
j	j	0.22
j	ɕ	0.12
k	k	0.591
k	ɕ	0.286
k	x	0.123
l	l	0.968
lʲ	l	0.864
lʲ	ɐ	0.136
m	m	0.957
n	n	0.679
n	ŋ	0.276
nʲ	n	0.608
nʲ	ŋ	0.392
p	f	0.56
p	p	0.44
r	ɐ	0.573
r	ʀ	0.383
s	z	0.408
s	s	0.289
s	ʃ	0.189
t	ʦ	0.322
t	t	0.251
t	d	0.218
t	s	0.174
tʲ	s	0.759
tʲ	d	0.148
tʲ	t	0.092
v	ʋ	0.633
v	v	0.174
v	-	0.085
v	f	0.08
w	ˈœ	0.295
w	ɕ	0.294
w	ˈʏ	0.144
w	x	0.14
w	j	0.127
x	ɕ	0.597
x	x	0.302
x	-	0.101
z	s	0.655
z	ʀ	0.187
z	z	0.112
ŋ	ŋ	0.727
ŋ	-	0.123
ŋ	ɕ	0.123
ə	ə	0.698
ə	-	0.301
ɛi̯	e	1.0
ɡ	j	1.0
ʃ	ʃ	0.929
ʃ	k	0.067
ˈa	-	0.236
ˈa	ˈɔ	0.153
ˈa	ˈɪ	0.122
ˈa	ˈaː	0.115
ˈa	ˈe	0.103
ˈa	ˈɛ	0.062
ˈai̯	ˈɪ	0.386
ˈai̯	ˈeː	0.341
ˈai̯	ˈøʏ̯	0.17
ˈai̯	ˈe	0.102
ˈaː	ˈu	0.391
ˈaː	ˈoː	0.219
ˈaː	ˈe	0.107
ˈaː	ˈɛ	0.107
ˈaː	ˈɛː	0.107
ˈaː	ˈo	0.07
ˈeː	ˈɛ	0.423
ˈeː	ˈœ	0.2
ˈeː	ˈɛː	0.128
ˈeː	ˈaː	0.067
ˈeː	ˈeː	0.066
ˈi	ˈe	0.264
ˈi	ˈɪ	0.178
ˈi	ˈiː	0.148
ˈi	ˈɛː	0.105
ˈi	ˈʏ	0.105
ˈi	ˈɛ	0.098
ˈi	ˈa	0.057
ˈiː	ˈeː	0.417
ˈiː	ˈiː	0.145
ˈiː	ˈyː	0.11
ˈiː	ˈeɪ̯	0.11
ˈiː	ˈɪ	0.07
ˈiː	ˈøː	0.05
ˈu	ˈe	0.5
ˈu	ˈoː	0.5
ˈuː	ˈa	0.27
ˈuː	ˈoː	0.223
ˈuː	ˈuː	0.169
ˈuː	ˈiː	0.166
ˈuː	ˈaʊ̯	0.155
ˈyː	ˈuː	0.367
ˈyː	ˈoː	0.155
ˈyː	ˈœ	0.136
ˈyː	ˈo	0.107
ˈøː	ˈuː	0.336
ˈøː	ˈaʊ̯	0.273
ˈøː	ˈyː	0.213
ˈøː	ˈoʊ̯	0.107
ˈœ	ˈa	0.397
ˈœ	ˈoː	0.178
ˈœ	ˈu	0.149
ˈœ	ˈʊ	0.125
ˈœ	ˈiː	0.073
ˈœi̯	ˈoː	0.676
ˈœi̯	ˈo	0.324
ˈɒ	ˈa	0.429
ˈɒ	ˈɛ	0.248
ˈɒ	ˈaː	0.186
ˈɒ	ˈeː	0.137
ˈɒː	ˈaː	0.436
ˈɒː	ˈa	0.431
ˈɒː	ˈeː	0.133
ˈɔ	ˈoː	0.441
ˈɔ	ˈɔ	0.399
ˈɔ	ˈyː	0.16
ˈɔi̯	ˈeɪ̯	1.0
ˈɔu̯	ˈɔ	0.367
ˈɔu̯	ˈiː	0.248
ˈɔu̯	ˈʏ	0.18
ˈɔu̯	ˈaʊ̯	0.083
ˈɔu̯	ˈo	0.054
ˈɔu̯	ˈoː	0.05
ˈɔː	ˈaː	0.348
ˈɔː	ˈʏ	0.104
ˈɔː	ˈɔ	0.103
ˈɔː	ˈɛː	0.101
ˈɔː	ˈœ	0.08
ˈɔː	ˈeː	0.079
ˈɔː	ˈɪ	0.056
ˈɔː	ˈa	0.052
ˈɛ	ˈøː	0.354
ˈɛ	ˈe	0.349
ˈɛ	ˈɛː	0.193
ˈɛ	ˈoː	0.103
ˈɛi̯	ˈøː	0.23
ˈɛi̯	ˈiː	0.228
ˈɛi̯	ˈoː	0.175
ˈɛi̯	-	0.126
ˈɛi̯	ˈaː	0.101
ˈɛi̯	ˈɛː	0.101
ˈɛː	ˈɛː	0.374
ˈɛː	ˈɛ	0.285
ˈɛː	ˈoː	0.231
ˈɛː	ˈeː	0.111
ˈʊ	ˈo	0.438
ˈʊ	ˈa	0.187
ˈʊ	ˈɛ	0.109
ˈʊ	ʋ_ˈɔ	0.073
ˈʏ	ˈœ	0.322
ˈʏ	ˈuː	0.225
ˈʏ	ˈʏ	0.225
ˈʏ	ˈɔ	0.134
ˈʏ	ˈɛ	0.094
