Lombard	Aromanian	probability
a	ə	0.676
a	-	0.166
a	i	0.095
ã	ɨ	0.661
ã	i	0.339
b	b	0.741
b	-	0.259
d	d	0.523
d	t	0.263
d	n	0.083
d	ʦ	0.083
e	i	0.523
e	u	0.242
e	ə	0.109
e	-	0.085
ẽ	u	1.0
f	f	0.401
f	ç	0.236
f	-	0.218
f	w_ə	0.072
i	i	0.882
i	-	0.118
ĩ	-	0.5
ĩ	i	0.5
j	l	0.278
j	-	0.147
j	u	0.143
j	ˈi	0.111
j	i	0.082
j	t	0.077
j	e̯ˈa	0.068
j	a	0.064
k	k	0.78
k	ʦ	0.121
l	l	0.65
l	r	0.173
l	ʎ	0.069
l	w	0.067
m	m	0.575
m	ɲ	0.313
n	n	1.0
o	u	1.0
p	p	0.7
p	k	0.198
p	t	0.102
r	r	0.723
r	r_i	0.136
s	s	0.514
s	ʃ_t	0.148
s	ʃ	0.118
s	-	0.084
t	t	0.472
t	t_u	0.199
t	t_i	0.078
t	d	0.06
t	-	0.058
t	ɡ	0.051
u	u	0.791
u	-	0.087
u	i	0.057
v	j	1.0
w	b	1.0
z	ʦ	1.0
ɛ	ˈu	0.969
ɡ	ɡ	0.513
ɡ	k	0.217
ɡ	-	0.12
ɡ	m	0.112
ɲ	ɲ	0.606
ɲ	n	0.394
ʃ	f	0.32
ʃ	ʧ	0.273
ʃ	s	0.248
ʃ	ʃ	0.16
ʋ	j	0.326
ʋ	-	0.305
ʋ	v	0.267
ʤ	ʣ	0.428
ʤ	k	0.203
ʤ	ɡ	0.151
ʤ	ʤ	0.131
ʤ	-	0.087
ʦ	ʣ	0.499
ʦ	t	0.26
ʦ	ʦ	0.24
ʧ	k_ʎ	0.358
ʧ	ʦ	0.222
ʧ	t_i	0.131
ʧ	k	0.071
ʧ	ʦ_i	0.071
ʧ	t	0.057
ʧ	t_u	0.054
ˈa	ˈa	0.64
ˈa	ˈɨ	0.119
ˈa	a	0.071
ˈaː	ˈa	0.538
ˈaː	ˈa_r	0.393
ˈaː	ˈa_t	0.069
ˈãː	ˈɨ_n	0.675
ˈãː	-	0.122
ˈãː	ɨ	0.113
ˈãː	ˈɨ	0.068
ˈe	ˈe	0.434
ˈe	e̯ˈa	0.255
ˈe	ˈi	0.214
ˈe	ˈa	0.097
ˈeː	e̯ˈa	0.783
ˈeː	ˈi	0.217
ˈẽː	ˈi	0.734
ˈẽː	i	0.266
ˈi	ˈi	0.401
ˈi	ˈi_r	0.246
ˈi	ˈi_ʎ	0.177
ˈi	j	0.082
ˈi	ˈi_n	0.055
ˈiː	ə	1.0
ˈĩː	ˈi_n	0.639
ˈĩː	ŋ	0.361
ˈo	ˈu	0.661
ˈo	o̯ˈa	0.339
ˈu	ˈu	0.615
ˈu	ˈo	0.226
ˈu	o̯ˈa	0.159
ˈuː	ˈa	1.0
ˈũː	ˈu_n	0.401
ˈũː	ŋ	0.368
ˈũː	-	0.231
ˈy	ˈu	0.493
ˈy	-	0.182
ˈy	ˈɨ	0.127
ˈy	u	0.12
ˈy	ˈe	0.078
ˈyː	o̯ˈa	0.673
ˈyː	ˈu	0.189
ˈyː	ˈo	0.121
ˈỹː	ˈu	1.0
ˈø	ˈo	0.481
ˈø	ˈu	0.348
ˈø	ˈɨ	0.099
ˈø	o̯ˈa	0.072
ˈøː	ˈo	0.689
ˈøː	w	0.311
ˈɔ	ˈo	0.324
ˈɔ	ˈa_v	0.305
ˈɔ	o̯ˈa	0.177
ˈɔ	ˈu	0.093
ˈɔ	ˈa	0.061
ˈɛ	ˈe	0.425
ˈɛ	ˈa	0.2
ˈɛ	e̯ˈa	0.148
ˈɛ	ˈi	0.09
ˈɛ	e̯ˈa_r	0.059
ˈɛ	ˈɨ	0.051
ˈɛ̃ː	ˈu	1.0
ˈˈi	i	1.0
