Mainland North Frisian	Old High German	probability
ˈœi̯	ˈuo̯	1.0
ˈuː_f	ou̯	1.0
ˈaː	-	1.0
ˈai̯	-	1.0
ʃ	s_k	1.0
ʀ_n	r_n	1.0
ʀ_d̥	r_d	1.0
ʀ	r	1.0
ɛi̯	ɛ_h	1.0
ə_n	u_n	1.0
z̥	-	1.0
w	ɑ	1.0
t_ə	t_ɛ	1.0
s_t	s_t	1.0
s_l	s_l	1.0
s	s	1.0
p_ʀ	p	1.0
l_ə	l	1.0
j_ˈa	ˈɛ	1.0
i	-	1.0
h	h	1.0
f	f	1.0
d̥	t	1.0
dʲ	t	1.0
b	b	1.0
m	m	0.972
l	l	0.947
j	ɡ	0.94
v	w	0.819
tʲ	s̻	0.818
x	x	0.751
ˈɒ	ˈɑ	0.686
n	n	0.68
ˈɔ	ˈo	0.667
nʲ	n	0.667
ˈœː	ˈuː	0.664
ˈyː	ˈoː	0.621
ə	ɑ	0.589
lʲ	l	0.588
ˈɒː	ˈɑ	0.585
z	s	0.57
p	f	0.552
ˈɛi̯	ˈɑː	0.519
ˈɛː	ˈɛ	0.514
ˈɛ	ˈuo̯	0.511
ŋ	ŋ	0.505
ˈi	ˈiː	0.503
ˈɔu̯	ˈɑː	0.5
ˈɔu̯	-	0.5
ç	kː	0.5
ç	-	0.5
ˈɛ	ˈi	0.489
ˈɛː	-	0.486
ˈuː	ˈou̯	0.484
ˈʏ	ˈuː	0.475
t	ʦ	0.461
k	kʰ	0.461
p	p͡f	0.448
z	-	0.43
ˈɒː	-	0.415
lʲ	l_t	0.412
ˈʊ	ˈu	0.401
ˈɔː	ˈɑ	0.393
ˈi	ˈi	0.383
d	d	0.382
ˈyː	ˈɑ	0.379
ˈiː	ˈei̯	0.36
ˈeː	ˈɑ	0.35
ˈœ	ˈɑ	0.34
ˈœː	ˈo	0.336
ˈɔ	ˈu	0.333
nʲ	n_t	0.333
ŋ	ŋ_ɡ	0.325
ˈɒ	ˈe	0.314
k	xː	0.311
ˈuː	ˈɑ	0.303
ˈɛi̯	ˈuo̯	0.292
ˈa	ˈi	0.287
ˈeː	ˈɛ	0.263
ˈa	ˈɑ	0.257
ˈɔː	-	0.255
x	-	0.249
ˈa	-	0.246
ˈeː	ˈu	0.239
ˈiː	ˈio̯	0.235
t	s̻	0.23
t	t	0.214
ˈuː	ˈoː	0.213
ˈɔː	ˈo	0.211
ˈœ	ˈuo̯	0.208
d	s̻ː	0.202
ˈɛi̯	-	0.188
n	n_t	0.185
tʲ	d	0.182
ˈʏ	-	0.178
ˈʏ	ˈu	0.174
ˈʏ	ˈiu̯	0.174
d	ɡ	0.174
d	t	0.174
ˈʊ	-	0.17
ŋ	ɡ	0.17
ˈʊ	ˈɑ	0.161
v	b	0.161
ˈœ	ˈo	0.158
ˈœ	-	0.148
ˈeː	ˈie̯	0.148
ˈœ	ˈi	0.147
ˈɔː	ˈi	0.141
k	k	0.14
ˈiː	-	0.139
ˈʊ	ˈi	0.138
ə	o	0.136
n	nː	0.135
ˈa	ˈu	0.124
ə	e	0.124
ˈi	-	0.114
ˈiː	ˈɛ_h	0.101
k	kː	0.088
ˈa	ˈiː	0.087
ˈiː	ˈeː	0.086
ˈʊ	ˈo	0.082
ˈiː	ˈio̯_ɡ	0.078
d	tː	0.068
j	j	0.06
t	ʦː	0.059
ə	n	0.055
l	lː	0.053
