Friulian	Friulian	probability
ˈɛ_n	ˈe_ŋ	1.0
ˈɛ_l	l_u	1.0
ˈɔː	ˈɔː	1.0
ˈoː_#>	w_ˈiː_#>	1.0
ˈoː	ˈuː	1.0
ˈo_l	ˈuː	1.0
ˈo_d	ˈe_d	1.0
ˈiː_l	ˈeː	1.0
ˈi_n	ŋ	1.0
ˈi_e	ˈiː_a	1.0
ˈeː	ˈe_j	1.0
ˈaː_t	ˈɛː	1.0
ˈaː_#>	ˈaː_#>	1.0
ˈaː	ˈaː	1.0
ˈa_r	w	1.0
ˈa_l	ˈaː	1.0
ʧ_i	s_i	1.0
ʤ	z	1.0
ɟ	-	1.0
ŋ_#>	ŋ_#>	1.0
w_ˈi	ˈu	1.0
w_ˈa	ˈɔː	1.0
v_ˈɔ	ˈø	1.0
t_e	t_a	1.0
s_i	ʃ_e	1.0
r_t	r_t	1.0
r_i	r_u	1.0
r_e	j_a	1.0
p_l	ʧ	1.0
p	p	1.0
n_i	ŋ_e	1.0
l_i	ʤ_u	1.0
l_#>	#>	1.0
k_r	k_r	1.0
k_l	ʧ	1.0
k_#>	ɡ_u_#>	1.0
k	k	1.0
i_ʧ	i_s	1.0
i_s	i	1.0
i_#>	#>	1.0
f_#>	v_e_#>	1.0
e_r	e_r	1.0
e_n	e_n	1.0
e_m	e_m	1.0
e_#>	#>	1.0
a_v	a_v	1.0
a_r	j	1.0
a_d	ɥ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_l	1.0
<#_f_l	<#_ʃ	1.0
<#	<#_l	1.0
m	m	0.914
e	a	0.914
c	k	0.909
v	v	0.9
b	b	0.889
f	f	0.88
ɡ	ɡ	0.846
r	r	0.842
t	t	0.829
n	ŋ	0.781
z	ʒ	0.75
s	s	0.745
ˈu	ˈy	0.706
ˈa	ˈa	0.689
ʧ	s	0.688
ˈi	ˈi	0.682
#>	u_#>	0.671
ˈiː	ˈiː	0.667
a	a	0.643
ˈe	ˈe	0.636
ɲ	ɲ	0.636
ŋ	ŋ	0.636
r_#>	u_#>	0.615
w_ˈɛ	ˈɔ	0.6
<#_ˈa	<#_ˈa	0.6
ˈo	ˈu	0.593
d	d	0.593
ˈuː	ˈøː	0.583
ˈɛ	ˈe	0.571
l	l	0.56
u	u	0.556
j	-	0.5
i	e	0.478
ˈɛ	ˈeː	0.429
ˈɔ	-	0.429
ˈuː	ˈyː	0.417
o	u	0.417
j_ˈɛ	ˈeː	0.417
w_ˈɛ	ˈø	0.4
<#_ˈa	<#_ˈɛː	0.4
r_#>	#>	0.385
ɲ	n	0.364
ŋ	u	0.364
ˈiː	ˈeː	0.333
u	-	0.333
j_ˈɛ	ˈɛː	0.333
i	i	0.304
ˈo	-	0.296
ˈɔ	ˈøː	0.286
ˈɔ	ˈø	0.286
#>	e_#>	0.274
ˈe	-	0.273
w	ˈɔ	0.273
w	w	0.273
w	-	0.273
z	-	0.25
o	w	0.25
j_ˈɛ	ˈɛ	0.25
ˈa	ˈaː	0.222
j	ʤ	0.222
n	n	0.219
a	-	0.214
ʧ	-	0.188
d	-	0.185
ˈi	ˈiː	0.182
w	ˈɔː	0.182
ˈu	-	0.176
o	j	0.167
o	-	0.167
j	ˈeː	0.167
l	ʤ	0.16
ɡ	ɡ_w	0.154
d	t	0.148
a	j	0.143
ˈi	ˈe	0.136
i	u	0.13
ʧ	z	0.125
l	-	0.12
f	v	0.12
ˈu	ˈyː	0.118
ˈo	ˈuː	0.111
u	y	0.111
j	ʤ_u	0.111
b	-	0.111
r	-	0.105
v	-	0.1
ˈe	ˈe_j	0.091
s	ʒ_e	0.091
s	-	0.091
c	-	0.091
i	ˈɛː	0.087
m	-	0.086
l	ˈeː	0.08
l	r	0.08
d	ɡ	0.074
t	d_u	0.073
s	ʃ	0.055
r	w	0.053
e	-	0.052
