Xiang	Xiang	probability
⁴⁵	⁵³	1.0
ʦʰ	ʦʰ	1.0
ʐ	ɲ	1.0
ʂ	s	1.0
ə_w	u	1.0
ɕ	ɕ	1.0
ɒ	a	1.0
æ	ɔ	1.0
¹³	¹¹	1.0
²¹	⁵³	1.0
u	u	1.0
tʰ	tʰ	1.0
s	s	1.0
pʰ	pʰ	1.0
nʲ_y	n̩	1.0
nʲ	ɲ	1.0
m	m	1.0
l̃	n	1.0
l	l	1.0
k	k	1.0
j_³³	j_⁴⁴	1.0
e_j	i	1.0
e	a_t̚	1.0
a_¹³	a_¹¹	1.0
<#_ɕ	<#	1.0
<#	<#_ʋ	1.0
³³	⁴⁴	0.938
j	j	0.826
⁴¹	³¹	0.821
w	w	0.8
²⁴	¹	0.76
i	i	0.733
t	tʰ	0.714
ɸ	f	0.7
<#_w	<#_ʋ	0.667
x	h	0.625
p	p	0.625
o	o	0.625
kʰ	kʰ	0.6
ẽ	a_n	0.6
<#_ŋ	<#	0.6
y	u	0.571
ɥ	ɲ_j	0.5
ɥ	j	0.5
z̩	z̩	0.5
z̩	-	0.5
n	ŋ	0.477
a	a	0.469
ʦ	ʦ	0.455
ɤ	ɛ_t̚	0.444
ʨʰ	ʨʰ	0.429
y	i	0.429
kʰ	h	0.4
ẽ	ɛ_n	0.4
<#_ŋ	<#_ŋ	0.4
n	n	0.386
ʨ	cʰ	0.375
ʨ	c	0.375
x	f	0.375
p	pʰ	0.375
o	ɔ_k̚	0.375
a	ɔ	0.344
ɤ	i	0.333
<#_w	<#	0.333
ə	ʊ	0.304
ɸ	p	0.3
ʨʰ	ʦʰ	0.286
ʨʰ	ç	0.286
t	t	0.286
ʦ	ʦʰ	0.273
ʨ	k	0.25
²⁴	⁵	0.24
ɤ	a_k̚	0.222
ə	j_ʊ	0.217
w	k̚	0.2
a	o	0.188
ʦ	t	0.182
⁴¹	⁴⁴	0.179
ə	u	0.174
ə	-	0.174
n	m	0.136
i	j_a	0.133
i	i_t̚	0.133
ə	e	0.13
ʦ	ʨ	0.091
j	i	0.087
j	-	0.087
³³	⁵³	0.062
