Lower Sorbian	Bulgarian	probability
ˈɪ_t	ˈa_t	1.0
ˈi	ˈi	1.0
ʨ	t	1.0
ʑ	d	1.0
ʐ	ʒ	1.0
ɲ	n	1.0
ɨ_#>	#>	1.0
ɨ	ɛ	1.0
ɡ	ɡ	1.0
ɛ_#>	ˈɛ_#>	1.0
ɛ	ɛ	1.0
ɔ_#>	ˈɔ_#>	1.0
z	z	1.0
x	x	1.0
v_ɨ	f	1.0
s	s	1.0
rʲ	r	1.0
r_ˈɔ	r_ˈa	1.0
r	r	1.0
pʲ	p	1.0
p	p	1.0
n_ɨ	ɛ_n	1.0
n	n	1.0
m	m	1.0
l_#>	ɫ_#>	1.0
kʲ	ɐ_k	1.0
k	k	1.0
j	-	1.0
i_#>	#>	1.0
i	ˈi	1.0
e_ɕ	ɛ_t	1.0
e	ˈɛ	1.0
d	d	1.0
b	b	1.0
a_#>	ˈa_#>	1.0
a	ɐ	1.0
<#	<#_v	1.0
w	ɫ	0.882
t	t	0.857
ɔ	o	0.8
v	v	0.8
vʲ	v	0.727
ˈu	ˈɤ	0.667
mʲ	m	0.667
ˈɨ	ˈi	0.6
ʂ	r	0.6
ˈɛ	ˈɔ	0.545
ʦ	ʧ	0.5
ʦ	ʦ	0.5
ˈɪ	ˈa	0.467
ɕ	t	0.467
ˈɛ	o	0.455
ˈe	ˈɛ	0.455
l	l	0.429
ˈɨ	i	0.4
ˈa	ˈa	0.4
ʂ	ʃ	0.4
ˈɔ	ˈɔ	0.391
l	lʲ	0.357
ˈɪ	ɛ	0.333
ˈu	u	0.333
mʲ	mʲ	0.333
ˈe	ˈɤ	0.273
ˈe	ɛ	0.273
vʲ	vʲ	0.273
ˈa	ˈɛ	0.267
l	ɫ	0.214
ˈɪ	ˈɛ	0.2
ˈa	ˈɤ	0.2
ɔ	ɛ	0.2
v	-	0.2
ˈɔ	o	0.174
t	d	0.143
ˈa	ɛ	0.133
ɕ	ɐ_t	0.133
ɕ	ɐ	0.133
ɕ	r	0.133
ɕ	j_ɐ	0.133
ˈɔ	ˈɤ	0.13
ˈɔ	ˈa	0.13
w	-	0.118
ˈɔ	ˈɛ	0.087
ˈɔ	ɛ	0.087
