Swiss German	Limburgish	probability
b̥	b	0.656
b̥	v	0.175
b̥	f	0.109
b̥	-	0.049
d̥	d	0.414
d̥	t	0.344
d̥	-	0.139
d̥	j	0.083
f	v	0.689
f	p	0.15
f	f	0.128
f	ˈv	0.037
fː	p	1.0
h	ɦ	0.88
h	-	0.067
h	k	0.055
i	ə	0.592
i	ɪ	0.273
i	-	0.11
j	j	1.0
k	k	1.0
l	l	0.839
l	j	0.062
l	-	0.051
l	w	0.031
l	n	0.029
m	m	0.951
m	-	0.048
mː	m	1.0
n	n	0.853
n	-	0.143
nː	n	1.0
p	p	0.336
p	-	0.221
p͡f	p	1.0
r	ʀ	0.95
r	-	0.049
rː	ʀ	0.242
s	z	0.509
s	s	0.342
s	t	0.126
sː	t	0.898
sː	-	0.093
t	t	0.39
t	d	0.357
t	-	0.164
t	j	0.074
t	β	0.03
tː	j	0.699
tː	-	0.147
w	l	0.492
ŋ	ŋ	0.671
ŋ	n_t	0.326
ə	ə	0.701
ə	-	0.298
ɡ̊	ɣ	0.438
ɡ̊	x	0.295
ɡ̊	-	0.161
ɡ̊	ŋ	0.058
ɡ̊	k	0.031
ɡ̊_ɡ̊	k	0.644
ɡ̊_ɡ̊	x	0.24
ʃ	s	0.612
ʃ	ʃ	0.187
ʃ	z	0.149
ʃ	ʦ	0.045
ʃː	s	0.492
ʋ	β	0.953
ʋ	-	0.051
ʦ	t	0.933
ʦ	d	0.067
ˈa	ˈaː	0.603
ˈa	ˈæː	0.257
ˈa	ˈɑ	0.096
ˈau̯	ˈɔː	0.74
ˈau̯	ˈɔu̯	0.136
ˈe	ˈeː	0.519
ˈe	ˈɪː	0.203
ˈe	ˈæː	0.132
ˈe	ˈɛ	0.089
ˈei̯	ˈɛː_n	0.209
ˈei̯	ˈɛːi̯	0.179
ˈei̯	ˈɛː	0.16
ˈeː	ˈi	0.715
ˈeː	ˈiː	0.28
ˈi	ˈɪː	0.29
ˈi	ˈeː	0.206
ˈi	ˈɪ	0.107
ˈi	ˈɛː	0.107
ˈi	ˈi	0.095
ˈiə̯	ˈeː	0.613
ˈiə̯	ˈi	0.193
ˈiə̯	ˈiː	0.193
ˈiː	ˈiː	0.796
ˈiː	ˈɛ	0.113
ˈiː	ˈɪ	0.056
ˈo	ˈɔ	0.331
ˈo	ˈɔː	0.235
ˈo	ˈʊː	0.217
ˈo	ˈoː	0.077
ˈo	ˈɒː	0.072
ˈou̯	ˈɔː	0.443
ˈou̯	ˈɔu̯	0.222
ˈou̯	ˈɔ	0.136
ˈou̯	ˈœ	0.136
ˈoː	ˈu	0.44
ˈoː	ˈʊː	0.165
ˈoː	ˈɒː	0.144
ˈoː	ˈoː	0.125
ˈoː	ˈuː	0.093
ˈu	ˈʊː	0.359
ˈu	ˈœː	0.202
ˈu	ˈœ	0.153
ˈu	ˈʊ	0.101
ˈu	ˈuː	0.079
ˈuə̯	ˈʊː	0.514
ˈuə̯	ˈoː	0.25
ˈuə̯	ˈɔ	0.111
ˈuː	ˈuː	0.833
ˈuː	ˈʊː_n	0.098
ˈuː	ˈʊː	0.055
ˈy	ˈʏ	0.307
ˈy	ˈɛː	0.111
ˈy	ˈeː	0.108
ˈy	ˈøː	0.108
ˈy	-	0.104
ˈyə̯	ˈøː	1.0
ˈyː	ˈeː	0.402
ˈyː	ˈœi̯	0.153
ˈyː	ˈyː	0.133
ˈyː	ˈøː	0.133
ˈyː	ˈiː	0.088
ˈæ	ˈeː	0.454
ˈæ	ˈɛ	0.107
ˈæ	ˈɪ	0.097
ˈæ	ˈæ	0.093
ˈæ	ˈaː	0.085
ˈæi̯	ˈɛː	1.0
ˈæː	ˈi	0.384
ˈæː	ˈɑ	0.253
ˈæː	ˈeː	0.235
ˈø	ˈæ	0.265
ˈø	ˈɪ	0.265
ˈø	ˈɑ	0.265
ˈø	ˈʏː	0.162
ˈøi̯	ˈœi̯	0.45
ˈøi̯	ˈʏː	0.297
ˈøi̯	ˈi	0.182
ˈøː	ˈyː	0.461
ˈøː	ˈøː	0.265
ˈøː	ˈu	0.265
ˈɒ	ˈaː	0.379
ˈɒ	ˈɑ	0.272
ˈɒ	ˈɑː	0.268
ˈɒ	ˈæ	0.047
ˈɒ	ˈɒː	0.041
ˈɒː	ˈɒː	0.461
ˈɒː	ˈaː	0.237
ˈɒː	ˈæː	0.093
ˈɒː	ˈʊː	0.093
ˈɒː	ˈi	0.072
ˈɛi̯	ˈɛː	1.0
χ	k	0.834
χ	x	0.125
χ	-	0.042
χ_s	s	1.0
χ_t	x	1.0
