Bavarian	American English	probability
a	ɚ	0.763
a	-	0.156
a	ɪ	0.066
b̥	b	0.677
b̥	v	0.128
b̥	f	0.118
b̥	tʰ	0.045
b̥	-	0.039
d	d	1.0
d̥	d	0.682
d̥	θ	0.174
d̥	ð	0.097
d̥	-	0.043
f	f	0.755
f	p	0.175
f	v	0.063
f_a	p	1.0
h	h	1.0
i	ŋ	0.361
i	i	0.361
i	ɫ	0.203
j	ɫ	0.545
j	-	0.195
j	j	0.141
j	l_oʊ̯	0.107
k	k	1.0
kʰ	kʰ	0.551
kʰ	ʧ	0.203
kʰ	-	0.159
l	l	0.808
l	ɫ	0.084
l	-	0.054
l	θ	0.054
m	m	0.79
m	-	0.161
m	v	0.05
m_a	m	1.0
n	n	0.532
n	-	0.444
p	-	0.371
p	p	0.182
p͡f	p	0.5
p͡f	d	0.5
r	ɹ	0.938
r	-	0.041
r	z	0.039
s	s	0.63
s	t	0.258
s	ɾ	0.05
s	-	0.032
s	z	0.032
s_n	t	1.0
t	d	0.554
t	t	0.291
t	ð	0.077
t	θ	0.062
x	k	0.416
x	-	0.268
x	ʧ	0.102
x	t	0.092
x_t	t	1.0
ç	ʧ	0.488
ç	-	0.28
ç	k	0.171
ŋ	ŋ	0.674
ŋ	-	0.112
ŋ	i	0.089
ŋ	n	0.085
ɐ	ɚ	0.32
ɐ	ɹ	0.275
ɐ	-	0.207
ɐ	ˈɝ	0.141
ɐ	oʊ̯	0.044
ə	-	0.78
ə	ɫ	0.219
ɡ̊	-	0.455
ɡ̊	ɡ	0.355
ɡ̊	ʤ	0.106
ɡ̊	k	0.047
ɡ̊	j	0.042
ɪ	i	1.0
ʃ	s	0.513
ʃ	ʃ	0.474
ʋ	w	0.831
ʋ	-	0.065
ʋ	ˈɪ	0.055
ʋ	ˈɔ	0.053
ʦ	tʰ	0.599
ʦ	t	0.396
ˈa	ˈeɪ̯	0.339
ˈa	ˈæ	0.231
ˈa	ˈɛ	0.133
ˈa	ˈi	0.099
ˈa	ˈu	0.093
ˈai̯	ˈaɪ̯	0.558
ˈai̯	ˈɪ	0.116
ˈai̯	ˈɛ	0.088
ˈai̯	ˈi	0.086
ˈai̯	ˈoʊ̯	0.067
ˈau̯	ˈaʊ̯	0.806
ˈau̯	ˈaɪ̯	0.145
ˈaː	ˈi	0.784
ˈaː	ˈɛ	0.139
ˈaː	ˈeɪ̯	0.04
ˈe	ˈɛ	0.433
ˈe	ˈi	0.148
ˈe	ˈɑ	0.145
ˈe	-	0.129
ˈe	ˈɪ	0.093
ˈeɐ̯	ˈi	0.629
ˈeɐ̯	ˈu	0.361
ˈeː	ˈi	0.442
ˈeː	ˈɛ	0.295
ˈeː	ˈɪ	0.147
ˈeː	ˈeɪ̯	0.103
ˈi	ˈɪ	0.509
ˈi	ˈaɪ̯	0.186
ˈi	ˈi	0.133
ˈi	ˈoʊ̯	0.046
ˈi	ˈɔ	0.046
ˈiɐ̯	ˈi	0.736
ˈiɐ̯	ˈaɪ̯	0.186
ˈiː	ˈɪ	0.667
ˈiː	ˈi	0.124
ˈiː	ˈɛ	0.076
ˈo	ˈoʊ̯	0.296
ˈo	ˈɑ	0.249
ˈo	ˈæ	0.157
ˈo	ˈʊ	0.137
ˈo	ˈeɪ̯	0.137
ˈou̯	ˈaɪ̯	0.322
ˈou̯	ˈeɪ̯	0.322
ˈou̯	ˈɛ	0.239
ˈoɐ̯	ˈɔ_ɹ	0.291
ˈoɐ̯	ˈoʊ̯	0.239
ˈoɐ̯	ˈɛ	0.15
ˈoɐ̯	ˈɑ	0.131
ˈoɐ̯	ˈu	0.086
ˈoː	ˈæ	0.16
ˈoː	ɚ	0.139
ˈoː	ˈaʊ̯	0.139
ˈoː	ˈi	0.134
ˈoː	ˈɑ	0.121
ˈu	ˈʌ	0.336
ˈu	ˈɪ	0.227
ˈu	ˈɑ	0.079
ˈu	ˈaɪ̯	0.078
ˈu	ˈi	0.062
ˈuɐ̯	ˈʌ	0.437
ˈuɐ̯	ˈʊ	0.381
ˈuɐ̯	ˈaʊ̯	0.136
ˈy	ˈoʊ̯	0.49
ˈɑː	ˈi	0.49
ˈɒ	ˈeɪ̯	0.278
ˈɒ	ˈɛ	0.211
ˈɒ	ˈɔ	0.136
ˈɒ	ˈʌ	0.136
ˈɒ	ˈɑ	0.136
ˈɒː	ˈæ	0.53
ˈɒː	ˈi	0.461
ˈɔ	ˈɑ	0.24
ˈɔ	ˈaɪ̯	0.151
ˈɔ	ˈɛ	0.138
ˈɔ	ˈeɪ̯	0.138
ˈɔ	ˈi	0.102
ˈɛ	ˈɛ	0.343
ˈɛ	-	0.254
ˈɛ	ˈi	0.168
ˈɛ	ˈʌ	0.117
ˈɛ	ˈæ	0.056
ˈɛː	ˈoʊ̯	0.5
ˈɛː	ˈi	0.5
ˈʏ	ˈɪ	0.24
