Nynorsk Norwegian	East Low German	probability
ˈʊ	ˈuː	1.0
ˈɪ	ˈɪ	1.0
ˈɑ_ɾ	ˈaː	1.0
ˈøː	ˈɔʏ̯	1.0
ˈeː_#>	ˈae̯_#>	1.0
ˈeː	ˈɛː	1.0
ʰtː_e	x_t	1.0
ʰtː	t	1.0
ʰkː	ŋ_k	1.0
ʋ_ɑ	b_m	1.0
ʋ_#>	f_#>	1.0
ɾ_ɑ	æ	1.0
ɾ_n	æ_n	1.0
ɡː	ç	1.0
ɡ_ɑ	ŋ	1.0
ɡ	ɡ	1.0
ɛ	-	1.0
ə_#>	#>	1.0
ə	æ	1.0
ɑ_#>	#>	1.0
ŋː	ŋ	1.0
tː	t	1.0
t_ɑ	t_n	1.0
t	t	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
p	p	1.0
nː	n	1.0
n_d	n	1.0
n_#>	#>	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kʰ_ʋ	v	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ɑ	ŋ	1.0
h	h	1.0
f	f	1.0
e	-	1.0
d_ə	æ	1.0
d_#>	t_#>	1.0
d	d	1.0
b	b	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
ɑ	n	0.875
ˈuː	ˈaʊ̯	0.833
ˈæɪ̯	ˈae̯	0.818
ˈɑ	ˈa	0.812
ˈʏ	ˈʏ	0.778
ˈæʉ̯	ˈaʊ̯	0.778
ɾ_#>	æ_#>	0.737
ˈʉ	ˈʊ	0.7
ʂ	ʃ	0.7
ˈiː	ˈiː	0.688
ʋ	v	0.688
tʰ	d	0.6
ˈʉː	ˈuː	0.588
ɡ_#>	ç_#>	0.571
s	z	0.548
ˈɛ	ˈɛ	0.545
ɾ	r	0.545
ˈoː	ˈɒː	0.467
ˈyː	ˈae̯	0.429
ɡ_#>	x_#>	0.429
ç	kʰ	0.429
tʰ	tʰ	0.4
#>	d_#>	0.371
ˈɔ	ˈœː	0.333
ˈɔ	ˈuː	0.333
ˈɔ	ˈa	0.333
j	-	0.333
s	ʃ	0.323
ˈʉ	v_ˈʊ	0.3
ʂ	z	0.3
ˈʉː	ˈae̯	0.294
ˈyː	ˈyː	0.286
ˈyː	ˈiː	0.286
ç	k	0.286
ç	d	0.286
#>	t_#>	0.286
ˈɛ	ˈɪ	0.273
ˈɑː	ˈɒː	0.273
ˈɑː	ˈaː	0.273
ˈɑː	ˈa	0.273
ɾ	æ	0.273
ɾ_#>	#>	0.263
ˈʏ	ˈɔ	0.222
ˈæʉ̯	ˈoː	0.222
j	l	0.222
j	j	0.222
j	h	0.222
#>	n_#>	0.2
ˈɑ	ˈɒː	0.188
ˈiː	ˈɪ	0.188
ʋ	w	0.188
ˈɛ	ˈʏ	0.182
ˈɑː	ˈa_t	0.182
ˈæɪ̯	ˈɪ	0.182
ˈuː	ˈuː	0.167
ˈoː	ˈɒː_n	0.133
ˈoː	ˈoː	0.133
ˈoː	ˈeː	0.133
ˈoː	ˈaʊ̯	0.133
s	s	0.129
ˈiː	ˈae̯	0.125
ʋ	m	0.125
ɑ	æ	0.125
ˈʉː	ˈœː	0.118
ɾ	ɾ_æ	0.091
ɾ	-	0.091
#>	ç_#>	0.086
#>	k_#>	0.057
