Ripuarian	Nynorsk Norwegian	probability
e	e	1.0
ˈu	ˈoː	1.0
ˈøʏ̯	ˈyː	1.0
j	ɡ	0.81
v̥	ʋ	0.91
z	ʂ	0.201
ə	e	0.121
ʋ	-	0.231
ʦ	t	0.11
ˈaː	ˈɑː	0.331
ˈo	ˈuː	0.1
ˈyː	ˈyː	0.191
ˈyː	ˈʉ	0.21
ˈɔ	ˈɔ	0.231
ˈɛ	ˈiː	0.051
ˈɛː	ˈæ	0.061
ˈɪ	ˈiː	0.211
ˈʏ	ˈoː	0.1
d	ç	0.052
d̥	d	0.182
k	kʰ	0.392
p	pʰ	0.062
p	p	0.502
ɐ	e_ɾ	0.092
ɐ	-	0.152
ə	-	0.162
ʃ	s	0.702
ˈaʊ̯	ˈuː	0.062
ˈaʊ̯	e	0.12
ˈiː	ˈøː	0.162
ˈoʊ̯	ˈʉ	0.322
ˈoː	ˈɑ	0.062
ˈuː	ˈæʉ̯	0.372
ˈyː	ˈœʏ̯	0.132
ˈʊ	ˈʉ	0.342
m	mː	0.063
x	ɡ	0.113
x	ʰtː	0.643
ŋ	n	0.263
ŋ	ŋː	0.373
ɐ	ə	0.083
ɕ	k	0.43
ɡ̊	ʰtː	0.073
ɣ	ɡ	0.633
ɪ	ŋ	0.643
ˈa	ˈʉː	0.063
ˈeː	ˈuː	0.113
ˈeː	ˈyː	0.183
ˈoː	ˈoː	0.193
ˈœ	ˈɛ	0.23
ˈɛ	ˈʏ	0.123
d	d	0.354
f	p	0.164
f	f	0.644
l	j	0.054
s	s	0.354
ɕ	ʰtː	0.144
ʀ	ɾ	0.894
ʋ	v	0.064
ˈaʊ̯	jː	0.094
ˈeɪ̯	ˈæɪ̯	0.694
ˈeː	ˈeː	0.074
ˈeː	ˈʉː	0.14
ˈoː	ˈuː	0.344
ˈœ	ˈʏ	0.594
ˈɔ	ˈʉː	0.184
ˈɛː	ˈœ	0.054
ˈɛː	ˈʉː	0.14
ˈʏ	ˈʊ	0.294
ˈʏ	ˈiː	0.294
h	j	0.115
h	h	0.885
j	jː	0.05
j	-	0.05
k	-	0.085
p	ʰpː	0.25
t	-	0.365
v	ʋ	0.865
ɡ̊	-	0.345
ɡ̊	d	0.385
ˈa	ˈɛ	0.075
ˈa	ˈɑ	0.605
ˈaʊ̯	ˈæʉ̯	0.295
ˈe	ˈiː	0.215
ˈeː	ˈiː	0.075
ˈiː	ˈyː	0.085
ˈo	ˈʉ	0.675
ˈuː	ˈɔ	0.165
ˈøː	ˈœʏ̯	0.215
ˈøː	ˈøː	0.575
ˈɛ	j	0.065
ˈɛ	ˈɛ	0.245
ˈɪ	ˈʏ	0.065
ˈɪ	ˈeː	0.095
ˈʏ	ˈʏ	0.175
d	-	0.236
l	ɡ_l	0.076
p	-	0.186
x	k	0.136
ʋ	ʋ	0.686
ˈaː	ˈɔ	0.156
ˈe	ˈɔ	0.056
ˈe	ˈɛ	0.126
ˈeɪ̯	ˈeː	0.216
ˈuː	ˈʉː	0.396
ˈœ	ˈʉ	0.176
ˈɔ	ˈʊ	0.236
ˈʏ	ˈʉː	0.136
f	kʰ	0.067
k	çː	0.067
k	ɡː	0.207
l	l	0.707
n	nː	0.237
n	n	0.607
t	ç	0.237
v	-	0.087
ŋ	nː	0.307
ɕ	ɡ	0.367
ə	ɑ	0.697
ɡ̊	ɡ	0.197
ɣ	j	0.367
ˈa	ˈoː	0.067
ˈaː	ˈæɪ̯	0.057
ˈaː	ˈɑ	0.377
ˈeɪ̯	ˈɛ	0.067
ˈiː	ˈiː	0.577
ˈoː	ˈʊ	0.117
ˈyː	ˈɛ	0.087
ˈøː	ˈɛ	0.107
ˈɛː	ˈɑ	0.157
ˈɛː	ˈeː	0.207
d	tʰ	0.358
d̥	-	0.818
f	ʋ	0.078
l	lː	0.148
m	m	0.808
s	ʰtː	0.068
x	-	0.108
ɐ	ɾ	0.628
ʃ	ʂ	0.298
ˈaʊ̯	ˈʉː	0.428
ˈo	ˈoː	0.148
ˈoʊ̯	ˈœʏ̯	0.678
ˈoː	ˈʉː	0.068
ˈyː	ˈɔ	0.258
ˈɛ	ˈɑ	0.068
ˈɛ	ˈeː	0.248
ˈɪ	ˈɛ	0.098
ˈʊ	ˈɔ	0.658
b	b	0.99
j	j	0.089
k	ç	0.209
m	-	0.129
n	-	0.139
s	t	0.519
t	t	0.399
v̥	-	0.09
z	s	0.799
ɪ	e	0.309
ʦ	tː	0.149
ʦ	tʰ	0.619
ˈa	ˈɑː	0.149
ˈaː	ˈeː	0.079
ˈe	ˈɪ	0.529
ˈeː	ˈæɪ̯	0.279
ˈiː	ˈoː	0.059
ˈiː	ˈɛ	0.069
ˈoː	ˈɔ	0.089
ˈyː	ˈeː	0.09
ˈøː	ˈoː	0.069
ˈɔ	ˈʏ	0.069
ˈɔ	ˈʉ	0.229
ˈɛː	ˈɛ	0.329
ˈɪ	ˈɪ	0.509
