Piedmontese	Romanian	probability
b	b	1.0
p	p	1.0
ɲ	n	1.0
ʧ	ʧ	1.0
ˈy	ˈu	1.0
a	-	0.11
i	i	0.311
m	m	0.981
n	n	0.941
s	s	0.631
u	u	0.901
v	-	0.331
w	l	0.31
z	ʧ_e	0.741
ˈe	ˈe	0.311
ˈɛ	j_ˈe	0.171
ˈɛ	ˈe	0.311
ˈɛ	ˈi	0.371
d	d	0.612
l	r	0.182
l	l	0.742
ŋ	-	0.102
ŋ	n	0.792
ˈa	ˈɨ_j	0.052
ˈu	ˈu	0.712
d	-	0.063
k	-	0.073
k	k	0.873
ɡ	-	0.113
ɡ	ɡ	0.603
ˈa	ˈɨ	0.373
ˈa	ˈa	0.443
ˈe	e	0.053
ˈɔ	o̯ˈa	0.393
ˈɔ	ˈo	0.473
ˈə	ə_#>	0.133
ˈə	ˈe	0.483
d	z	0.294
e	r_e	0.144
e	e_r	0.284
j	e	0.084
r	-	0.114
t	t_e	0.114
z	-	0.134
ɡ	k	0.284
ʤ	ʒ	0.274
a	ə	0.65
r	r	0.855
s	ʃ_t	0.065
ˈi	ˈi	0.875
ˈə	w_#>	0.075
e	ə	0.136
f	f	0.966
j	j	0.106
j	l	0.226
s	ʃ	0.086
t	p_t	0.086
z	ʤ	0.126
ˈø	ˈo	0.736
ˈɔ	ˈau̯	0.086
ˈɛ	ˈa	0.106
a	e	0.097
e	e	0.437
j	-	0.417
s	ʦ	0.057
s	ʧ	0.137
ʤ	ɡ	0.107
ˈa	-	0.057
j	kʲ	0.098
ŋ	n_e	0.058
ʤ	ʤ	0.438
ˈe	ˈa	0.118
ˈe	e̯ˈa	0.138
ˈe	ˈa_r	0.38
ˈi	ˈu	0.088
ˈu	ˈo	0.218
ˈø	o̯ˈa	0.228
i	-	0.689
l	r_e	0.059
t	ʦ	0.059
t	t	0.699
u	-	0.099
v	p	0.169
v	v	0.49
w	-	0.69
ˈu	o̯ˈa	0.069
ˈə	u_#>	0.119
ˈə	e_#>	0.19
