Macedonian	Belarusian	probability
j	j	1.0
r	r	1.0
ʃ	ʂ	1.0
ʒ	ʐ	1.0
ʣ	zʲ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
d	ʣʲ	0.561
ɫ	ɫ	0.671
ˈa	a	0.211
f	w	0.522
i	ˈi	0.342
k	k_a	0.202
s	sʲ	0.412
z	z	0.412
ˈa	ˈo	0.392
ˈi	ˈɨ	0.592
a	-	0.053
a	a	0.293
n	n	0.453
v	vʲ	0.643
ɛ	ˈe	0.143
ɫ	w	0.13
ˈo	a	0.313
ˈɛ	a	0.193
a	ˈa	0.654
b	bʲ	0.054
k	k	0.754
m	mʲ	0.444
p	pʲ	0.364
t	ʦʲ	0.484
ɡ	ɣ	0.744
ɫ	ɫ_ɨ	0.094
ˈɛ	ˈæ	0.124
l	ʌ_ɫ	0.105
l	lʲ	0.895
o	a	0.825
b	b	0.946
m	m	0.556
o	ˈo	0.106
p	p	0.636
t	t	0.516
ɛ	ˈæ	0.146
ɡ	ɣ_ˈo	0.256
ɫ	lʲ	0.106
ˈr̩	ˈe_r	0.086
ˈr̩	r	0.676
ˈɛ	ˈɛ	0.056
v	v	0.357
ɛ	e	0.147
ɛ	a	0.237
ˈo	ˈo	0.687
ˈr̩	ˈɵ_r	0.237
ˈɛ	æ	0.227
ˈɛ	ˈe	0.357
f	v_ɨ	0.478
i	ˈɨ	0.658
n	n_ɨ	0.208
s	s	0.588
z	zʲ	0.588
ɛ	æ	0.078
ˈa	ˈa	0.168
ˈi	ˈi	0.408
d	d	0.439
n	nʲ	0.339
o	-	0.069
ɛ	-	0.249
ˈa	ˈu	0.229
