Sicilian	Italian	probability
b	b	1.0
c	-	1.0
cː	kː_j	1.0
d	d	1.0
f	f	1.0
kː	kː	1.0
m	m	1.0
mː	mː	1.0
o	o	1.0
p	p	1.0
r	r	1.0
s	s	1.0
sː	sː	1.0
t	t	1.0
tː	tː	1.0
z	z	1.0
ç	f_j	1.0
ŋ	ŋ	1.0
ɟː	ʎː	1.0
ɡ	ɡ	1.0
ɲː	ɲː	1.0
ɽ	r	1.0
ʃ	s	1.0
ʊ	o	1.0
ʐ	r	1.0
ʐː	rː	1.0
ʤ	ʤ	1.0
ʦː	ʦː	1.0
ʧː	ʧː	1.0
ˈe	ˈe	1.0
ˈo	ˈo	1.0
j	ʤ	0.331
l	l	0.941
u	o	0.931
ʈ	d	0.351
ˈa	ˈa	0.941
i	i	0.562
w	w	0.732
ɖː	-	0.052
ɾ	-	0.052
ɾ	l	0.052
ˈu	ˈu	0.522
k	k	0.883
v	b	0.083
ɪ	e	0.883
ˈɔ	ˈo	0.053
ˈɛ	ˈɛ	0.873
k	ɡ	0.074
ʃː	ʃː	0.904
j	j	0.5
nː	nː	0.715
ˈu	ˈo	0.445
ˈɛ	j_ˈɛ	0.085
a	a	0.916
ʃː	sː	0.096
ˈi	ˈe	0.506
n	n	0.977
v	v	0.897
ɖː	lː	0.87
ɾ	d	0.067
i	e	0.438
nː	n_d	0.138
nː	n	0.148
w	l	0.268
ɕ	ʧ	0.98
ɖː	l	0.078
ɪ	i	0.068
ɾ	r	0.828
ˈɔ	w_ˈɔ	0.298
j	-	0.169
u	u	0.069
ʈ	t	0.649
ˈa	j_ˈa	0.059
ˈi	ˈi	0.459
ˈɔ	ˈɔ	0.649
