Hessian	Westphalian	probability
ˈɛ̃ː	ˈɔː_n	1.0
ˈɛː	-	1.0
ˈɔ_ɐ	ˈuːə̯	1.0
ˈɔ	-	1.0
ˈɑ̃i̯	ˈiː_n	1.0
ˈæ_ɐ	ˈɪɛ̯	1.0
ˈuː	ˈoː	1.0
ˈõː	ˈuːə̯_n	1.0
ˈoĩ̯	ˈɪə̯_ɣ	1.0
ˈĩː	ˈøː_n	1.0
ˈiː_ɐ	ɐ	1.0
ˈeː	ˈaɪ̯	1.0
ˈãː	ˈeː_n	1.0
ʦ	t	1.0
ʃ_t	ç	1.0
ʃ_d̥	ʃ_t	1.0
ɡ̊_ə	k_n	1.0
ɡ̊	x	1.0
ɛː	aɪ̯_n	1.0
ɑ	-	1.0
ŋ	ŋ	1.0
æ̆	ɐ	1.0
z̥	t	1.0
x_t	x_t	1.0
x	k	1.0
v̥	p	1.0
s_ˈeː	s	1.0
pʰ	p	1.0
oː	ˈaʊ̯	1.0
n_ə	n_n	1.0
m	m	1.0
l	l	1.0
kʰ	k	1.0
i	ɪ	1.0
h	h	1.0
n	n	0.971
ʀ	r	0.941
f	f	0.916
ˈiː	ˈaɪ̯	0.841
ə	n	0.83
v	v	0.825
p	b	0.811
ʒ̊	-	0.731
ˈɑ	ˈa	0.724
ˈi	ˈɪ	0.724
b̥	b	0.701
ɐ	ɐ	0.644
ˈo	ˈʊ	0.635
j	-	0.635
ˈu	ˈʊ	0.627
ˈai̯	ˈiː	0.625
ˈaː	ˈaʊ̯	0.611
ˈau̯	ˈuː	0.602
ˈa	ˈa	0.577
ˈɛ	ˈɛ	0.57
s	s	0.559
d̥	d	0.552
ɣ̊	x	0.528
ˈoi̯	-	0.517
ʃ	ʃ	0.516
ˈæː	ˈɛː	0.5
ˈæː	-	0.5
t	d	0.491
ˈe	ˈɛ	0.484
ˈoi̯	ˈyː	0.483
ɣ̊	ɡ	0.472
ˈɛ	ˈɪɛ̯	0.43
ˈoː	ˈɔː	0.406
ˈau̯	ˈʊ	0.398
ˈɑː	ˈɔː	0.384
k	k	0.376
ˈai̯	ˈɪ	0.375
ˈo	-	0.365
j	j	0.365
ɐ	-	0.356
ˈoː	ˈaʊ̯	0.351
ˈe	-	0.325
k	-	0.32
ʃ	ç	0.307
k	x	0.304
d̥	d̥	0.286
ˈɑ	-	0.276
ʒ̊	ʃ	0.269
t	t	0.264
t	-	0.245
ˈoː	-	0.243
ˈaː	ˈeː	0.236
ˈɑː	ˈaː	0.223
b̥	v	0.223
ˈu	-	0.218
ˈa	ˈaː	0.215
ˈa	-	0.208
s	t	0.202
ˈɑː	ˈa	0.2
ˈe	ˈyə̯	0.191
p	p	0.189
ʃ	k	0.177
v	ʋ	0.175
ˈiː	ˈøː	0.159
ˈu	ˈoː	0.155
ˈaː	ˈɔ	0.154
ˈɑː	-	0.148
s	z̥	0.146
ˈi	ˈʏ	0.12
d̥	-	0.108
ə	ə	0.103
s	z	0.094
f	f_ˈøː	0.084
b̥	ʋ	0.076
ˈi	ˈɛ	0.07
ə	k_n	0.067
ʀ	-	0.059
d̥	t	0.054
