Gothic	Swiss German	probability
a	ə	0.479
a	-	0.418
a	i	0.057
a	rː	0.046
a_n	ə	1.0
aː	-	0.491
b	b̥	1.0
d	t	0.851
d	ɡ̊	0.148
d_s	d̥	0.491
e	ə	1.0
f	f	0.947
f	b̥	0.055
f_s	b̥	1.0
h	h	0.473
h	χ	0.303
h	-	0.173
h	ɡ̊	0.046
i	-	0.901
i	ə	0.08
i_f	f	1.0
iː	-	1.0
j	-	0.503
j	j	0.26
j	ˈy	0.09
j	r	0.086
k	χ	0.694
k	-	0.183
k	k	0.075
k	ɡ̊	0.038
k_s	ʃ	1.0
kʷ	f	0.241
l	l	1.0
lː	l	1.0
m	m	0.903
m	-	0.089
m_s	m	1.0
n	n	0.547
n	-	0.34
n	r	0.047
n	ŋ	0.032
n	l	0.032
n_d	ŋ	1.0
nː	n	0.644
nː	-	0.24
oː	-	0.541
oː	ə	0.228
oː	r	0.131
oː	ˈau̯	0.066
p	f	0.464
p	p͡f	0.343
p	fː	0.128
r	r	0.95
r	-	0.052
s	-	0.623
s	s	0.22
s	ʃ	0.154
s_k	ʃ	1.0
t	ʦ	0.421
t	t	0.247
t	sː	0.225
t	d̥	0.046
t	-	0.041
t_s	t	1.0
u	-	0.817
u	i	0.1
u	ə	0.078
w	ʋ	0.936
w	-	0.064
x	ɡ̊	1.0
z	r	0.182
z	ʃː	0.182
ð	tː	0.488
ð	t	0.197
ð	-	0.182
ŋ	ŋ	0.855
ŋ	ˈøi̯	0.12
ɔː	-	0.491
ɡ	ɡ̊	0.693
ɡ	-	0.294
ɡ_oː	ə	1.0
ɡ_s	ɡ̊	1.0
ɡʷ	-	0.491
ɣ	ɡ̊	1.0
ʍ	ʋ	0.629
ʍ	-	0.361
ˈa	ˈɒ	0.493
ˈa	ˈɒː	0.186
ˈa	ˈa	0.092
ˈa	ˈø	0.078
ˈa	ˈæ	0.07
ˈeː	ˈɒː	0.644
ˈeː	ˈo	0.196
ˈeː	ˈiə̯	0.127
ˈi	ˈi	0.595
ˈi	ˈæː	0.085
ˈi	-	0.063
ˈi	ˈø	0.056
ˈi	ˈy	0.049
ˈiu̯	ˈyː	0.453
ˈiu̯	ˈiə̯	0.343
ˈiu̯	ˈøi̯	0.094
ˈiː	ˈiː	0.693
ˈiː	ˈyː	0.136
ˈiː	ˈei̯	0.092
ˈoː	ˈuə̯	0.743
ˈoː	ˈyː	0.114
ˈoː	ˈyə̯	0.11
ˈu	ˈu	0.297
ˈu	ˈo	0.256
ˈu	ˈuː	0.137
ˈu	ˈɒ	0.069
ˈu	ˈø	0.069
ˈuː	ˈuː	0.549
ˈuː	ˈu	0.441
ˈɔ	ˈo	0.47
ˈɔ	ˈoː	0.296
ˈɔ	ˈu	0.11
ˈɔ	ˈou̯	0.08
ˈɔː	ˈoː	0.409
ˈɔː	ˈau̯	0.195
ˈɔː	ˈøː	0.137
ˈɔː	ˈou̯	0.104
ˈɔː	ˈo	0.075
ˈɛ	ˈæ	0.614
ˈɛ	ˈæː	0.237
ˈɛ	ˈeː	0.136
ˈɛː	ˈe	0.334
ˈɛː	ˈøi̯	0.253
ˈɛː	ˈɛi̯	0.164
ˈɛː	ˈæi̯	0.155
ˈɛː_n	ˈei̯	0.491
ˈɛː_w	ˈeː	1.0
β	b̥	0.339
β	-	0.339
β	p͡f	0.194
β	p	0.085
θ	d̥	0.509
θ	t	0.259
θ	-	0.228
θ_s	t	1.0
