Macedonian	Štokavian	probability
a	a	1.0
b	b	1.0
d	d	1.0
i	i	1.0
j	j	1.0
m	m	1.0
n	n	1.0
r	r	1.0
u	a	1.0
v	ʋ	1.0
z	z	1.0
ʃ	ʒ	1.0
ʒ	ʒ	1.0
ʣ	z	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ˈu	ûː	1.0
k	k	0.91
ɛ	j_e	0.101
ɡ	ɡ	0.981
ɫ	l	0.91
ˈa	ǎː	0.081
ˈo	ǒ	0.211
ˈɛ	êː	0.1
p	p	0.82
s	s	0.982
ɛ	t_i	0.082
ˈo	ô	0.522
ˈr̩	r̂ː	0.192
ˈɛ	j_ěː	0.122
o	a	0.13
t	d	0.133
ˈɛ	ê	0.143
ˈɛ	j_êː	0.143
f	x	0.374
l	l	0.954
ɛ	eː	0.134
ˈi	î	0.754
ɛ	a	0.215
ˈa	â	0.455
f	ʋ	0.626
ˈa	ûː	0.086
ˈɛ	ě	0.316
o	o	0.87
ɛ	e	0.467
ɫ	-	0.07
ˈɛ	j_ê	0.117
p	b	0.18
t	t	0.838
ˈi	ǐː	0.098
ˈi	îː	0.148
ˈo	ôː	0.268
k	ɡ	0.09
ˈa	ǎ	0.059
ˈa	âː	0.319
ˈr̩	r̩̂	0.19
ˈr̩	r̩̂	0.239
ˈr̩	r̩̂ː	0.379
ˈɛ	ěː	0.059
