Occitan	Portuguese	probability
b	b	1.0
f	f	1.0
v	v	1.0
ð	ð	1.0
ŋ	-	1.0
ɣ	ɣ	1.0
d	-	0.131
i	i	0.151
t	-	0.131
ɔ	ɐ	0.911
ʦ	ʃ	0.571
ʧ	t_u	0.521
ˈe	ˈɐ	0.381
ˈe	ˈe	0.461
ˈɛ	t_u	0.051
ˈɛ	u	0.241
a	ɐ	0.852
k	k	0.782
m	m	0.902
n	ɲ	0.142
p	-	0.072
p	p	0.892
t	t	0.612
u	ɔ	0.102
z	z	0.452
ʤ	ʒ	0.942
ˈa	ˈɐ̃_w̃	0.062
ˈɛ	-	0.102
k	ɣ_u	0.093
s	ʃ	0.403
ɡ	ɡ	0.973
ɲ	ɲ	0.603
ˈa	ˈɐ̃	0.093
ˈa	ˈa	0.333
ˈi	-	0.083
ˈy	ˈu	0.953
ˈɛ	ˈẽ	0.053
β	β	0.713
e	j	0.084
j	ˈɐ_j	0.34
w	v_ɨ	0.054
w	v_u	0.064
w	-	0.164
ʎ	ʎ	0.54
ʧ	j_t	0.164
ˈi	ˈĩ	0.064
ˈi	ˈi	0.784
ˈɔ	ˈo	0.554
ˈɛ	ˈɛ	0.424
j	j	0.325
j	-	0.335
l	-	0.325
r	ɾ	0.495
t	ð_u	0.055
u	u	0.435
w	w	0.295
ɥ	-	0.205
ɥ	ˈo	0.795
ʧ	t	0.315
e	i	0.206
r	ɾ_n	0.136
w	ɫ	0.056
ʎ	j_ʎ	0.46
ˈu	ˈõ	0.126
ˈu	ˈo	0.476
ˈɔ	ˈɔ	0.446
ˈɛ	j	0.106
e	ɨ	0.347
k	k_u	0.057
l	ɫ	0.097
l	l	0.357
m	m_ɨ	0.067
s	s	0.547
w	v	0.137
ɲ	ɲ_u	0.397
ˈa	ˈa_ɾ	0.177
ˈa	ˈɐ	0.187
ˈe	ˈi	0.067
β	v	0.287
a	-	0.148
i	ĩ	0.18
l	l_u	0.108
u	u_#>	0.098
u	-	0.228
w	u	0.208
z	-	0.548
ɾ	-	0.268
ɾ	ɾ	0.688
ˈu	ˈɔ	0.118
d	d	0.869
e	u	0.249
i	u	0.669
n	-	0.419
n	n	0.439
r	ɾ_u	0.09
r	ʁ	0.279
t	ð_ɨ	0.139
ʦ	s_u	0.429
ˈu	ˈo_ɾ	0.069
ˈu	ˈu	0.179
