Nuorese	Nuorese	probability
β_ˈa	ˈa	1.0
β_ɛ	ɛ	1.0
ˈɛ_ð	ˈɛ	1.0
ˈɛ	ˈɛ	1.0
ˈɔ	ˈɔ	1.0
ˈu	ˈu	1.0
ˈo	ˈo	1.0
ˈi_ɾ	ˈi_ɾ	1.0
ˈi	ˈi	1.0
ˈe	ˈe	1.0
ˈa_k	ˈa_ɣ	1.0
ˈa	ˈa	1.0
ʦ	ʦ	1.0
ʣ	ʣ	1.0
ɾ_ˈu	ɾ_ˈu	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_u	ɾ_u	1.0
ɾ_t	ɾ_t	1.0
ɾ_m	ɾ_m	1.0
ɾ_k	ɾ_k	1.0
ɾ_b	ɾ_b	1.0
ɾ_a	ɾ_a	1.0
ɲ	ɲ	1.0
ɛ̆	ɛ̆	1.0
ɛ_ɾ	ɛ_ɾ	1.0
ɛ_n	ɛ_n	1.0
ɖː	ɖː	1.0
ɔ̆	ɔ̆	1.0
ɔ	ɔ	1.0
ŋ	ŋ	1.0
ð_i	i	1.0
z	z	1.0
ŭ	ŭ	1.0
u	u	1.0
t_ˈa	t_ˈa	1.0
t_ɾ	t_ɾ	1.0
s_a	s_a	1.0
r	r	1.0
n_i	n_i	1.0
n	n	1.0
l_ɛ	l_ɛ	1.0
l	l	1.0
k_ɾ	j	1.0
j	j	1.0
i_#>	i_#>	1.0
f	f	1.0
e	e	1.0
d	d	1.0
b	b	1.0
ă	ă	1.0
a_z	a_z	1.0
a_n	a_n	1.0
a_m	a_m	1.0
a_l	a_l	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈi	<#_ˈi	1.0
<#_r	<#_ɾ	1.0
<#_a	<#	1.0
a	a	0.975
ɛ	ɛ	0.97
s	s	0.958
m	m	0.925
ɾ	ɾ	0.907
p	p	0.902
i	i	0.875
nː	nː	0.8
t	t	0.774
o	o	0.7
k	k	0.689
ð	-	0.667
β	-	0.6
ɣ	-	0.6
ɡ	b	0.538
ɡ	ɡ	0.462
β	β	0.4
ɣ	ɣ	0.4
ð	ð	0.333
k	ɣ	0.311
o	-	0.3
t	ð	0.226
nː	n_d	0.2
i	-	0.125
p	β	0.098
m	m_b	0.075
ɾ	-	0.056
