Czech	Bulgarian	probability
ʧ	ʧ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʃ	-	1.0
ɪ	i	1.0
ɟ	dʲ	1.0
ɛː	a	1.0
z̥	z̥	1.0
z	z	1.0
x	x	1.0
v_j	vʲ	1.0
v_iː	f	1.0
v_a	v_ɐ	1.0
s_l	s_ɫ	1.0
s	s	1.0
r̝̊	r	1.0
r̝_ɛ	r_ɛ	1.0
r̝	r	1.0
n_iː	ɛ_n	1.0
n	n	1.0
m̩	ɛ_m	1.0
m	m	1.0
l̩	ɐ_ɫ	1.0
k_iː	ɐ_k	1.0
k	k	1.0
j_ɛ	ɛ	1.0
j	j	1.0
f	f	1.0
d̥	d̥	1.0
c	tʲ	1.0
b̥	b̥	1.0
v	v	0.926
r	r	0.918
b	b	0.913
p	p	0.891
d	d	0.887
ɦ	ɡ	0.809
aː	a	0.798
t	t	0.778
a	a	0.709
ɛ	ɛ	0.649
uː	ɔ	0.638
ou̯	ɤ	0.6
ɲ	n	0.59
ʦ	ʦ	0.584
l	ɫ	0.574
r̩	ɤ	0.571
u	ɤ	0.543
o	ɔ	0.471
iː	-	0.469
o	o	0.447
r̩	ɐ_r	0.429
ɲ	nʲ	0.41
ou̯	u	0.4
uː	-	0.362
ʦ	ʃ_t	0.294
u	u	0.275
a	ɐ	0.239
l	l	0.233
ɛ	a_ˈ	0.206
aː	ɛ	0.202
l	lʲ	0.193
ɦ	-	0.191
u	ɐ	0.182
iː	i_ˈ	0.165
iː	a	0.158
ʦ	ʦʲ	0.122
d	-	0.113
p	pʲ	0.109
t	j_ɐ	0.096
t	-	0.096
ɛ	ɐ	0.093
b	bʲ	0.087
r	rʲ	0.082
o	-	0.081
iː	ɛ	0.079
iː	r	0.076
v	vʲ	0.074
iː	i	0.053
ɛ	ɤ_ˈ	0.052
a	-	0.051
