Bellunese	Bellunese	probability
ˈɛ_ð	ˈɛ_s	1.0
ˈɛ_r	ˈɛ_r	1.0
ˈo_s	ˈo_s	1.0
ˈi_ŋ	ˈi	1.0
ˈi_#>	ˈe_#>	1.0
ˈi	ˈi	1.0
ˈe_ŋ	ˈe	1.0
ˈe_r	ˈe_r	1.0
ˈa_ŋ	ˈa	1.0
ˈa_r	ˈa	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ɲ	ɲ	1.0
ɡ_o_#>	k_#>	1.0
ð	z	1.0
v_ˈa	ˈa	1.0
v_o_#>	f_#>	1.0
v_e	e	1.0
u	y	1.0
t_o	t	1.0
t_#>	ʧ_#>	1.0
t	t	1.0
s_ˈa	s_ˈa	1.0
s	s	1.0
r_ˈe	r_ˈɛ	1.0
r_ˈa	r_ˈa	1.0
r_e	e_r	1.0
r_#>	#>	1.0
p	p	1.0
n_#>	#>	1.0
m	m	1.0
k	k	1.0
j_ˈe	ˈe	1.0
j	j	1.0
f	f	1.0
e_r	ˈi	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_v_ˈɛ	<#_ˈɛ	1.0
<#_v_ˈi	<#_ˈe	1.0
<#_v_ˈe	<#_e	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_o	1.0
<#_j	<#_ʤ	1.0
<#_a	<#_a	1.0
a	a	0.971
l	l	0.956
r	r	0.914
ɡ	ɡ	0.875
n	n	0.857
θ	s	0.85
ˈɛ	ˈɛ	0.842
d	d	0.84
z	z	0.778
ˈa	ˈa	0.765
ŋ_#>	#>	0.75
r_o	r	0.714
ˈu	ˈy	0.7
v	-	0.667
ŋ	n	0.571
w	w	0.571
ˈo	ˈu	0.545
ˈe	ˈɛ	0.5
i	i	0.5
i	e	0.5
o	-	0.469
ˈɔ	ˈɔ	0.45
e	-	0.44
ŋ	ŋ	0.429
w	-	0.429
o	o	0.406
e	e	0.32
ˈɔ	ˈo	0.3
ˈu	ˈø	0.3
r_o	e_r	0.286
ˈɔ	ˈø	0.25
ˈe	ˈi	0.25
ˈe	ˈe	0.25
ŋ_#>	m_#>	0.25
z	-	0.222
ˈo	ˈø	0.182
ˈo	ˈo	0.182
v	ʋ	0.167
v	f	0.167
e	i	0.16
ˈɛ	-	0.158
θ	-	0.15
ɡ	k	0.125
ˈo	-	0.091
ˈa	ˈo	0.088
ˈa	-	0.088
r	d	0.086
e	e_r	0.08
d	t	0.08
d	-	0.08
n	ŋ	0.071
n	-	0.071
o	u	0.062
o	e	0.062
ˈa	ˈɛ	0.059
