Ripuarian	Middle High German	probability
ˈʊ	ˈu	1.0
ˈɔ	ˈo	1.0
ˈœ	ˈy	1.0
ˈøː_ʦ	ɛ	1.0
ˈøː	ˈyə̯	1.0
ˈøʏ̯	ˈyː_w	1.0
ˈy	ˈy	1.0
ˈu	-	1.0
ˈi	ˈi	1.0
ˈeɪ̯	ˈei̯	1.0
ˈaː	ˈɑ	1.0
ˈa_ŋ	ˈɑ_n	1.0
ˈa	ˈɑ	1.0
ʋ	w	1.0
ɪ	ə	1.0
ɣ̊	ɡ̊	1.0
ɣ	ɡ	1.0
ə_f	f	1.0
z	s	1.0
v̥	b̥	1.0
t	t	1.0
l	l	1.0
h	h	1.0
e	h_ə	1.0
b	b	1.0
m	m	0.96
ʀ	r	0.956
j	ɡ	0.931
ʃ	ʃ	0.853
ʦ	ʦ	0.836
ɐ	ə_r	0.825
f	v	0.803
ˈɛː	ˈɛ	0.781
ˈe	ˈi	0.768
n	n	0.753
ˈɔː	ˈɑː	0.752
ˈɪ	ˈi	0.748
ə	ə_n	0.745
ɫ	l	0.736
ɡ̊	d̥	0.727
v	b	0.702
k	kʰ	0.64
p	p͡f	0.636
ˈɛ	ˈɛ	0.586
ˈuː	ˈuː	0.586
ˈo	ˈu	0.563
s	s̻	0.562
ˈyː	ˈyː	0.551
z̥	s	0.542
d	t	0.513
ˈʏ	ˈyː	0.5
ˈʏ	ˈy	0.5
ˈeː	ˈiə̯	0.498
x	x_t	0.486
ˈiː	ˈiː	0.479
d	d	0.465
ˈoː	ˈuə̯	0.46
z̥	s_ə	0.458
ɕ	x	0.456
ˈɔʊ̯	ˈuː	0.446
ˈɔʊ̯	ˈou̯	0.446
d̥	t	0.441
d̥	d̥	0.433
ˈuː	ˈoː	0.414
ŋ	n	0.374
ˈyː	ˈøː	0.354
ˈeː	ˈei̯	0.302
ŋ	ŋ	0.299
v	-	0.298
s	s̻ː	0.298
ˈo	ˈo	0.293
ˈɛ	ˈɑ	0.286
ɡ̊	ɡ̊	0.273
ˈiː	ˈeː	0.267
x	x	0.264
ˈɪ	ˈiː	0.252
x	xː	0.25
ɕ	ɡ̊	0.249
k	k	0.238
ˈɛː	-	0.219
ˈoː	ˈo_r	0.202
f	f	0.197
ˈiː	ˈi	0.193
p	f	0.19
ɕ	xː	0.188
ŋ	ŋ_ɡ	0.186
ɐ	r	0.175
p	p	0.174
ʦ	ʦː	0.164
ˈɔː	ˈɑ	0.145
ˈo	-	0.144
s	s	0.14
n	n_ə	0.139
ˈoː	ˈou̯	0.133
ə	ə	0.132
ˈɛ	-	0.129
d̥	r_t	0.126
k	kː	0.122
ˈe	ˈe	0.116
ˈe	-	0.116
ˈɔʊ̯	ou̯	0.108
ɕ	ə	0.106
ˈɔː	-	0.103
ˈoː	-	0.103
ˈoː	ˈu	0.102
ɫ	ə_l	0.102
ˈeː	ˈɛ_h	0.1
ˈeː	ˈe	0.1
ʃ	ʃː	0.098
ˈyː	rː	0.095
ɫ	l_ə	0.093
n	nː	0.084
ŋ	n_d	0.081
ə	-	0.079
ɫ	lː	0.07
j	j	0.069
ˈiː	ˈæː	0.062
ŋ	-	0.06
