Sicilian	Occitan	probability
<#_b	<#_b	1.0
<#_c	<#_p_l	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_o	<#_u	1.0
<#_p	<#_p	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ç	<#_f	1.0
<#_ɕ	<#_s	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʃ	<#_e	1.0
<#_ʐ	<#_r	1.0
<#_ʤ	<#_ʤ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈi	<#_ˈe	1.0
<#_ˈu	<#_ˈy	1.0
a	a	1.0
a_t	a_ð	1.0
b	β	1.0
cː	ˈɛ_l	1.0
j	ʤ	1.0
j_#>	s_#>	1.0
kː_a	k_ɔ	1.0
l	l	1.0
m	m	1.0
nː	n	1.0
s	s	1.0
s_t	s_t	1.0
sː	s	1.0
t_ˈa	t_ˈa	1.0
tː	t	1.0
tː_ɪ	ʧ_#>	1.0
u	u	1.0
v_ɪ	w	1.0
v_ʊ	w	1.0
w_ˈa	ˈa	1.0
ŋ	ŋ	1.0
ɕ_ɪ	ʦ_#>	1.0
ɖː	l	1.0
ɖː_ʊ	l_#>	1.0
ɡ	ɣ	1.0
ɡ_w	ɡ	1.0
ɡ_ʊ	k_#>	1.0
ɪ_#>	#>	1.0
ɪ_r	ˈi_#>	1.0
ɲː	ɲ	1.0
ɲː_ʊ	ɲ_ɔ_#>	1.0
ɽ	t_ɾ	1.0
ɽ_ɪ	ɾ_e_#>	1.0
ɾ_ʊ	e_#>	1.0
ɾ_ˈa	j_ˈɛ	1.0
ɾ_ˈi	ɾ_ˈe	1.0
ʃː	s	1.0
ʃː_ɪ	j_s	1.0
ʊ	ʧ_#>	1.0
ʊ_#>	#>	1.0
ʦː_ʊ	ʦ_#>	1.0
ʧː	s	1.0
ˈa_#>	ˈa_t_#>	1.0
ˈa_p	a_β_ˈe	1.0
ˈa_w	ˈa_w	1.0
ˈa_ʈ	ˈa_j	1.0
ˈe	ˈe	1.0
ˈi_kː	ˈe_k	1.0
ˈi_ɾ	ˈe	1.0
ˈu_ɾ	ˈu	1.0
ˈɔ_cː	ˈu_l	1.0
ˈɔ_n	ˈu_n	1.0
ˈɛ_tː	j_ˈɛ	1.0
ˈɛ_ɖː	ˈɛ_l	1.0
ˈɛ_ʐː	ˈɛ_r	1.0
k	k	0.81
ɪ	-	0.391
ɾ	ˈi	0.061
ˈa	l_ˈa	0.051
<#_a	<#	0.222
<#_ˈɔ	<#_ˈa	0.222
i	i	0.182
i	-	0.182
v	v	0.182
v	-	0.182
v	w	0.182
ˈi	ˈi	0.442
ˈi	ˈe	0.462
ˈu	ˈu	0.512
<#_j	<#	0.333
<#_n	<#_n	0.833
<#_ˈɔ	<#_ˈɔ	0.333
r	r	0.333
t	t	0.423
ɟː	l	0.333
ɪ	e	0.13
ɪ	e_#>	0.13
ˈu	ˈi	0.073
ˈɔ	ˈɔ	0.583
<#_ˈɔ	<#_ɥ	0.444
a_#>	ɔ_#>	0.904
n	-	0.4
r	e	0.074
r	l	0.074
ɪ	d	0.174
ɾ_ɪ	ɾ_e_#>	0.714
ˈo	ˈɔ	0.4
d	t	0.5
d	-	0.5
k	ɣ	0.095
k	-	0.095
p	β	0.125
p	s	0.125
p	β_ɾ	0.25
p	p	0.5
v	β	0.455
w	ɣ	0.5
w	l	0.5
ɕ	s	0.5
ɕ	z	0.5
ˈu_tː	ˈu_t	0.5
ˈu_tː	ˈy_ʧ	0.5
ˈɔ	ˈu	0.125
ˈɔ	ɥ_ˈɔ	0.125
ˈɛ	e	0.115
a_#>	#>	0.096
i	e	0.636
n	n	0.56
ɾ	r	0.286
ɾ	-	0.306
ɾ_ɪ	e_#>	0.286
ˈo	ˈu	0.6
ˈu	ˈy	0.366
<#_j	<#_ʤ	0.667
<#_n	<#	0.167
r	-	0.37
ɟː	ʎ	0.667
ɪ	a_s	0.087
ɪ	j	0.087
ɾ	ɾ	0.347
ˈɔ	ɥ_ˈɛ	0.167
ˈɛ	j_ˈɛ	0.077
<#_a	<#_a	0.778
r	ɾ	0.148
t	-	0.308
ˈi	ˈɛ	0.058
ˈɛ	ˈɛ	0.808
t	ð	0.269
ˈa	ˈa	0.949
