Saterland Frisian	Alsatian	probability
ˈɛ	-	1.0
ˈɔ_n	n	1.0
ˈœː	ˈi	1.0
ˈyː	ˈi	1.0
ˈu	-	1.0
ˈoː_ɣ	j	1.0
ˈiːu̯	ˈæ	1.0
ˈiː_r	ʁ	1.0
ˈeːu̯	ˈæ	1.0
ˈaːu̯	-	1.0
ˈaːi̯	-	1.0
ˈaː	ˈɒ	1.0
ˈa	ˈɒ	1.0
ɪ_x	i	1.0
ŋ	ŋ	1.0
z_ə	s	1.0
w	e	1.0
t_ə	s	1.0
t_r	d̥_ʁ	1.0
s_t	ʃ_t	1.0
s_k	ʃ	1.0
r	ʁ	1.0
n_ə	n	1.0
m	m	1.0
l_ˈɛɪ̯	l	1.0
l_d	l_t	1.0
l	l	1.0
j_ˈuː	ˈiː	1.0
j_ˈoː	ˈiː	1.0
j_ə	ə	1.0
i	eː	1.0
h	h	1.0
f	f	1.0
d_ə	d̥	1.0
d_r	t_ʁ	1.0
b	b̥	1.0
a	-	1.0
n	n	0.896
ˈɪ	ˈi	0.855
v	ʋ	0.739
p	f	0.664
ə	ə	0.635
ˈʊ	ˈu	0.603
ˈɔ	ˈo	0.566
ɣ	ɡ̊	0.564
ˈɛː	-	0.542
s	s	0.535
d	t	0.505
ˈɛɪ̯	ˈiː	0.502
d	d̥	0.495
k	kʰ	0.489
ˈɔː	ˈɒ	0.485
ˈɛː	ˈu	0.458
ˈiː	ˈi	0.456
ˈɔ	ˈɒ	0.434
ˈoːu̯	ˈʊː	0.423
t	ʦ	0.418
ˈi	-	0.417
ˈi	ˈiː	0.408
s	ʃ	0.389
ˈuː	ˈu	0.382
ˈuː	ˈyː	0.375
t	s	0.371
ˈeː	ˈəi̯	0.363
j	ˈiː	0.363
ˈoː	-	0.352
x	x	0.34
ə	-	0.334
k	ʃ	0.313
ˈiː	ˈoː	0.312
ˈʊ	-	0.284
ˈoːu̯	ˈɒ	0.279
x	ʃ	0.264
ɣ	ʋ	0.263
ˈɛɪ̯	-	0.251
x	k	0.248
ˈɛɪ̯	ˈei̯	0.247
ˈoː	ˈoː	0.23
ˈeː	ˈeː	0.227
j	ɡ̊	0.226
p	p͡f	0.221
j	-	0.221
k	k	0.198
v	-	0.193
ˈɔː	ˈe	0.191
j	j	0.191
ˈoːu̯	ˈoː	0.186
t	t	0.184
ˈuː	d̥_ə	0.175
ˈi	ˈeː_ʁ	0.175
ˈeː	-	0.173
ɣ	-	0.173
ˈoː	ˈɒ	0.17
ˈɔː	-	0.165
ˈoː	ˈʊː	0.163
ˈɔː	ˈu	0.158
ˈeː	ˈe	0.154
x	-	0.148
ˈɪ	-	0.145
ˈiː	ˈiː	0.142
p	p	0.114
ˈʊ	ˈo	0.113
ˈoːu̯	-	0.111
n	-	0.104
ˈiː	-	0.091
ˈeː	ˈai̯	0.083
s	s_ˈe	0.076
ˈoː	ˈɒː	0.068
v	w	0.067
