Insular North Frisian	Palatine German	probability
ˈɛː	ˈɛ	1.0
ˈaʊ̯	-	1.0
ʁ̥	ɐ	1.0
ɣ̥	ɣ̊	1.0
ɡ	ɡ̊	1.0
ə_n	ə	1.0
ə_l	l	1.0
ɐ	ɐ	1.0
ð	r	1.0
v	β	1.0
tʲ	d̥	1.0
tʰ	ʣ̥	1.0
t_ɐ	d̥_ɐ	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
r_ə	ɐ	1.0
n_ˈøː	n	1.0
m	m	1.0
lʲ	l_d̥	1.0
l_ə	l	1.0
l	l	1.0
h	h	1.0
f	f	1.0
e	-	1.0
d_ˈiː	d̥_ˈiː	1.0
b	b̥	1.0
aɪ̯	ˈaɪ̯_ʣ̥	1.0
n	n	0.925
d	d̥	0.826
r	r	0.82
ɾ	d̥	0.806
x	x	0.791
kʰ	kʰ	0.783
ˈøː	-	0.773
ˈa	ˈɑ	0.765
j	-	0.752
ŋ	ŋ	0.745
ɪ	ɪ	0.743
ˈua̯	ˈoː	0.734
ˈyː	ˈaɪ̯	0.656
ˈɔː	ˈɑ	0.619
ˈaɪ̯	ˈɑː_ɣ̊	0.592
p	f	0.581
s	s	0.571
ˈoː	ˈɑː	0.562
ˈə	ˈɪ	0.509
ˈiː_n	ˈɛ̃ː	0.5
ˈiː_n	ˈẽː	0.5
ˈeː_n	ˈõː	0.5
ˈeː_n	ˈĩː	0.5
ʃ	ʃ	0.5
ʃ	s	0.5
nʲ	n_ə	0.5
nʲ	n	0.5
ç	ʃ	0.471
t	d̥	0.44
s	ʃ	0.429
p	-	0.419
ˈaɪ̯	-	0.408
ˈuː	ˈɔ	0.407
ə	ə	0.405
ˈə	ˈaɪ̯	0.386
ˈɔː	-	0.381
ˈœ	-	0.374
k	ɡ̊	0.374
ˈɔ	ˈu	0.371
ˈiː	ˈɛː	0.347
ˈyː	ˈau̯	0.344
t	s	0.339
k	ʃ	0.339
ˈʏ	ˈau̯	0.332
ə	ɐ	0.317
ˈuː	ˈɑ	0.307
ˈeː	-	0.302
ˈʊ	ˈu	0.301
k	x	0.287
ˈuː	ˈoː	0.286
ˈʏ	-	0.281
ə	-	0.278
ˈeː	ˈɛ	0.271
ˈua̯	ˈɑ	0.266
ˈɛ	ˈɪ	0.264
ˈɛ	ˈɛ	0.257
ɪ	-	0.257
ŋ	ʃ	0.255
ˈoː	-	0.25
j	j	0.248
ˈʏ	ˈu	0.238
ˈɔ	ˈuː	0.236
ˈɔ	-	0.236
ˈœ	ˈu	0.235
ˈa	ˈɛ	0.235
ˈøː	ˈi	0.227
ˈʊ	ˈɪ	0.223
ˈiː	ˈaɪ̯	0.222
ç	ɡ̊	0.218
kʰ	ɡ̊	0.217
ˈiː	ˈoː	0.215
ˈiː	ˈeː	0.215
x	-	0.209
ɾ	r_ə	0.194
ˈoː	ˈu	0.188
ˈʊ	ˈɑ	0.187
r	ɐ	0.18
ˈɛ	ˈiː	0.177
d	s	0.174
ˈɔ	ˈɔ	0.157
t	ʣ̥	0.157
ˈʊ	ˈuː	0.156
ç	ɣ̊	0.156
ç	-	0.156
ˈœ	ˈɑ	0.155
ˈeː	ˈɛː	0.153
ˈɛ	-	0.147
ˈʊ	ˈɔ	0.133
ˈœ	ˈɔ	0.118
ˈœ	ˈuː	0.118
ˈɛ	ˈɛː	0.117
ˈeː	ˈiː	0.094
ˈeː	ˈeː	0.094
ˈeː	ˈo	0.087
ˈʏ	ˈuː	0.075
ˈʏ	ˈaɪ̯	0.074
t	r_ə	0.064
ˈə	-	0.053
n	-	0.053
ˈə	ˈau̯̯	0.052
