Middle High German	Bavarian	probability
ˈɛ_h	ˈeː	1.0
ˈøː	ˈeː	1.0
ˈæː	ˈaː	1.0
ˈyː	ˈai̯	1.0
ˈyə̯	ˈiɐ̯	1.0
ˈu	ˈu	1.0
ˈou̯	ˈaː	1.0
ˈiː	ˈai̯	1.0
ˈiə̯	ˈiɐ̯	1.0
ˈeː	ˈeː	1.0
ʦː	ʦ	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɡ_ə	ŋ	1.0
ɡ_r	ɡ̊_r	1.0
ɡ	ɡ̊	1.0
ɛ	eː	1.0
ə_r	ɐ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː_ə	ç	1.0
xː	x	1.0
x_s	ɡ̊_s	1.0
v	f	1.0
tː	d̥	1.0
t_r	d̥_r	1.0
t	d̥	1.0
s̻ː_ə	s	1.0
s̻ː	sː	1.0
s̻	s	1.0
s_ˈɑ	s_ˈo	1.0
s_ə	s	1.0
s_t	ʃ_d̥	1.0
s	s	1.0
r_ə	ɐ	1.0
r_n	ɐ_n	1.0
p͡f	b̥͡v̥	1.0
p	b̥	1.0
oː	a	1.0
ou̯	ˈaː	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	-	1.0
l_t	j_d̥	1.0
kː	ɡ̊	1.0
kʰ	kʰ	1.0
fː	fː	1.0
d̥	d̥	1.0
d_ˈo	d̥_ˈo	1.0
d	d̥	1.0
b̥	β	1.0
b_ə	m	1.0
b	b̥	1.0
n	n	0.947
ˈi	ˈi	0.919
ˈo	ˈo	0.903
w	ʋ	0.875
x	x	0.818
h	h	0.795
ˈuə̯	ˈuɐ̯	0.791
ˈɑː	ˈoː	0.782
ˈei̯	ˈoɐ̯	0.778
ˈy	ˈi	0.72
ˈɛ	ˈe	0.714
ˈe	ˈe	0.699
ˈuː	ˈau̯	0.675
r	ɐ	0.663
ˈoː	ˈou̯	0.63
f	f	0.585
k	kʰ	0.555
l	l	0.541
k	ɡ̊	0.445
f	fː	0.415
ˈoː	-	0.37
ə	a	0.369
l	j	0.352
r	r	0.337
ˈe	ˈeː	0.301
ə	n	0.297
ə	-	0.282
ˈy	ˈu	0.28
ˈɑ	ˈɒː	0.262
ˈɑː	-	0.218
ˈuə̯	-	0.209
ˈɛ	ˈɛ	0.206
h	-	0.205
ˈɑ	ˈɑ	0.192
ˈuː	ˈaː	0.191
x	-	0.182
ˈɑ	ˈɒ	0.178
ˈɑ	ˈɑː	0.161
ˈuː	-	0.135
ˈei̯	-	0.133
w	-	0.125
l	ˈu_j	0.107
ˈo	ˈoː	0.097
ˈɑ	ˈo	0.093
ˈei̯	ˈai̯	0.088
ˈɛ	ˈeː	0.081
ˈi	ˈiː	0.081
ˈɑ	ˈa	0.057
ˈɑ	-	0.057
n	-	0.053
ə	ŋ	0.052
