Saterland Frisian	Saterland Frisian	probability
ˈɔːɪ̯	ˈɛ_ɡː	1.0
ˈœː	ˈʊ	1.0
ˈøː	ˈʉː	1.0
ˈyː	-	1.0
ˈu	-	1.0
ˈoːu̯_d	ˈuː_ɾ	1.0
ˈoː_ɣ	ˈʉː	1.0
ˈoː_d	ˈøː	1.0
ˈiːu̯	ˈeː	1.0
ˈiː_r	ɾ	1.0
ˈeːu̯	j_ˈiː	1.0
ˈaːu̯	-	1.0
ɪ	-	1.0
ɣ_j	ɡ	1.0
ɡ	ɡ_ˈoː	1.0
ə_r	ɾ_ə	1.0
ə_#>	#>	1.0
ŋ_k	kː	1.0
ŋ	ŋː	1.0
x_t	tː	1.0
x_#>	#>	1.0
w	ʋ	1.0
t_v	tʰ	1.0
t_#>	#>	1.0
s_k	ʂ	1.0
s_#>	s_#>	1.0
r	ɾ	1.0
n_d	nː	1.0
n_#>	#>	1.0
l_v	lː	1.0
l_d	lː	1.0
j_ˈuː	ˈyː	1.0
j_ˈoː	ˈyː	1.0
i	ə	1.0
f_#>	ʋ_#>	1.0
f	f	1.0
d_ə	ɳ	1.0
d_#>	#>	1.0
<#_v	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɾ	1.0
<#_p	<#_pʰ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
<#	<#_d	1.0
p	p	0.9
<#_d	<#_d	0.875
s	s	0.872
ə	ə	0.87
k	k	0.87
h	h	0.87
b	b	0.864
v	ʋ	0.857
l	l	0.8
ˈɪ	ˈɪ	0.75
l_#>	l_#>	0.75
m	m	0.692
t	t	0.676
ˈʊ	ˈʉ	0.667
j	-	0.667
n	n	0.645
ˈi	ˈiː	0.636
ˈɛ	ˈɛ	0.6
ˈa	ˈɛ	0.6
z_ə	s_ə	0.6
ˈɔ	ˈɑ	0.571
ˈaːi̯	ˈæɪ̯	0.5
ˈaːi̯	-	0.5
ˈaː	ˈɛ	0.5
ˈaː	ˈeː	0.5
ɣ	ɡ	0.5
ˈoːu̯	ˈuː	0.476
ˈuː	ˈʉː	0.455
ˈiː	ˈiː	0.455
d	d	0.455
ˈɔ	-	0.429
ˈɛː	ˈʏ	0.4
ˈɛː	-	0.4
ˈa	ˈɑ	0.4
z_ə	ə	0.4
ˈiː	ˈɪ	0.364
ˈoː	ˈøː	0.3
ˈɔː	ˈɑː	0.294
ˈeː	ˈæɪ̯	0.294
n	nː	0.29
x	ɡ	0.273
d	tʰ	0.273
d	-	0.273
ˈɪ	-	0.25
ˈɛɪ̯	-	0.25
ˈoː	ˈɑ	0.25
l_#>	#>	0.25
ˈɔː	ˈɑ	0.235
ˈeː	-	0.235
t	tː	0.235
m	mː	0.231
ɣ	-	0.214
ˈʊ	-	0.2
ˈɛː	ˈɑ	0.2
ˈɛ	ˈɑː	0.2
ˈɛ	-	0.2
l	lː	0.2
j	ˈiː	0.2
ˈɛɪ̯	ˈøː	0.188
ˈɛɪ̯	ˈoː	0.188
ˈiː	ˈoː	0.182
ˈi	ˈeː	0.182
ˈi	-	0.182
x	ˈɛ	0.182
x	ɡː	0.182
x	ŋ	0.182
x	k	0.182
ˈɔː	ˈɔ	0.176
ˈɔː	-	0.176
ˈeː	ˈɛ	0.176
ˈeː	ˈøː	0.176
ˈoː	ˈoː	0.15
ˈoː	ˈeː	0.15
ˈoːu̯	ˈɑ	0.143
ˈoːu̯	ˈoː	0.143
ˈoːu̯	-	0.143
ɣ	ʋ	0.143
ɣ	j	0.143
v	-	0.143
ˈuː	ˈɔ	0.136
ˈuː	ˈœ	0.136
b	-	0.136
ˈʊ	ˈʏ	0.133
j	ɡ	0.133
k	-	0.13
h	j	0.13
ˈɛɪ̯	ˈɑː	0.125
ˈɛɪ̯	ˈœ	0.125
ˈɛɪ̯	ˈæː	0.125
<#_d	<#	0.125
ˈɔː	ˈɛ	0.118
ˈeː	ˈœ	0.118
ə	-	0.116
ˈoː	-	0.1
p	pː	0.1
ˈoːu̯	ˈɔ	0.095
ˈuː	ˈʊ	0.091
ˈuː	ˈʉ	0.091
ˈuː	ˈuː	0.091
s	ʂ	0.085
m	-	0.077
n	-	0.065
t	ʈ	0.059
