Asturian	Franco-Provençal	probability
f	f	1.0
i	-	1.0
ʃ	ð	1.0
l	l	0.781
t	-	0.271
ð	d	0.061
ʧ	-	0.41
ˈo	ˈo	0.141
d	-	0.062
u	ˈe	0.132
w	-	0.222
ɡ	-	0.482
ɲ	-	0.342
ɾ	ð_ə	0.102
ɾ	ʁ	0.522
ˈu	ˈɔ̃	0.162
u	a	0.053
u	o	0.263
ɣ	ɡ	0.463
ʝ	-	0.343
ˈa	-	0.233
ˈi	ˈe	0.483
θ	s	0.403
a	-	0.074
e	-	0.244
j	j	0.384
k	ʃ	0.534
n	-	0.384
u	ˈɑ̃	0.184
u	ˈɛ̃	0.234
ˈa	ˈɑ̃	0.054
ˈa	ˈaː	0.124
ˈe	ˈe	0.114
ˈe	-	0.264
ˈi	ˈi	0.344
ˈo	ˈoː	0.134
ˈu	w	0.664
θ	-	0.404
a	a	0.675
e	ɛ	0.125
k	-	0.065
m	-	0.155
m	m	0.845
o	o	0.405
o	-	0.595
s	-	0.065
s	s	0.935
ŋ	ˈɛ̃	0.235
ŋ	-	0.765
ˈi	ˈĩ	0.055
ˈu	ˈu	0.175
θ	z	0.115
b	v	0.816
e	o	0.206
j	-	0.616
n	n	0.616
ˈe	ˈɛː	0.156
ˈo	ˈɔ̃	0.356
β	-	0.186
k	k	0.27
r	ʁ	0.967
u	ə	0.057
u	ˈoː	0.077
ɾ	-	0.167
ʝ	ʎ	0.657
ˈo	w	0.07
β	b	0.157
a	ə	0.168
b	b	0.148
d	d	0.938
e	ə	0.38
k	t	0.088
p	p	0.978
w	w	0.778
ɡ	ɡ	0.518
ɣ	v	0.208
ɲ	ɲ	0.658
ˈa	ˈa	0.38
ˈe	ˈi	0.148
ˈe	ˈɛ	0.238
ˈi	-	0.118
ˈo	ˈɔ	0.248
β	v	0.568
l	-	0.219
t	t	0.729
ð	-	0.939
ɣ	-	0.329
ɾ	ð	0.169
ʎ	l	0.969
ʧ	t	0.59
ˈa	ˈɛː	0.079
ˈa	ˈe	0.129
β	f	0.089
θ	ʃ	0.079
